"obs","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","y"
1,15.4919333848297,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-3.375
2,-1.03279555898864,15.4919333848297,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,7.625
3,-1.03279555898864,-1.03279555898864,15.4919333848297,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-7.375
4,-1.03279555898864,-1.03279555898864,-1.03279555898864,15.4919333848297,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-12.375
5,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,15.4919333848297,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.375
6,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,15.4919333848297,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,5.625
7,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,15.4919333848297,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,0.625
8,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,15.4919333848297,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,1.625
9,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,15.4919333848297,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-0.375
10,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,15.4919333848297,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.375
11,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,15.4919333848297,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,6.625
12,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,15.4919333848297,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,4.625
13,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,15.4919333848297,-1.03279555898864,-1.03279555898864,-1.03279555898864,2.625
14,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,15.4919333848297,-1.03279555898864,-1.03279555898864,0.625
15,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,15.4919333848297,-1.03279555898864,-0.375
16,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,-1.03279555898864,15.4919333848297,-3.375
