"year","x1","x2","x3","x4","x5","x6","x7","y"
1997,-5.83834828147553,-6.33484914489892,-5.47337692606708,-5.79655630168073,-6.22837727187427,-5.88246737342413,-6.13084605645476,-1.75546653313303
1998,-5.76359049881864,-6.24691463759316,-5.39170706595746,-5.98545583639624,-6.12121570619156,-5.66118871153502,-6.03977201771305,-1.72241695877149
1999,-5.69035501678114,-6.13433167456921,-5.29856863626879,-6.31338542866236,-6.07640268781515,-6.00082572745784,-5.89225821402604,-1.72742447003839
2000,-5.55782619843254,-5.99425001787991,-5.20958531010337,-6.22100297781253,-5.98167371936317,-6.06772392756384,-5.74574182239474,-1.69788015356368
2001,-5.41346681263602,-5.77952658829073,-5.06629411558851,-6.05868701166939,-5.84881193403187,-6.12433009688431,-5.54639698533018,-1.66883658821566
2002,-5.26540670857752,-5.59877698990978,-4.9047767136976,-6.24548950070498,-5.65440569972263,-5.8361532348892,-5.25639083175385,-1.62877649808045
2003,-5.0511851825282,-5.39691911800644,-4.68573683279841,-5.96752739702001,-5.33459105304877,-5.37815786493267,-4.99176709531929,-1.57419462527124
2004,-4.71810417012562,-5.06083370533848,-4.48684708712207,-5.05331003800014,-4.95128356529365,-4.71432187926535,-4.66523502439263,-1.39642797529628
2005,-4.37055720963298,-4.68371060978422,-4.21680346167947,-4.614907652144,-4.49483405651698,-4.46216712501962,-4.29674286008799,-1.169086963779
2006,-3.93242381380667,-4.17318704503086,-3.93361410478447,-4.24299629480938,-3.98178839616763,-3.88066738563662,-3.86114893989774,-1.06943748956769
2007,-3.24147120525904,-3.27133586135191,-3.58364007741754,-3.03502820618651,-3.34036534501051,-3.40208795410901,-3.16423306111252,-0.820564179602738
2008,-2.57100008757161,-2.55277651599618,-3.14983759249201,-1.47896398002548,-2.52810232593671,-2.69193782990676,-2.47808235382508,-0.8526122517109
2009,-2.17169490602007,-2.03672191014842,-2.33298234338816,-1.67447421915314,-1.37845820440037,-1.52893835114076,-1.9986710902221,-0.411450509096979
2010,-1.30412541611402,-0.989728999993911,-1.63364696985796,-0.759234929728267,-0.231875841883532,-0.46371316483738,-1.33325967498951,-0.229177098981806
2011,-0.269876285003839,0.501650467435198,-0.873153552941263,0.78785228368684,-0.658604639369838,0.28245906711426,-0.404497083531373,-0.0594224670338841
2012,0.42088535393204,1.46219429655918,-0.131900624129662,1.5729703947318,0.476720346550025,0.925710991210504,0.543009975870208,0.168419295610082
2013,1.16270953891258,2.32057683873999,0.668735205587966,2.37850157666392,1.73668057336493,1.67188322316214,1.36515265792529,0.413286596561509
2014,1.85292691445497,3.12183041765432,1.40570541415965,3.01425157101958,2.90710754400337,2.56214388611135,2.01477744786239,0.462860958103822
2015,2.47078317596794,3.97612642220411,2.39702299684413,3.46817706698952,3.7574724530977,3.78689554959059,2.82333468984837,0.71574027708229
2016,3.25562599413251,4.47874039716813,3.35135773889733,4.1257205711517,4.50571687449092,3.70970531869904,3.65613936284375,1.09981639125355
2017,4.42382530313017,5.43524291913734,4.19912345026659,4.66227607054804,5.214096574913,4.04934233462186,4.61227919555507,1.33066266065765
2018,5.61390972963439,6.20825832199702,5.02475461670995,5.37777282899304,5.9343521891077,4.5896739508627,5.59407659356144,1.77382740777833
2019,6.53102901344631,6.71299023195955,5.99091960984249,6.3865891871263,6.5938983795116,6.33417316901171,6.66302716912502,2.08829911533968
2020,6.90003413795639,6.17624088837215,7.20241413232336,7.28147887033243,6.95308291741607,7.52804874013434,7.17033157676862,2.37623101318645
2021,8.75066608268032,7.58633760027895,8.38848571135491,7.61169316343549,7.62877292810464,8.09411043333903,8.40100047943323,2.52545484894008
2022,9.5075468574787,7.66492734760486,10.0905733673092,8.35210698952658,8.33894638633612,9.13360554267856,9.04450322295944,2.35720247037222
2023,10.2694896910571,8.60874666968132,11.6533791709983,8.42762919978787,8.76394327973059,9.42692842006644,9.91741073929804,2.47137372725755
