"dimension","correlation","scheme","result_rows","complete_three_method_fits","incomplete_fits","mean_generated_features","mean_raw_density","median_elapsed_seconds"
"n=100, p=20","independent","original",100,100,0,20,1,0.0300000000000011
"n=100, p=20","independent","quantile_2",100,100,0,40,0.5,0.0600000000000023
"n=100, p=20","independent","quantile_4",100,100,0,80,0.25,0.220000000000027
"n=100, p=20","independent","quantile_8",100,100,0,160,0.125,0.419999999999987
"n=100, p=20","independent","equal_width_4",100,100,0,80,0.25,0.219999999999999
"n=100, p=20","ar1_rho_0.5","original",100,100,0,20,1,0.0300000000000296
"n=100, p=20","ar1_rho_0.5","quantile_2",100,100,0,40,0.5,0.0699999999999932
"n=100, p=20","ar1_rho_0.5","quantile_4",100,100,0,80,0.25,0.25
"n=100, p=20","ar1_rho_0.5","quantile_8",100,100,0,160,0.125,0.450000000000045
"n=100, p=20","ar1_rho_0.5","equal_width_4",100,100,0,80,0.25,0.25
"n=100, p=20","ar1_rho_0.9","original",100,100,0,20,1,0.0199999999999818
"n=100, p=20","ar1_rho_0.9","quantile_2",100,100,0,40,0.5,0.0399999999999636
"n=100, p=20","ar1_rho_0.9","quantile_4",100,100,0,80,0.25,0.149999999999977
"n=100, p=20","ar1_rho_0.9","quantile_8",100,100,0,160,0.125,0.230000000000018
"n=100, p=20","ar1_rho_0.9","equal_width_4",100,100,0,80,0.25,0.159999999999968
"n=100, p=20","block","original",100,100,0,20,1,0.0300000000000864
"n=100, p=20","block","quantile_2",100,100,0,40,0.5,0.0799999999999272
"n=100, p=20","block","quantile_4",100,100,0,80,0.25,0.299999999999955
"n=100, p=20","block","quantile_8",100,100,0,160,0.125,0.5
"n=100, p=20","block","equal_width_4",100,100,0,80,0.25,0.294999999999959
"n=100, p=100","independent","original",100,100,0,100,1,0.254999999999995
"n=100, p=100","independent","quantile_2",100,100,0,200,0.5,0.210000000000036
"n=100, p=100","independent","quantile_4",100,100,0,400,0.25,0.2800000000002
"n=100, p=100","independent","quantile_8",100,100,0,800,0.125,0.435000000000059
"n=100, p=100","independent","equal_width_4",100,100,0,400,0.25,0.310000000000059
"n=100, p=100","ar1_rho_0.5","original",100,100,0,100,1,0.214999999999918
"n=100, p=100","ar1_rho_0.5","quantile_2",100,100,0,200,0.5,0.1400000000001
"n=100, p=100","ar1_rho_0.5","quantile_4",100,100,0,400,0.25,0.235000000000014
"n=100, p=100","ar1_rho_0.5","quantile_8",100,100,0,800,0.125,0.329999999999927
"n=100, p=100","ar1_rho_0.5","equal_width_4",100,100,0,400,0.25,0.220000000000027
"n=100, p=100","ar1_rho_0.9","original",100,100,0,100,1,0.259999999999991
"n=100, p=100","ar1_rho_0.9","quantile_2",100,100,0,200,0.5,0.159999999999968
"n=100, p=100","ar1_rho_0.9","quantile_4",100,100,0,400,0.25,0.220000000000255
"n=100, p=100","ar1_rho_0.9","quantile_8",100,100,0,800,0.125,0.300000000000182
"n=100, p=100","ar1_rho_0.9","equal_width_4",100,100,0,400,0.25,0.240000000000123
"n=100, p=100","block","original",100,100,0,100,1,0.220000000000255
"n=100, p=100","block","quantile_2",100,100,0,200,0.5,0.139999999999873
"n=100, p=100","block","quantile_4",100,100,0,400,0.25,0.220000000000027
"n=100, p=100","block","quantile_8",100,100,0,800,0.125,0.305000000000064
"n=100, p=100","block","equal_width_4",100,100,0,400,0.25,0.2199999999998
"n=100, p=200","independent","original",100,100,0,200,1,0.130000000000109
"n=100, p=200","independent","quantile_2",100,100,0,400,0.5,0.194999999999936
"n=100, p=200","independent","quantile_4",100,100,0,800,0.25,0.279999999999745
"n=100, p=200","independent","quantile_8",100,100,0,1600,0.125,0.519999999999982
"n=100, p=200","independent","equal_width_4",100,100,0,800,0.25,0.309999999999945
"n=100, p=200","ar1_rho_0.5","original",100,100,0,200,1,0.139999999999873
"n=100, p=200","ar1_rho_0.5","quantile_2",100,100,0,400,0.5,0.184999999999945
"n=100, p=200","ar1_rho_0.5","quantile_4",100,100,0,800,0.25,0.269999999999982
"n=100, p=200","ar1_rho_0.5","quantile_8",100,100,0,1600,0.125,0.5
"n=100, p=200","ar1_rho_0.5","equal_width_4",100,100,0,800,0.25,0.299999999999955
"n=100, p=200","ar1_rho_0.9","original",100,100,0,200,1,0.170000000000073
"n=100, p=200","ar1_rho_0.9","quantile_2",100,100,0,400,0.5,0.225000000000136
"n=100, p=200","ar1_rho_0.9","quantile_4",100,100,0,800,0.25,0.314999999999827
"n=100, p=200","ar1_rho_0.9","quantile_8",100,100,0,1600,0.125,0.5150000000001
"n=100, p=200","ar1_rho_0.9","equal_width_4",100,100,0,800,0.25,0.299999999999955
"n=100, p=200","block","original",100,100,0,200,1,0.149999999999864
"n=100, p=200","block","quantile_2",100,100,0,400,0.5,0.200000000000273
"n=100, p=200","block","quantile_4",100,100,0,800,0.25,0.2800000000002
"n=100, p=200","block","quantile_8",100,100,0,1600,0.125,0.5
"n=100, p=200","block","equal_width_4",100,100,0,800,0.25,0.299999999999955
"n=500, p=100","independent","original",100,100,0,100,1,0.170000000000073
"n=500, p=100","independent","quantile_2",100,100,0,200,0.5,0.525000000000091
"n=500, p=100","independent","quantile_4",100,100,0,400,0.25,3.02500000000009
"n=500, p=100","independent","quantile_8",100,100,0,800,0.125,7.48500000000013
"n=500, p=100","independent","equal_width_4",100,100,0,400,0.25,2.82499999999982
"n=500, p=100","ar1_rho_0.5","original",100,100,0,100,1,0.210000000000036
"n=500, p=100","ar1_rho_0.5","quantile_2",100,100,0,200,0.5,0.754999999999654
"n=500, p=100","ar1_rho_0.5","quantile_4",100,100,0,400,0.25,3.92999999999984
"n=500, p=100","ar1_rho_0.5","quantile_8",100,100,0,800,0.125,10.1949999999997
"n=500, p=100","ar1_rho_0.5","equal_width_4",100,100,0,400,0.25,3.89499999999998
"n=500, p=100","ar1_rho_0.9","original",100,100,0,100,0.9999998,0.299999999999272
"n=500, p=100","ar1_rho_0.9","quantile_2",100,100,0,200,0.5,1.22000000000116
"n=500, p=100","ar1_rho_0.9","quantile_4",100,100,0,400,0.25,6.23499999999967
"n=500, p=100","ar1_rho_0.9","quantile_8",100,100,0,800,0.125,14.6999999999998
"n=500, p=100","ar1_rho_0.9","equal_width_4",100,100,0,400,0.25,6.28000000000065
"n=500, p=100","block","original",100,100,0,100,1,0.235000000000582
"n=500, p=100","block","quantile_2",100,100,0,200,0.5,0.869999999999891
"n=500, p=100","block","quantile_4",100,100,0,400,0.25,4.77500000000055
"n=500, p=100","block","quantile_8",100,100,0,800,0.125,12.0550000000003
"n=500, p=100","block","equal_width_4",100,100,0,400,0.25,4.77000000000044
