"path_specification","dimension","correlation","scheme","result_rows","complete_three_method_fits","incomplete_fits","mean_generated_features","mean_raw_density","median_elapsed_seconds"
"primary_controlled","n=100, p=20","independent","original",100,100,0,20,1,0.00999999999999801
"primary_controlled","n=100, p=20","independent","quantile_2",100,100,0,40,0.5,0.0200000000000031
"primary_controlled","n=100, p=20","independent","quantile_4",100,100,0,80,0.25,0.0600000000000023
"primary_controlled","n=100, p=20","independent","quantile_8",100,100,0,160,0.125,0.119999999999999
"primary_controlled","n=100, p=20","independent","equal_width_4",100,100,0,80,0.25,0.0600000000000023
"primary_controlled","n=100, p=20","ar1_rho_0.5","original",100,100,0,20,1,0.0100000000000193
"primary_controlled","n=100, p=20","ar1_rho_0.5","quantile_2",100,100,0,40,0.5,0.0200000000000102
"primary_controlled","n=100, p=20","ar1_rho_0.5","quantile_4",100,100,0,80,0.25,0.0600000000000023
"primary_controlled","n=100, p=20","ar1_rho_0.5","quantile_8",100,100,0,160,0.125,0.129999999999995
"primary_controlled","n=100, p=20","ar1_rho_0.5","equal_width_4",100,100,0,80,0.25,0.0599999999999881
"primary_controlled","n=100, p=20","ar1_rho_0.9","original",100,100,0,20,1,0.0100000000000193
"primary_controlled","n=100, p=20","ar1_rho_0.9","quantile_2",100,100,0,40,0.5,0.0300000000000011
"primary_controlled","n=100, p=20","ar1_rho_0.9","quantile_4",100,100,0,80,0.25,0.0699999999999932
"primary_controlled","n=100, p=20","ar1_rho_0.9","quantile_8",100,100,0,160,0.125,0.140000000000015
"primary_controlled","n=100, p=20","ar1_rho_0.9","equal_width_4",100,100,0,80,0.25,0.0649999999999977
"primary_controlled","n=100, p=20","block","original",100,100,0,20,1,0.0300000000000296
"primary_controlled","n=100, p=20","block","quantile_2",100,100,0,40,0.5,0.0799999999999841
"primary_controlled","n=100, p=20","block","quantile_4",100,100,0,80,0.25,0.199999999999989
"primary_controlled","n=100, p=20","block","quantile_8",100,100,0,160,0.125,0.430000000000007
"primary_controlled","n=100, p=20","block","equal_width_4",100,100,0,80,0.25,0.21999999999997
"primary_controlled","n=100, p=100","independent","original",100,100,0,100,1,0.419999999999987
"primary_controlled","n=100, p=100","independent","quantile_2",100,100,0,200,0.5,0.450000000000045
"primary_controlled","n=100, p=100","independent","quantile_4",100,100,0,400,0.25,0.619999999999891
"primary_controlled","n=100, p=100","independent","quantile_8",100,100,0,800,0.125,0.950000000000045
"primary_controlled","n=100, p=100","independent","equal_width_4",100,100,0,400,0.25,0.634999999999934
"primary_controlled","n=100, p=100","ar1_rho_0.5","original",100,100,0,100,1,0.399999999999864
"primary_controlled","n=100, p=100","ar1_rho_0.5","quantile_2",100,100,0,200,0.5,0.430000000000064
"primary_controlled","n=100, p=100","ar1_rho_0.5","quantile_4",100,100,0,400,0.25,0.584999999999923
"primary_controlled","n=100, p=100","ar1_rho_0.5","quantile_8",100,100,0,800,0.125,0.8900000000001
"primary_controlled","n=100, p=100","ar1_rho_0.5","equal_width_4",100,100,0,400,0.25,0.585000000000036
"primary_controlled","n=100, p=100","ar1_rho_0.9","original",100,100,0,100,1,0.285000000000082
"primary_controlled","n=100, p=100","ar1_rho_0.9","quantile_2",100,100,0,200,0.5,0.334999999999923
"primary_controlled","n=100, p=100","ar1_rho_0.9","quantile_4",100,100,0,400,0.25,0.434999999999945
"primary_controlled","n=100, p=100","ar1_rho_0.9","quantile_8",100,100,0,800,0.125,0.574999999999932
"primary_controlled","n=100, p=100","ar1_rho_0.9","equal_width_4",100,100,0,400,0.25,0.445000000000164
"primary_controlled","n=100, p=100","block","original",100,100,0,100,1,0.345000000000027
"primary_controlled","n=100, p=100","block","quantile_2",100,100,0,200,0.5,0.389999999999873
"primary_controlled","n=100, p=100","block","quantile_4",100,100,0,400,0.25,0.510000000000218
"primary_controlled","n=100, p=100","block","quantile_8",100,100,0,800,0.125,0.7650000000001
"primary_controlled","n=100, p=100","block","equal_width_4",100,100,0,400,0.25,0.550000000000182
"primary_controlled","n=100, p=200","independent","original",100,100,0,200,1,0.375
"primary_controlled","n=100, p=200","independent","quantile_2",100,100,0,400,0.5,0.5
"primary_controlled","n=100, p=200","independent","quantile_4",100,100,0,800,0.25,0.775000000000091
"primary_controlled","n=100, p=200","independent","quantile_8",100,100,0,1600,0.125,1.32999999999993
"primary_controlled","n=100, p=200","independent","equal_width_4",100,100,0,800,0.25,0.804999999999836
"primary_controlled","n=100, p=200","ar1_rho_0.5","original",100,100,0,200,1,0.464999999999691
"primary_controlled","n=100, p=200","ar1_rho_0.5","quantile_2",100,100,0,400,0.5,0.640000000000327
"primary_controlled","n=100, p=200","ar1_rho_0.5","quantile_4",100,100,0,800,0.25,0.9399999999996
"primary_controlled","n=100, p=200","ar1_rho_0.5","quantile_8",100,100,0,1600,0.125,1.5949999999998
"primary_controlled","n=100, p=200","ar1_rho_0.5","equal_width_4",100,100,0,800,0.25,0.9399999999996
"primary_controlled","n=100, p=200","ar1_rho_0.9","original",100,100,0,200,1,0.220000000000255
"primary_controlled","n=100, p=200","ar1_rho_0.9","quantile_2",100,100,0,400,0.5,0.304999999999836
"primary_controlled","n=100, p=200","ar1_rho_0.9","quantile_4",100,100,0,800,0.25,0.420000000000073
"primary_controlled","n=100, p=200","ar1_rho_0.9","quantile_8",100,100,0,1600,0.125,0.695000000000164
"primary_controlled","n=100, p=200","ar1_rho_0.9","equal_width_4",100,100,0,800,0.25,0.4399999999996
"primary_controlled","n=100, p=200","block","original",100,100,0,200,1,0.180000000000291
"primary_controlled","n=100, p=200","block","quantile_2",100,100,0,400,0.5,0.269999999999982
"primary_controlled","n=100, p=200","block","quantile_4",100,100,0,800,0.25,0.399999999999636
"primary_controlled","n=100, p=200","block","quantile_8",100,100,0,1600,0.125,0.649999999999636
"primary_controlled","n=100, p=200","block","equal_width_4",100,100,0,800,0.25,0.399999999999636
