"dimension","correlation","scheme","metric","replications","mean","sd","se","ci_lower","ci_upper"
"n=100, p=20","independent","quantile_2","delta_mean_entry_tau",100,0.000883892610690311,0.00348946509200021,0.000348946509200021,0.00019995745265827,0.00156782776872235
"n=100, p=20","independent","quantile_2","delta_mean_jaccard_s",100,0,0.0157926456559711,0.00157926456559711,-0.00309535854857034,0.00309535854857034
"n=100, p=20","independent","quantile_2","delta_mean_jaccard_2s",100,0.00303030303030303,0.0217497140171295,0.00217497140171295,-0.00123264091705435,0.00729324697766042
"n=100, p=20","independent","quantile_4","delta_mean_entry_tau",100,0.000247769886217235,0.00397703374401856,0.000397703374401856,-0.000531728727610402,0.00102726850004487
"n=100, p=20","independent","quantile_4","delta_mean_jaccard_s",100,-0.00222222222222222,0.0222222222222222,0.00222222222222222,-0.00657777777777777,0.00213333333333333
"n=100, p=20","independent","quantile_4","delta_mean_jaccard_2s",100,-0.00333333333333333,0.0321048831059249,0.00321048831059249,-0.0096258904220946,0.00295922375542794
"n=100, p=20","independent","quantile_8","delta_mean_entry_tau",100,-0.00154789595479542,0.00494934301135442,0.000494934301135442,-0.00251796718502089,-0.000577824724569955
"n=100, p=20","independent","quantile_8","delta_mean_jaccard_s",100,-0.013015873015873,0.0411314758494625,0.00411314758494625,-0.0210776422823677,-0.00495410374937836
"n=100, p=20","independent","quantile_8","delta_mean_jaccard_2s",100,-0.00242424242424243,0.0309631198026925,0.00309631198026925,-0.00849301390557016,0.00364452905708531
"n=100, p=20","independent","equal_width_4","delta_mean_entry_tau",100,-0.000102523983340371,0.00450872621705583,0.000450872621705583,-0.000986234321883315,0.000781186355202572
"n=100, p=20","independent","equal_width_4","delta_mean_jaccard_s",100,-0.00444444444444444,0.026986484726618,0.0026986484726618,-0.00973379545086157,0.000844906561972687
"n=100, p=20","independent","equal_width_4","delta_mean_jaccard_2s",100,0.000101010101010104,0.0294403266258789,0.00294403266258789,-0.00566929391766216,0.00587131411968237
"n=100, p=20","ar1_rho_0.5","quantile_2","delta_mean_entry_tau",100,0.0016678280710261,0.00753403958117736,0.000753403958117736,0.000191156313115336,0.00314449982893686
"n=100, p=20","ar1_rho_0.5","quantile_2","delta_mean_jaccard_s",100,0,0.0273536646620739,0.00273536646620739,-0.00536131827376649,0.00536131827376649
"n=100, p=20","ar1_rho_0.5","quantile_2","delta_mean_jaccard_2s",100,-0.00424242424242424,0.0387685519649357,0.00387685519649357,-0.0118410604275516,0.00335621194270316
"n=100, p=20","ar1_rho_0.5","quantile_4","delta_mean_entry_tau",100,0.00119148950304607,0.00669656534910508,0.000669656534910508,-0.000121037305378521,0.00250401631147067
"n=100, p=20","ar1_rho_0.5","quantile_4","delta_mean_jaccard_s",100,-0.00111111111111111,0.0295242232847648,0.00295242232847648,-0.00689785887492501,0.00467563665270279
"n=100, p=20","ar1_rho_0.5","quantile_4","delta_mean_jaccard_2s",100,-0.00121212121212122,0.0298154841117806,0.00298154841117806,-0.00705595609803022,0.00463171367378779
"n=100, p=20","ar1_rho_0.5","quantile_8","delta_mean_entry_tau",100,0.000308356094524259,0.00930437802400445,0.000930437802400445,-0.00151530199818061,0.00213201418722913
"n=100, p=20","ar1_rho_0.5","quantile_8","delta_mean_jaccard_s",100,-0.00694444444444444,0.0356156111078115,0.00356156111078115,-0.0139251042215755,3.62153326866075e-05
"n=100, p=20","ar1_rho_0.5","quantile_8","delta_mean_jaccard_2s",100,-0.00292929292929293,0.0345252573610994,0.00345252573610994,-0.00969624337206841,0.00383765751348254
"n=100, p=20","ar1_rho_0.5","equal_width_4","delta_mean_entry_tau",100,0.000450842975124419,0.00960370453728277,0.000960370453728277,-0.001431483114183,0.00233316906443184
"n=100, p=20","ar1_rho_0.5","equal_width_4","delta_mean_jaccard_s",100,-0.00936507936507936,0.0449010535366065,0.00449010535366065,-0.0181656858582542,-0.000564472871904495
"n=100, p=20","ar1_rho_0.5","equal_width_4","delta_mean_jaccard_2s",100,-0.00111111111111112,0.0310553485612415,0.00310553485612415,-0.00719795942911444,0.00497573720689222
"n=100, p=20","ar1_rho_0.9","quantile_2","delta_mean_entry_tau",100,0.0120840362533661,0.0269990020541064,0.00269990020541064,0.00679223185076124,0.017375840655971
"n=100, p=20","ar1_rho_0.9","quantile_2","delta_mean_jaccard_s",100,0.00150793650793651,0.0717236436398728,0.00717236436398728,-0.0125498976454786,0.0155657706613516
"n=100, p=20","ar1_rho_0.9","quantile_2","delta_mean_jaccard_2s",100,-0.0045997890997891,0.108785982927389,0.0108785982927389,-0.0259218417535574,0.0167222635539792
"n=100, p=20","ar1_rho_0.9","quantile_4","delta_mean_entry_tau",100,0.0157660353390492,0.0279727198520483,0.00279727198520483,0.0102833822480477,0.0212486884300507
"n=100, p=20","ar1_rho_0.9","quantile_4","delta_mean_jaccard_s",100,-0.00071428571428571,0.0699761022308857,0.00699761022308857,-0.0144296017515393,0.0130010303229679
"n=100, p=20","ar1_rho_0.9","quantile_4","delta_mean_jaccard_2s",100,0.0336880341880342,0.0889795213581234,0.00889795213581234,0.016248048001842,0.0511280203742264
"n=100, p=20","ar1_rho_0.9","quantile_8","delta_mean_entry_tau",100,0.0188307021854838,0.0259364454925581,0.00259364454925581,0.0137471588689424,0.0239142455020252
"n=100, p=20","ar1_rho_0.9","quantile_8","delta_mean_jaccard_s",100,-0.00182539682539682,0.0708414309469688,0.00708414309469689,-0.0157103172910027,0.0120595236402091
"n=100, p=20","ar1_rho_0.9","quantile_8","delta_mean_jaccard_2s",100,0.0335870240870241,0.0914191233793027,0.00914191233793027,0.0156688759046807,0.0515051722693674
"n=100, p=20","ar1_rho_0.9","equal_width_4","delta_mean_entry_tau",100,0.0156778037669687,0.0265863964403025,0.00265863964403025,0.0104668700646694,0.020888737469268
"n=100, p=20","ar1_rho_0.9","equal_width_4","delta_mean_jaccard_s",100,-0.000396825396825393,0.072549898256529,0.0072549898256529,-0.0146166054551051,0.0138229546614543
"n=100, p=20","ar1_rho_0.9","equal_width_4","delta_mean_jaccard_2s",100,0.0361122766122766,0.0909167786614207,0.00909167786614207,0.0182925879946381,0.0539319652299151
"n=100, p=20","block","quantile_2","delta_mean_entry_tau",100,0.00771885844485981,0.0261074497316572,0.00261074497316572,0.002601798297455,0.0128359185922646
"n=100, p=20","block","quantile_2","delta_mean_jaccard_s",100,-0.00142857142857143,0.0472754963213806,0.00472754963213806,-0.010694568707562,0.00783742585041917
"n=100, p=20","block","quantile_2","delta_mean_jaccard_2s",100,0.00550699300699301,0.0774596171627873,0.00774596171627873,-0.0096750919569133,0.0206890779708993
"n=100, p=20","block","quantile_4","delta_mean_entry_tau",100,0.00856243754190324,0.022697869425828,0.0022697869425828,0.00411365513444096,0.0130112199493655
"n=100, p=20","block","quantile_4","delta_mean_jaccard_s",100,-0.00555555555555555,0.0507181878907024,0.00507181878907024,-0.0154963203821332,0.00438520927102212
"n=100, p=20","block","quantile_4","delta_mean_jaccard_2s",100,0.012020202020202,0.0667136073160388,0.00667136073160388,-0.00105566501374158,0.0250960690541456
"n=100, p=20","block","quantile_8","delta_mean_entry_tau",100,0.00962841858258316,0.0215195471863788,0.00215195471863788,0.00541058733405292,0.0138462498311134
"n=100, p=20","block","quantile_8","delta_mean_jaccard_s",100,-0.00476190476190476,0.0385190999432831,0.00385190999432831,-0.0123116483507883,0.00278783882697874
"n=100, p=20","block","quantile_8","delta_mean_jaccard_2s",100,0.0173737373737374,0.0619705345363717,0.00619705345363717,0.00522751260460852,0.0295199621428662
"n=100, p=20","block","equal_width_4","delta_mean_entry_tau",100,0.00303050563171176,0.0261672149982598,0.00261672149982598,-0.00209826850794715,0.00815927977137067
"n=100, p=20","block","equal_width_4","delta_mean_jaccard_s",100,-0.000317460317460315,0.0459589855807828,0.00459589855807828,-0.00932542149129374,0.0086905008563731
"n=100, p=20","block","equal_width_4","delta_mean_jaccard_2s",100,-0.00635392385392385,0.090277754351565,0.0090277754351565,-0.0240483637068306,0.0113405159989829
"n=100, p=100","independent","quantile_2","delta_mean_entry_tau",100,-0.0137678348996042,0.0257194621278421,0.00257194621278421,-0.0188088494766613,-0.00872682032254714
"n=100, p=100","independent","quantile_2","delta_mean_jaccard_s",100,-0.0073970473970474,0.0342819942288287,0.00342819942288287,-0.0141163182658978,-0.000677776528196969
"n=100, p=100","independent","quantile_2","delta_mean_jaccard_2s",100,-0.00300897170462388,0.0249987575617499,0.00249987575617499,-0.00790872818672686,0.0018907847774791
"n=100, p=100","independent","quantile_4","delta_mean_entry_tau",100,-0.0105608255272016,0.0267361143204944,0.00267361143204944,-0.0158011039340185,-0.00532054712038468
"n=100, p=100","independent","quantile_4","delta_mean_jaccard_s",100,-0.0109324009324009,0.0361760590909301,0.00361760590909301,-0.0180229085142232,-0.00384189335057863
"n=100, p=100","independent","quantile_4","delta_mean_jaccard_2s",100,-0.00594516594516595,0.0242045670842528,0.00242045670842528,-0.0106892610936795,-0.00120107079665239
"n=100, p=100","independent","quantile_8","delta_mean_entry_tau",100,-0.00393361567928396,0.0238481952104924,0.00238481952104924,-0.00860786194054046,0.000740630581972553
"n=100, p=100","independent","quantile_8","delta_mean_jaccard_s",100,-0.0172183372183372,0.0405235110253415,0.00405235110253415,-0.0251609453793042,-0.00927572905737028
"n=100, p=100","independent","quantile_8","delta_mean_jaccard_2s",100,-0.00799799234581844,0.0269466916684943,0.00269466916684943,-0.0132795439128433,-0.00271644077879355
"n=100, p=100","independent","equal_width_4","delta_mean_entry_tau",100,-0.0112628751679151,0.0255265920139531,0.00255265920139531,-0.0162660872026499,-0.00625966313318031
"n=100, p=100","independent","equal_width_4","delta_mean_jaccard_s",100,-0.0142424242424243,0.0368304055927957,0.00368304055927957,-0.0214611837386122,-0.0070236647462363
