"dimension","correlation","scheme","metric","replications","mean","sd","se","ci_lower","ci_upper"
"n=100, p=20","independent","quantile_2","delta_mean_support_f1",100,-0.02,0.066805654155788,0.0066805654155788,-0.0330939082145344,-0.00690609178546554
"n=100, p=20","independent","quantile_2","delta_mean_rmse",100,0.293042656107239,0.165209274370368,0.0165209274370368,0.260661638330646,0.325423673883831
"n=100, p=20","independent","quantile_4","delta_mean_support_f1",100,-0.0978181818181817,0.108213387270325,0.0108213387270325,-0.119028005723165,-0.076608357913198
"n=100, p=20","independent","quantile_4","delta_mean_rmse",100,0.452839398718561,0.165897560589627,0.0165897560589627,0.420323476842995,0.485355320594128
"n=100, p=20","independent","quantile_8","delta_mean_support_f1",100,-0.230313131313131,0.154035193376572,0.0154035193376572,-0.260504029214939,-0.200122233411323
"n=100, p=20","independent","quantile_8","delta_mean_rmse",100,0.722512637163652,0.201692736348936,0.0201692736348936,0.682980860839261,0.762044413488044
"n=100, p=20","independent","equal_width_4","delta_mean_support_f1",100,-0.160848484848485,0.124624212755883,0.0124624212755883,-0.185274830548638,-0.136422139148332
"n=100, p=20","independent","equal_width_4","delta_mean_rmse",100,0.604784149464241,0.170068183412456,0.0170068183412456,0.5714507855154,0.638117513413082
"n=100, p=20","ar1_rho_0.5","quantile_2","delta_mean_support_f1",100,-0.0653333333333333,0.101243367019133,0.0101243367019133,-0.0851770332690834,-0.0454896333975832
"n=100, p=20","ar1_rho_0.5","quantile_2","delta_mean_rmse",100,0.247471706734825,0.17897719561023,0.017897719561023,0.21239217639522,0.28255123707443
"n=100, p=20","ar1_rho_0.5","quantile_4","delta_mean_support_f1",100,-0.138242424242424,0.144589035492934,0.0144589035492934,-0.166581875199039,-0.109902973285809
"n=100, p=20","ar1_rho_0.5","quantile_4","delta_mean_rmse",100,0.424556094050403,0.188443439316196,0.0188443439316196,0.387621179944428,0.461491008156377
"n=100, p=20","ar1_rho_0.5","quantile_8","delta_mean_support_f1",100,-0.245375291375291,0.163922409933601,0.0163922409933601,-0.277504083722277,-0.213246499028306
"n=100, p=20","ar1_rho_0.5","quantile_8","delta_mean_rmse",100,0.648031246336655,0.211213462769771,0.0211213462769771,0.60663340763378,0.68942908503953
"n=100, p=20","ar1_rho_0.5","equal_width_4","delta_mean_support_f1",100,-0.196040404040404,0.149479484194691,0.0149479484194691,-0.225338382942564,-0.166742425138244
"n=100, p=20","ar1_rho_0.5","equal_width_4","delta_mean_rmse",100,0.601845235143345,0.217891305463066,0.0217891305463066,0.559138539272584,0.644551931014106
"n=100, p=20","ar1_rho_0.9","quantile_2","delta_mean_support_f1",100,-0.0845252525252525,0.158587507960517,0.0158587507960517,-0.115608404085514,-0.0534421009649911
"n=100, p=20","ar1_rho_0.9","quantile_2","delta_mean_rmse",100,0.213586741852547,0.163946076723101,0.0163946076723101,0.181453310814819,0.245720172890274
"n=100, p=20","ar1_rho_0.9","quantile_4","delta_mean_support_f1",100,-0.166767676767677,0.173281286445183,0.0173281286445183,-0.200730808910933,-0.132804544624421
"n=100, p=20","ar1_rho_0.9","quantile_4","delta_mean_rmse",100,0.389516051180488,0.226086359448216,0.0226086359448216,0.345203124728638,0.433828977632339
"n=100, p=20","ar1_rho_0.9","quantile_8","delta_mean_support_f1",100,-0.217252525252525,0.207527110182959,0.0207527110182959,-0.257927838848385,-0.176577211656665
"n=100, p=20","ar1_rho_0.9","quantile_8","delta_mean_rmse",100,0.581541167814344,0.283210445119711,0.0283210445119711,0.526031920570881,0.637050415057808
"n=100, p=20","ar1_rho_0.9","equal_width_4","delta_mean_support_f1",100,-0.23340404040404,0.208380603851469,0.0208380603851469,-0.274246638758928,-0.192561442049153
"n=100, p=20","ar1_rho_0.9","equal_width_4","delta_mean_rmse",100,0.553222617170052,0.272685877542428,0.0272685877542428,0.499776185171736,0.606669049168368
"n=100, p=20","block","quantile_2","delta_mean_support_f1",100,-0.0961616161616162,0.165087452905856,0.0165087452905856,-0.128518756931164,-0.0638044753920683
"n=100, p=20","block","quantile_2","delta_mean_rmse",100,0.252167247857353,0.243752714299155,0.0243752714299155,0.204391715854719,0.299942779859987
"n=100, p=20","block","quantile_4","delta_mean_support_f1",100,-0.20740404040404,0.201907940188742,0.0201907940188742,-0.246977996681034,-0.167830084127047
"n=100, p=20","block","quantile_4","delta_mean_rmse",100,0.3973380958755,0.279934356685597,0.0279934356685597,0.342470961965123,0.452205229785877
"n=100, p=20","block","quantile_8","delta_mean_support_f1",100,-0.266585858585859,0.200218868409114,0.0200218868409114,-0.305828756794045,-0.227342960377672
"n=100, p=20","block","quantile_8","delta_mean_rmse",100,0.627979494129974,0.297371771533047,0.0297371771533047,0.569694626909497,0.686264361350451
"n=100, p=20","block","equal_width_4","delta_mean_support_f1",100,-0.285131313131313,0.199237858620449,0.0199237858620449,-0.324181933420921,-0.246080692841705
"n=100, p=20","block","equal_width_4","delta_mean_rmse",100,0.601531174964262,0.331645916749749,0.0331645916749749,0.536528575281311,0.666533774647213
"n=100, p=100","independent","quantile_2","delta_mean_support_f1",100,-0.076802371541502,0.0857094577716387,0.00857094577716387,-0.0936014252647432,-0.0600033178182608
