"path_specification","n","p","dimension","correlation","scheme","method","target","evaluated_replications","reached_target_percent","mean_selected_size"
"primary_controlled",100,20,"n=100, p=20","independent","original","lasso","s",100,100,5
"primary_controlled",100,20,"n=100, p=20","independent","original","lasso","2s",100,100,10
"primary_controlled",100,20,"n=100, p=20","independent","original","lar","s",100,100,5
"primary_controlled",100,20,"n=100, p=20","independent","original","lar","2s",100,100,10
"primary_controlled",100,20,"n=100, p=20","independent","original","glmnet","s",100,100,5.01
"primary_controlled",100,20,"n=100, p=20","independent","original","glmnet","2s",100,100,10.11
"primary_controlled",100,20,"n=100, p=20","independent","quantile_2","lasso","s",100,100,5
"primary_controlled",100,20,"n=100, p=20","independent","quantile_2","lasso","2s",100,100,10
"primary_controlled",100,20,"n=100, p=20","independent","quantile_2","lar","s",100,100,5
"primary_controlled",100,20,"n=100, p=20","independent","quantile_2","lar","2s",100,100,10
"primary_controlled",100,20,"n=100, p=20","independent","quantile_2","glmnet","s",100,100,5.01
"primary_controlled",100,20,"n=100, p=20","independent","quantile_2","glmnet","2s",100,100,10.06
"primary_controlled",100,20,"n=100, p=20","independent","quantile_4","lasso","s",100,100,5
"primary_controlled",100,20,"n=100, p=20","independent","quantile_4","lasso","2s",100,100,10
"primary_controlled",100,20,"n=100, p=20","independent","quantile_4","lar","s",100,100,5
"primary_controlled",100,20,"n=100, p=20","independent","quantile_4","lar","2s",100,100,10
"primary_controlled",100,20,"n=100, p=20","independent","quantile_4","glmnet","s",100,100,5.03
"primary_controlled",100,20,"n=100, p=20","independent","quantile_4","glmnet","2s",100,100,10.17
"primary_controlled",100,20,"n=100, p=20","independent","quantile_8","lasso","s",100,100,5
"primary_controlled",100,20,"n=100, p=20","independent","quantile_8","lasso","2s",100,100,10
"primary_controlled",100,20,"n=100, p=20","independent","quantile_8","lar","s",100,100,5
"primary_controlled",100,20,"n=100, p=20","independent","quantile_8","lar","2s",100,100,10
"primary_controlled",100,20,"n=100, p=20","independent","quantile_8","glmnet","s",100,100,5.13
"primary_controlled",100,20,"n=100, p=20","independent","quantile_8","glmnet","2s",100,100,10.13
"primary_controlled",100,20,"n=100, p=20","independent","equal_width_4","lasso","s",100,100,5
"primary_controlled",100,20,"n=100, p=20","independent","equal_width_4","lasso","2s",100,100,10
"primary_controlled",100,20,"n=100, p=20","independent","equal_width_4","lar","s",100,100,5
"primary_controlled",100,20,"n=100, p=20","independent","equal_width_4","lar","2s",100,100,10
"primary_controlled",100,20,"n=100, p=20","independent","equal_width_4","glmnet","s",100,100,5.05
"primary_controlled",100,20,"n=100, p=20","independent","equal_width_4","glmnet","2s",100,100,10.09
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.5","original","lasso","s",100,100,5
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.5","original","lasso","2s",100,100,10
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.5","original","lar","s",100,100,5
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.5","original","lar","2s",100,100,10
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.5","original","glmnet","s",100,100,5.03
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.5","original","glmnet","2s",100,100,10.04
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.5","quantile_2","lasso","s",100,100,5
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.5","quantile_2","lasso","2s",100,100,10
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.5","quantile_2","lar","s",100,100,5
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.5","quantile_2","lar","2s",100,100,10
