"scenario_id","n","p","dimension","correlation","active_s"
1,100,20,"n=100, p=20","independent",5
2,100,20,"n=100, p=20","ar1_rho_0.5",5
3,100,20,"n=100, p=20","ar1_rho_0.9",5
4,100,20,"n=100, p=20","block",5
5,100,100,"n=100, p=100","independent",10
6,100,100,"n=100, p=100","ar1_rho_0.5",10
7,100,100,"n=100, p=100","ar1_rho_0.9",10
8,100,100,"n=100, p=100","block",10
9,100,200,"n=100, p=200","independent",20
10,100,200,"n=100, p=200","ar1_rho_0.5",20
11,100,200,"n=100, p=200","ar1_rho_0.9",20
12,100,200,"n=100, p=200","block",20
13,500,100,"n=500, p=100","independent",10
14,500,100,"n=500, p=100","ar1_rho_0.5",10
15,500,100,"n=500, p=100","ar1_rho_0.9",10
16,500,100,"n=500, p=100","block",10
