"dimension","correlation","scheme","metric","replications","mean","ci_lower","ci_upper"
"n=100, p=20","independent","quantile_2","delta_mean_entry_tau",100,-0.000865927524842434,-0.00176719701561126,3.53419659263931e-05
"n=100, p=20","independent","quantile_2","delta_mean_jaccard_s",100,0,-0.00619071709714069,0.00619071709714069
"n=100, p=20","independent","quantile_2","delta_mean_jaccard_2s",100,0.00525252525252525,-0.00382432447739094,0.0143293749824414
"n=100, p=20","independent","quantile_4","delta_mean_entry_tau",100,-0.00274201357245029,-0.00389756204284686,-0.00158646510205372
"n=100, p=20","independent","quantile_4","delta_mean_jaccard_s",100,-0.0193650793650794,-0.0298253763348049,-0.0089047823953538
"n=100, p=20","independent","quantile_4","delta_mean_jaccard_2s",100,-0.00606948606948607,-0.0161971967410704,0.00405822460209827
"n=100, p=20","independent","quantile_8","delta_mean_entry_tau",100,-0.00102709132575245,-0.00237164554699667,0.000317462895491774
"n=100, p=20","independent","quantile_8","delta_mean_jaccard_s",100,-0.0271031746031746,-0.0388754526639194,-0.0153308965424298
"n=100, p=20","independent","quantile_8","delta_mean_jaccard_2s",100,0.00757575757575758,-0.00080670980070675,0.0159582249522219
"n=100, p=20","independent","equal_width_4","delta_mean_entry_tau",100,-0.00408813569758979,-0.00524210308992321,-0.00293416830525636
"n=100, p=20","independent","equal_width_4","delta_mean_jaccard_s",100,-0.0223809523809524,-0.0334895770185625,-0.0112723277433422
"n=100, p=20","independent","equal_width_4","delta_mean_jaccard_2s",100,0.000909090909090916,-0.00903218435099097,0.0108503661691728
"n=100, p=20","ar1_rho_0.5","quantile_2","delta_mean_entry_tau",100,-0.00249354784909435,-0.00450388247846525,-0.000483213219723451
"n=100, p=20","ar1_rho_0.5","quantile_2","delta_mean_jaccard_s",100,-0.00936507936507936,-0.0193325595971806,0.000602400867021867
"n=100, p=20","ar1_rho_0.5","quantile_2","delta_mean_jaccard_2s",100,-0.00295260295260296,-0.0140178759379892,0.00811267003278329
"n=100, p=20","ar1_rho_0.5","quantile_4","delta_mean_entry_tau",100,-0.00288761434829684,-0.00431211041771851,-0.00146311827887518
"n=100, p=20","ar1_rho_0.5","quantile_4","delta_mean_jaccard_s",100,-0.013015873015873,-0.0253131623352338,-0.000718583696512211
"n=100, p=20","ar1_rho_0.5","quantile_4","delta_mean_jaccard_2s",100,0.000833333333333335,-0.00935515705566016,0.0110218237223268
"n=100, p=20","ar1_rho_0.5","quantile_8","delta_mean_entry_tau",100,-0.00038480282312794,-0.0023795139450801,0.00160990829882422
"n=100, p=20","ar1_rho_0.5","quantile_8","delta_mean_jaccard_s",100,-0.00361111111111111,-0.0147623255512164,0.00754010332899419
"n=100, p=20","ar1_rho_0.5","quantile_8","delta_mean_jaccard_2s",100,0.00333527583527584,-0.00724774221522559,0.0139182938857773
"n=100, p=20","ar1_rho_0.5","equal_width_4","delta_mean_entry_tau",100,-0.00444385904249917,-0.00636098548579435,-0.00252673259920399
"n=100, p=20","ar1_rho_0.5","equal_width_4","delta_mean_jaccard_s",100,-0.0266137566137566,-0.0411333637558837,-0.0120941494716295
"n=100, p=20","ar1_rho_0.5","equal_width_4","delta_mean_jaccard_2s",100,-0.00141219891219891,-0.0121081881521886,0.00928379032779073
"n=100, p=20","ar1_rho_0.9","quantile_2","delta_mean_entry_tau",100,-0.00508436227067245,-0.0108462145805956,0.000677490039250728
"n=100, p=20","ar1_rho_0.9","quantile_2","delta_mean_jaccard_s",100,-0.00373015873015873,-0.0226096386604748,0.0151493212001573
"n=100, p=20","ar1_rho_0.9","quantile_2","delta_mean_jaccard_2s",100,-0.0135908535908536,-0.0350364127344016,0.00785470555269437
"n=100, p=20","ar1_rho_0.9","quantile_4","delta_mean_entry_tau",100,-0.00306438986466623,-0.00815383029848468,0.00202505056915223
"n=100, p=20","ar1_rho_0.9","quantile_4","delta_mean_jaccard_s",100,0.00396164021164021,-0.0144584924213261,0.0223817728446065
"n=100, p=20","ar1_rho_0.9","quantile_4","delta_mean_jaccard_2s",100,0.0306021756021756,0.0133107317403407,0.0478936194640105
"n=100, p=20","ar1_rho_0.9","quantile_8","delta_mean_entry_tau",100,0.00411896438432568,-0.00064702515019005,0.00888495391884141
"n=100, p=20","ar1_rho_0.9","quantile_8","delta_mean_jaccard_s",100,0.00325396825396826,-0.014710890683079,0.0212188271910156
"n=100, p=20","ar1_rho_0.9","quantile_8","delta_mean_jaccard_2s",100,0.0330011655011655,0.0141833646722315,0.0518189663300995
"n=100, p=20","ar1_rho_0.9","equal_width_4","delta_mean_entry_tau",100,-0.00575978053066828,-0.0111429142244611,-0.000376646836875413
"n=100, p=20","ar1_rho_0.9","equal_width_4","delta_mean_jaccard_s",100,-0.0242063492063492,-0.0440944856780187,-0.00431821273467971
"n=100, p=20","ar1_rho_0.9","equal_width_4","delta_mean_jaccard_2s",100,0.0285567210567211,0.00952970534974539,0.0475837367636967
"n=100, p=20","block","quantile_2","delta_mean_entry_tau",100,-0.00280421740627192,-0.00792111879611842,0.00231268398357458
"n=100, p=20","block","quantile_2","delta_mean_jaccard_s",100,-0.00158730158730159,-0.0165015219599144,0.0133269187853112
"n=100, p=20","block","quantile_2","delta_mean_jaccard_2s",100,0.00313714063714064,-0.0140802600521775,0.0203545413264587
"n=100, p=20","block","quantile_4","delta_mean_entry_tau",100,-0.00393145763633484,-0.00813491592881613,0.000272000656146447
"n=100, p=20","block","quantile_4","delta_mean_jaccard_s",100,-0.0149206349206349,-0.0299153996053879,7.41297641180926e-05
"n=100, p=20","block","quantile_4","delta_mean_jaccard_2s",100,0.00789821289821289,-0.00731182511613097,0.0231082509125568
"n=100, p=20","block","quantile_8","delta_mean_entry_tau",100,0.00100235992999444,-0.00284629685252107,0.00485101671250996
"n=100, p=20","block","quantile_8","delta_mean_jaccard_s",100,0.00313492063492063,-0.00905617793738002,0.0153260192072213
"n=100, p=20","block","quantile_8","delta_mean_jaccard_2s",100,0.0211091686091686,0.0081158149808763,0.0341025222374609
"n=100, p=20","block","equal_width_4","delta_mean_entry_tau",100,-0.0106773914170031,-0.0156716152247852,-0.00568316760922092
"n=100, p=20","block","equal_width_4","delta_mean_jaccard_s",100,-0.0166269841269841,-0.0325366387622141,-0.000717329491754112
"n=100, p=20","block","equal_width_4","delta_mean_jaccard_2s",100,-0.0125679875679876,-0.0311476076877394,0.00601163255176428
"n=100, p=100","independent","quantile_2","delta_mean_entry_tau",100,-0.0127927337034342,-0.0177880081650428,-0.00779745924182557
"n=100, p=100","independent","quantile_2","delta_mean_jaccard_s",100,0.00139083139083139,-0.0096925336129831,0.0124741963946459
"n=100, p=100","independent","quantile_2","delta_mean_jaccard_2s",100,0.0134279488627315,0.00506595206922544,0.0217899456562375
"n=100, p=100","independent","quantile_4","delta_mean_entry_tau",100,-0.0106409473508277,-0.015837763075329,-0.00544413162632636
"n=100, p=100","independent","quantile_4","delta_mean_jaccard_s",100,-0.011033411033411,-0.0229180154349164,0.00085119336809439
"n=100, p=100","independent","quantile_4","delta_mean_jaccard_2s",100,0.00670701279396932,-0.00125461888642034,0.014668644474359
"n=100, p=100","independent","quantile_8","delta_mean_entry_tau",100,-0.00450917098056532,-0.0090184041489079,6.21877772524065e-08
"n=100, p=100","independent","quantile_8","delta_mean_jaccard_s",100,-0.0192096792096792,-0.0325465010192309,-0.00587285740012752
"n=100, p=100","independent","quantile_8","delta_mean_jaccard_2s",100,0.00537537341885168,-0.00308669670033033,0.0138374435380337
"n=100, p=100","independent","equal_width_4","delta_mean_entry_tau",100,-0.0116153822034792,-0.0166380547511414,-0.00659270965581706
"n=100, p=100","independent","equal_width_4","delta_mean_jaccard_s",100,-0.00695526695526695,-0.0179590109128649,0.00404847700233102
"n=100, p=100","independent","equal_width_4","delta_mean_jaccard_2s",100,0.00472636783506349,-0.00509200771755732,0.0145447433876843
"n=100, p=100","ar1_rho_0.5","quantile_2","delta_mean_entry_tau",100,-0.0106037292655845,-0.0172180803912335,-0.00398937813993544
"n=100, p=100","ar1_rho_0.5","quantile_2","delta_mean_jaccard_s",100,0.00827505827505827,-0.00406309131161901,0.0206132078617356
"n=100, p=100","ar1_rho_0.5","quantile_2","delta_mean_jaccard_2s",100,0.0151869627956585,0.00569616044817667,0.0246777651431402
"n=100, p=100","ar1_rho_0.5","quantile_4","delta_mean_entry_tau",100,-4.14456023190113e-05,-0.00577705049622153,0.0056941592915835
"n=100, p=100","ar1_rho_0.5","quantile_4","delta_mean_jaccard_s",100,0.00958818958818959,-0.000406908988354117,0.0195832881647333
