"n","p","dimension","correlation","scheme","metric","replications","mean","sd","se","ci_lower","ci_upper"
100,20,"n=100, p=20","independent","quantile_2","delta_mean_entry_tau",100,-0.000865927524842434,0.00459831372841238,0.000459831372841238,-0.00176719701561126,3.53419659263931e-05
100,20,"n=100, p=20","independent","quantile_2","delta_mean_jaccard_s",100,0,0.0315852913119423,0.00315852913119423,-0.00619071709714069,0.00619071709714069
100,20,"n=100, p=20","independent","quantile_2","delta_mean_jaccard_2s",100,0.00525252525252525,0.0463104578056949,0.00463104578056949,-0.00382432447739094,0.0143293749824414
100,20,"n=100, p=20","independent","quantile_2","delta_mean_support_f1",100,-0.02,0.0639859507262738,0.00639859507262738,-0.0325412463423496,-0.00745875365765032
100,20,"n=100, p=20","independent","quantile_2","delta_mean_rmse",100,0.292289003151583,0.165337986730759,0.0165337986730759,0.259882757752355,0.324695248550812
100,20,"n=100, p=20","independent","quantile_4","delta_mean_entry_tau",100,-0.00274201357245029,0.00589565546120698,0.000589565546120698,-0.00389756204284686,-0.00158646510205372
100,20,"n=100, p=20","independent","quantile_4","delta_mean_jaccard_s",100,-0.0193650793650794,0.0533688620904365,0.00533688620904365,-0.0298253763348049,-0.0089047823953538
100,20,"n=100, p=20","independent","quantile_4","delta_mean_jaccard_2s",100,-0.00606948606948607,0.051671993222369,0.0051671993222369,-0.0161971967410704,0.00405822460209827
100,20,"n=100, p=20","independent","quantile_4","delta_mean_support_f1",100,-0.0968080808080807,0.105387226901602,0.0105387226901602,-0.117463977280795,-0.0761521843353668
100,20,"n=100, p=20","independent","quantile_4","delta_mean_rmse",100,0.45384245831452,0.166296763129393,0.0166296763129393,0.421248292741159,0.486436623887881
100,20,"n=100, p=20","independent","quantile_8","delta_mean_entry_tau",100,-0.00102709132575245,0.00685997051655215,0.000685997051655215,-0.00237164554699667,0.000317462895491774
100,20,"n=100, p=20","independent","quantile_8","delta_mean_jaccard_s",100,-0.0271031746031746,0.0600626431670654,0.00600626431670654,-0.0388754526639194,-0.0153308965424298
100,20,"n=100, p=20","independent","quantile_8","delta_mean_jaccard_2s",100,0.00757575757575758,0.0427676906962466,0.00427676906962466,-0.00080670980070675,0.0159582249522219
100,20,"n=100, p=20","independent","quantile_8","delta_mean_support_f1",100,-0.231607614607615,0.151481799113823,0.0151481799113823,-0.261298047233924,-0.201917181981305
100,20,"n=100, p=20","independent","quantile_8","delta_mean_rmse",100,0.730135797556854,0.201944294125867,0.0201944294125867,0.690554715908184,0.769716879205524
100,20,"n=100, p=20","independent","equal_width_4","delta_mean_entry_tau",100,-0.00408813569758979,0.00588758873639503,0.000588758873639503,-0.00524210308992321,-0.00293416830525636
100,20,"n=100, p=20","independent","equal_width_4","delta_mean_jaccard_s",100,-0.0223809523809524,0.0566766563143375,0.00566766563143375,-0.0334895770185625,-0.0112723277433422
100,20,"n=100, p=20","independent","equal_width_4","delta_mean_jaccard_2s",100,0.000909090909090916,0.050720792143275,0.0050720792143275,-0.00903218435099097,0.0108503661691728
100,20,"n=100, p=20","independent","equal_width_4","delta_mean_support_f1",100,-0.158888888888889,0.121543988433545,0.0121543988433545,-0.182711510621864,-0.135066267155914
100,20,"n=100, p=20","independent","equal_width_4","delta_mean_rmse",100,0.608311321366189,0.169389061662708,0.0169389061662708,0.575111065280298,0.64151157745208
100,20,"n=100, p=20","ar1_rho_0.5","quantile_2","delta_mean_entry_tau",100,-0.00249354784909435,0.010256809333525,0.0010256809333525,-0.00450388247846525,-0.000483213219723451
100,20,"n=100, p=20","ar1_rho_0.5","quantile_2","delta_mean_jaccard_s",100,-0.00936507936507936,0.0508544909801083,0.00508544909801083,-0.0193325595971806,0.000602400867021867
100,20,"n=100, p=20","ar1_rho_0.5","quantile_2","delta_mean_jaccard_2s",100,-0.00295260295260296,0.0564554744152359,0.00564554744152359,-0.0140178759379892,0.00811267003278329
100,20,"n=100, p=20","ar1_rho_0.5","quantile_2","delta_mean_support_f1",100,-0.0662828282828283,0.0966430512596513,0.00966430512596513,-0.0852248663297199,-0.0473407902359366
100,20,"n=100, p=20","ar1_rho_0.5","quantile_2","delta_mean_rmse",100,0.246686032594239,0.178701343499003,0.0178701343499003,0.211660569268435,0.281711495920044
100,20,"n=100, p=20","ar1_rho_0.5","quantile_4","delta_mean_entry_tau",100,-0.00288761434829684,0.00726783708888605,0.000726783708888605,-0.00431211041771851,-0.00146311827887518
100,20,"n=100, p=20","ar1_rho_0.5","quantile_4","delta_mean_jaccard_s",100,-0.013015873015873,0.0627412720375551,0.00627412720375551,-0.0253131623352338,-0.000718583696512211
100,20,"n=100, p=20","ar1_rho_0.5","quantile_4","delta_mean_jaccard_2s",100,0.000833333333333335,0.0519820938213954,0.00519820938213954,-0.00935515705566016,0.0110218237223268
100,20,"n=100, p=20","ar1_rho_0.5","quantile_4","delta_mean_support_f1",100,-0.136858585858586,0.139614054792723,0.0139614054792723,-0.16422294059796,-0.109494231119212
100,20,"n=100, p=20","ar1_rho_0.5","quantile_4","delta_mean_rmse",100,0.424323514034182,0.187534381742104,0.0187534381742104,0.38756677521273,0.461080252855634
100,20,"n=100, p=20","ar1_rho_0.5","quantile_8","delta_mean_entry_tau",100,-0.00038480282312794,0.0101770975609804,0.00101770975609804,-0.0023795139450801,0.00160990829882422
100,20,"n=100, p=20","ar1_rho_0.5","quantile_8","delta_mean_jaccard_s",100,-0.00361111111111111,0.0568939512250271,0.0056893951225027,-0.0147623255512164,0.00754010332899419
100,20,"n=100, p=20","ar1_rho_0.5","quantile_8","delta_mean_jaccard_2s",100,0.00333527583527584,0.0539949900535787,0.00539949900535787,-0.00724774221522559,0.0139182938857773
100,20,"n=100, p=20","ar1_rho_0.5","quantile_8","delta_mean_support_f1",100,-0.246130536130536,0.161163377767582,0.0161163377767582,-0.277718558172982,-0.21454251408809
100,20,"n=100, p=20","ar1_rho_0.5","quantile_8","delta_mean_rmse",100,0.65396723338371,0.20962385786209,0.020962385786209,0.61288095724274,0.695053509524679
100,20,"n=100, p=20","ar1_rho_0.5","equal_width_4","delta_mean_entry_tau",100,-0.00444385904249917,0.00978125736375091,0.000978125736375091,-0.00636098548579435,-0.00252673259920399
100,20,"n=100, p=20","ar1_rho_0.5","equal_width_4","delta_mean_jaccard_s",100,-0.0266137566137566,0.0740796282761585,0.00740796282761585,-0.0411333637558837,-0.0120941494716295
100,20,"n=100, p=20","ar1_rho_0.5","equal_width_4","delta_mean_jaccard_2s",100,-0.00141219891219891,0.0545713736734165,0.00545713736734165,-0.0121081881521886,0.00928379032779073
100,20,"n=100, p=20","ar1_rho_0.5","equal_width_4","delta_mean_support_f1",100,-0.197539682539683,0.14670812783842,0.014670812783842,-0.226294475596013,-0.168784889483352
100,20,"n=100, p=20","ar1_rho_0.5","equal_width_4","delta_mean_rmse",100,0.602839889844426,0.216067071598904,0.0216067071598904,0.56049074381104,0.645189035877811
100,20,"n=100, p=20","ar1_rho_0.9","quantile_2","delta_mean_entry_tau",100,-0.00508436227067245,0.0293972056628734,0.00293972056628734,-0.0108462145805956,0.000677490039250728
100,20,"n=100, p=20","ar1_rho_0.9","quantile_2","delta_mean_jaccard_s",100,-0.00373015873015873,0.0963238771954901,0.00963238771954901,-0.0226096386604748,0.0151493212001573
100,20,"n=100, p=20","ar1_rho_0.9","quantile_2","delta_mean_jaccard_2s",100,-0.0135908535908536,0.109416118079326,0.0109416118079326,-0.0350364127344016,0.00785470555269437
