"n","p","dimension","correlation","scheme","metric","replications","mean","sd","se","ci_lower","ci_upper"
100,20,"n=100, p=20","independent","original","mean_entry_tau",100,0.99330849989119,0.00344170725641949,0.000344170725641949,0.992633925268932,0.993983074513448
100,20,"n=100, p=20","independent","original","mean_jaccard_s",100,0.995555555555556,0.0218829317296591,0.00218829317296591,0.991266500936542,0.999844610174569
100,20,"n=100, p=20","independent","original","mean_jaccard_2s",100,0.97989898989899,0.0332540882769655,0.00332540882769655,0.973381188596705,0.986416791201275
100,20,"n=100, p=20","independent","original","mean_support_f1",100,0.988121212121212,0.0450902244946072,0.00450902244946072,0.979283528120269,0.996958896122155
100,20,"n=100, p=20","independent","original","mean_rmse",100,1.67967225148532,0.270152875628722,0.0270152875628722,1.62672228786209,1.73262221510855
100,20,"n=100, p=20","independent","original","f1_lasso",100,0.988,0.0477366513151884,0.00477366513151884,0.978643616342223,0.997356383657777
100,20,"n=100, p=20","independent","original","f1_lar",100,0.988,0.0477366513151884,0.00477366513151884,0.978643616342223,0.997356383657777
100,20,"n=100, p=20","independent","original","f1_glmnet",100,0.988363636363636,0.0425829381315826,0.00425829381315826,0.980017380489846,0.996709892237427
100,20,"n=100, p=20","independent","original","rmse_lasso",100,1.56433363530486,0.272835533580644,0.0272835533580644,1.51085787072306,1.61780939988667
100,20,"n=100, p=20","independent","original","rmse_lar",100,1.56433363530486,0.272835533580644,0.0272835533580644,1.51085787072306,1.61780939988667
100,20,"n=100, p=20","independent","original","rmse_glmnet",100,1.91034948384623,0.329568493679582,0.0329568493679582,1.84575405908503,1.97494490860742
100,20,"n=100, p=20","independent","original","elapsed_seconds",100,0.0324000000000018,0.0200060596880664,0.00200060596880664,0.0284788123011408,0.0363211876988628
100,20,"n=100, p=20","independent","quantile_2","mean_entry_tau",100,0.992442572366348,0.00344186068270974,0.000344186068270974,0.991767967672536,0.993117177060159
100,20,"n=100, p=20","independent","quantile_2","mean_jaccard_s",100,0.995555555555556,0.0218829317296591,0.00218829317296591,0.991266500936542,0.999844610174569
100,20,"n=100, p=20","independent","quantile_2","mean_jaccard_2s",100,0.985151515151515,0.0292633607349699,0.00292633607349699,0.979415896447461,0.990887133855569
100,20,"n=100, p=20","independent","quantile_2","mean_support_f1",100,0.968121212121212,0.072038468584029,0.0072038468584029,0.954001672278742,0.982240751963682
100,20,"n=100, p=20","independent","quantile_2","mean_rmse",100,1.9719612546369,0.329651057855107,0.0329651057855107,1.9073496472973,2.0365728619765
100,20,"n=100, p=20","independent","quantile_2","f1_lasso",100,0.968,0.0736905898354941,0.00736905898354941,0.953556644392243,0.982443355607757
100,20,"n=100, p=20","independent","quantile_2","f1_lar",100,0.968,0.0736905898354941,0.00736905898354941,0.953556644392243,0.982443355607757
100,20,"n=100, p=20","independent","quantile_2","f1_glmnet",100,0.968363636363636,0.070565672601925,0.0070565672601925,0.954532764533659,0.982194508193614
100,20,"n=100, p=20","independent","quantile_2","rmse_lasso",100,1.94685808233087,0.335349922962479,0.0335349922962479,1.88112949743023,2.01258666723152
100,20,"n=100, p=20","independent","quantile_2","rmse_lar",100,1.94685808233087,0.335349922962479,0.0335349922962479,1.88112949743023,2.01258666723152
100,20,"n=100, p=20","independent","quantile_2","rmse_glmnet",100,2.02216759924896,0.332743616474891,0.0332743616474891,1.95694985041988,2.08738534807804
100,20,"n=100, p=20","independent","quantile_2","elapsed_seconds",100,0.0638999999999993,0.040623797573506,0.0040623797573506,0.0559377356755921,0.0718622643244065
100,20,"n=100, p=20","independent","quantile_4","mean_entry_tau",100,0.99056648631874,0.00515515701809833,0.000515515701809833,0.989556075543192,0.991576897094287
100,20,"n=100, p=20","independent","quantile_4","mean_jaccard_s",100,0.976190476190476,0.049040823861375,0.0049040823861375,0.966578474713647,0.985802477667306
100,20,"n=100, p=20","independent","quantile_4","mean_jaccard_2s",100,0.973829503829504,0.0426053570572484,0.00426053570572484,0.965478853846283,0.982180153812724
100,20,"n=100, p=20","independent","quantile_4","mean_support_f1",100,0.891313131313131,0.105914504780373,0.0105914504780373,0.870553888376178,0.912072374250084
100,20,"n=100, p=20","independent","quantile_4","mean_rmse",100,2.13351470979984,0.333856179110813,0.0333856179110813,2.06807889869412,2.19895052090556
100,20,"n=100, p=20","independent","quantile_4","f1_lasso",100,0.89,0.107778298447144,0.0107778298447144,0.86887545350436,0.91112454649564
100,20,"n=100, p=20","independent","quantile_4","f1_lar",100,0.89,0.107778298447144,0.0107778298447144,0.86887545350436,0.91112454649564
100,20,"n=100, p=20","independent","quantile_4","f1_glmnet",100,0.893939393939394,0.107336330427436,0.0107336330427436,0.872901473175617,0.914977314703172
100,20,"n=100, p=20","independent","quantile_4","rmse_lasso",100,2.12162840356385,0.33293337362391,0.033293337362391,2.05637346233356,2.18688334479414
100,20,"n=100, p=20","independent","quantile_4","rmse_lar",100,2.12162840356385,0.33293337362391,0.033293337362391,2.05637346233356,2.18688334479414
100,20,"n=100, p=20","independent","quantile_4","rmse_glmnet",100,2.15728732227181,0.341114175476962,0.0341114175476962,2.09042894387833,2.2241457006653
100,20,"n=100, p=20","independent","quantile_4","elapsed_seconds",100,0.233700000000001,0.167064101893298,0.0167064101893298,0.200955436028915,0.266444563971087
100,20,"n=100, p=20","independent","quantile_8","mean_entry_tau",100,0.992281408565438,0.00600141167483626,0.000600141167483626,0.99110513187717,0.993457685253705
100,20,"n=100, p=20","independent","quantile_8","mean_jaccard_s",100,0.968452380952381,0.0578292130151192,0.00578292130151192,0.957117855201418,0.979786906703344
100,20,"n=100, p=20","independent","quantile_8","mean_jaccard_2s",100,0.987474747474748,0.0282113165924529,0.00282113165924529,0.981945329422627,0.993004165526868
100,20,"n=100, p=20","independent","quantile_8","mean_support_f1",100,0.756513597513598,0.151662275569061,0.0151662275569061,0.726787791502062,0.786239403525134
100,20,"n=100, p=20","independent","quantile_8","mean_rmse",100,2.40980804904217,0.370412550842199,0.0370412550842199,2.3372071890771,2.48240890900724
100,20,"n=100, p=20","independent","quantile_8","f1_lasso",100,0.758,0.156463440077253,0.0156463440077253,0.727333165744859,0.788666834255142
100,20,"n=100, p=20","independent","quantile_8","f1_lar",100,0.758,0.156463440077253,0.0156463440077253,0.727333165744859,0.788666834255142
100,20,"n=100, p=20","independent","quantile_8","f1_glmnet",100,0.753540792540793,0.148294666982223,0.0148294666982223,0.724475037812277,0.782606547269308
100,20,"n=100, p=20","independent","quantile_8","rmse_lasso",100,2.40695924020432,0.370322498780053,0.0370322498780053,2.33437603044343,2.47954244996521
100,20,"n=100, p=20","independent","quantile_8","rmse_lar",100,2.40695924020432,0.370322498780053,0.0370322498780053,2.33437603044343,2.47954244996521
100,20,"n=100, p=20","independent","quantile_8","rmse_glmnet",100,2.41550566671787,0.371028646824597,0.0371028646824597,2.34278405194025,2.48822728149549
100,20,"n=100, p=20","independent","quantile_8","elapsed_seconds",100,0.3972,0.186342142145555,0.0186342142145555,0.360676940139471,0.433723059860529
100,20,"n=100, p=20","independent","equal_width_4","mean_entry_tau",100,0.9892203641936,0.00534853594044381,0.000534853594044381,0.988172051149273,0.990268677237927
100,20,"n=100, p=20","independent","equal_width_4","mean_jaccard_s",100,0.973174603174603,0.0523634585331301,0.00523634585331301,0.96291136530211,0.983437841047097
100,20,"n=100, p=20","independent","equal_width_4","mean_jaccard_2s",100,0.980808080808081,0.0364762622317271,0.00364762622317271,0.973658733410662,0.987957428205499
100,20,"n=100, p=20","independent","equal_width_4","mean_support_f1",100,0.829232323232323,0.125285172373054,0.0125285172373054,0.804676429447205,0.853788217017442
100,20,"n=100, p=20","independent","equal_width_4","mean_rmse",100,2.28798357285151,0.340983204833791,0.0340983204833791,2.22115086470408,2.35481628099893
100,20,"n=100, p=20","independent","equal_width_4","f1_lasso",100,0.828,0.127191893522259,0.0127191893522259,0.803070388869637,0.852929611130363
100,20,"n=100, p=20","independent","equal_width_4","f1_lar",100,0.828,0.127191893522259,0.0127191893522259,0.803070388869637,0.852929611130363
100,20,"n=100, p=20","independent","equal_width_4","f1_glmnet",100,0.83169696969697,0.126820380572635,0.0126820380572635,0.806840175104733,0.856553764289206
100,20,"n=100, p=20","independent","equal_width_4","rmse_lasso",100,2.28322196385199,0.344609231305727,0.0344609231305727,2.21567855451607,2.35076537318792
100,20,"n=100, p=20","independent","equal_width_4","rmse_lar",100,2.28322196385199,0.344609231305727,0.0344609231305727,2.21567855451607,2.35076537318792
100,20,"n=100, p=20","independent","equal_width_4","rmse_glmnet",100,2.29750679085053,0.335405162501966,0.0335405162501966,2.23176737900014,2.36324620270091
100,20,"n=100, p=20","independent","equal_width_4","elapsed_seconds",100,0.219199999999999,0.1225872602012,0.01225872602012,0.195172897000564,0.243227102999434
100,20,"n=100, p=20","ar1_rho_0.5","original","mean_entry_tau",100,0.992867130469503,0.00863698707276626,0.000863698707276626,0.991174281003241,0.994559979935766
100,20,"n=100, p=20","ar1_rho_0.5","original","mean_jaccard_s",100,0.987777777777778,0.0349406708594689,0.00349406708594689,0.980929406289322,0.994626149266234
100,20,"n=100, p=20","ar1_rho_0.5","original","mean_jaccard_2s",100,0.978661616161616,0.0386745561464792,0.00386745561464792,0.971081403156906,0.986241829166326
100,20,"n=100, p=20","ar1_rho_0.5","original","mean_support_f1",100,0.92230303030303,0.103936953212564,0.0103936953212564,0.901931387473368,0.942674673132693
100,20,"n=100, p=20","ar1_rho_0.5","original","mean_rmse",100,1.7394573846594,0.320612269570485,0.0320612269570485,1.67661737982359,1.80229738949522
100,20,"n=100, p=20","ar1_rho_0.5","original","f1_lasso",100,0.922,0.105963591994056,0.0105963591994056,0.901231135969165,0.942768864030835
100,20,"n=100, p=20","ar1_rho_0.5","original","f1_lar",100,0.922,0.105963591994056,0.0105963591994056,0.901231135969165,0.942768864030835
100,20,"n=100, p=20","ar1_rho_0.5","original","f1_glmnet",100,0.922909090909091,0.103147559269333,0.0103147559269333,0.902692169292302,0.94312601252588
100,20,"n=100, p=20","ar1_rho_0.5","original","rmse_lasso",100,1.66207853849333,0.311267796578686,0.0311267796578686,1.60107005036391,1.72308702662275
100,20,"n=100, p=20","ar1_rho_0.5","original","rmse_lar",100,1.66207853849333,0.311267796578686,0.0311267796578686,1.60107005036391,1.72308702662275
100,20,"n=100, p=20","ar1_rho_0.5","original","rmse_glmnet",100,1.89421507699155,0.392585568803787,0.0392585568803787,1.81726830550601,1.9711618484771
100,20,"n=100, p=20","ar1_rho_0.5","original","elapsed_seconds",100,0.0380999999999972,0.0383681001759449,0.00383681001759449,0.030579852365512,0.0456201476344824
100,20,"n=100, p=20","ar1_rho_0.5","quantile_2","mean_entry_tau",100,0.990373582620409,0.00894646324335002,0.000894646324335002,0.988620075824712,0.992127089416106
100,20,"n=100, p=20","ar1_rho_0.5","quantile_2","mean_jaccard_s",100,0.978412698412698,0.0475131096733199,0.00475131096733199,0.969100128916728,0.987725267908669
100,20,"n=100, p=20","ar1_rho_0.5","quantile_2","mean_jaccard_2s",100,0.975709013209013,0.0414767908114228,0.00414767908114228,0.967579562209974,0.983838464208052
100,20,"n=100, p=20","ar1_rho_0.5","quantile_2","mean_support_f1",100,0.856020202020202,0.122067216479171,0.0122067216479171,0.832095027590285,0.87994537645012
100,20,"n=100, p=20","ar1_rho_0.5","quantile_2","mean_rmse",100,1.98614341725364,0.382460028838999,0.0382460028838999,1.9111812516012,2.06110558290609
100,20,"n=100, p=20","ar1_rho_0.5","quantile_2","f1_lasso",100,0.856,0.124169971483374,0.0124169971483374,0.831662685589259,0.880337314410741
100,20,"n=100, p=20","ar1_rho_0.5","quantile_2","f1_lar",100,0.856,0.124169971483374,0.0124169971483374,0.831662685589259,0.880337314410741
100,20,"n=100, p=20","ar1_rho_0.5","quantile_2","f1_glmnet",100,0.856060606060606,0.122307948292139,0.0122307948292139,0.832088248195347,0.880032963925865
100,20,"n=100, p=20","ar1_rho_0.5","quantile_2","rmse_lasso",100,1.96626715273063,0.3854619091133,0.03854619091133,1.89071661854442,2.04181768691684
100,20,"n=100, p=20","ar1_rho_0.5","quantile_2","rmse_lar",100,1.96626715273063,0.3854619091133,0.03854619091133,1.89071661854442,2.04181768691684
100,20,"n=100, p=20","ar1_rho_0.5","quantile_2","rmse_glmnet",100,2.02589594629967,0.383714682097353,0.0383714682097353,1.95068786860859,2.10110402399075
100,20,"n=100, p=20","ar1_rho_0.5","quantile_2","elapsed_seconds",100,0.0694000000000017,0.0121289369324314,0.00121289369324314,0.0670227283612451,0.0717772716387582
100,20,"n=100, p=20","ar1_rho_0.5","quantile_4","mean_entry_tau",100,0.989979516121206,0.00508881599846761,0.000508881599846761,0.988982108185507,0.990976924056906
100,20,"n=100, p=20","ar1_rho_0.5","quantile_4","mean_jaccard_s",100,0.974761904761905,0.0483927840510417,0.00483927840510417,0.965276919087901,0.984246890435909
100,20,"n=100, p=20","ar1_rho_0.5","quantile_4","mean_jaccard_2s",100,0.97949494949495,0.0360772486093997,0.00360772486093997,0.972423808767507,0.986566090222392
