"","s0","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25","s26","s27","s28","s29","s30","s31","s32","s33","s34","s35","s36","s37","s38","s39","s40","s41","s42","s43","s44","s45","s46","s47"
"x1_f79",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.015760715324275,-0.0338319112541283,-0.0503143505369959,-0.0653326278263707,-0.0786383987789561,-0.0892673938725832,-0.0990010004729829,-0.107870083626833,-0.11599307776593,-0.123566237186725,-0.131406429380972,-0.138549052799244,-0.145056837239603,-0.150986455282754,-0.156389298916754,-0.161312168442497,-0.165797703768145,-0.169884756493921,-0.173573860100067,-0.176962751065975,-0.180056513207384,-0.182846190116632,-0.185282337967918,-0.187501245969503,-0.189523031153806,-0.191365206513044,-0.193043728090613,-0.194573134437431,-0.195966672539617,-0.197236412557558,-0.198393352371854,-0.199447512841708,-0.200408024600809,-0.201283207142512
"x2_f79",0,0,0,0,0,0,0.00941663729214271,0.0445580265364545,0.0779148153324346,0.109520729086273,0.13988969924392,0.168517252836331,0.195896540292565,0.222043842534434,0.242727956369291,0.260827030370924,0.277304091359669,0.292317295000182,0.306386762091776,0.320684566243459,0.333668138998105,0.345498122330733,0.356239418402185,0.365840825340858,0.373658584625663,0.380783593295642,0.387275929988225,0.393191536671954,0.398581620490077,0.403492864471482,0.407967807111188,0.412045208184245,0.415795385349659,0.419184430209863,0.422266733028315,0.42510690299855,0.427798770404153,0.430251627152884,0.432486579740372,0.434522985300939,0.436378482204075,0.4380691418763,0.439609608002898,0.441013223364511,0.442292145405925,0.443457451538037,0.44451923508509,0.445486692708221
"x3_f79",0,0,0,0,0,0,-0.0412432023610014,-0.082241605820465,-0.118260447268383,-0.149867112853224,-0.177094802081876,-0.200947757261588,-0.221385142575785,-0.238808646101617,-0.257826446788866,-0.275901973253371,-0.292383669883559,-0.307401249016495,-0.320684199127352,-0.331324005015591,-0.341058077365852,-0.349927549957463,-0.358043248889478,-0.365635916424456,-0.373476886446618,-0.380618680320967,-0.387125735891848,-0.393054692687328,-0.398456934122456,-0.403379254979497,-0.407864290382113,-0.411950887597009,-0.415641106580495,-0.419030120809616,-0.422123481129546,-0.424906722136221,-0.427342708402689,-0.429561712948008,-0.43158358627238,-0.433425841942208,-0.435104436695797,-0.436633909717878,-0.438027508572081,-0.439297303944997,-0.440454294196685,-0.441508500623212,-0.442469054256321,-0.443344274952061
"x4_f79",0,-0.0709634405055833,-0.135622684540088,-0.194537779542912,-0.24821901988249,-0.297131366781998,-0.343820246595622,-0.384818603904503,-0.420836523678324,-0.45244289843119,-0.479670213413285,-0.503524177848504,-0.523958375621665,-0.541383913572323,-0.560406601636551,-0.578484550056193,-0.594965752361488,-0.609982864434049,-0.623250755108615,-0.633897342759534,-0.643631750289184,-0.652501502902182,-0.660611808620651,-0.668218248153539,-0.676059210155091,-0.683200496031526,-0.689707106076947,-0.69563565877494,-0.701037532208126,-0.70595951777642,-0.710444247678641,-0.714530566533192,-0.718219944143166,-0.721609183158798,-0.724702422867872,-0.727482873138822,-0.729917802050814,-0.732136959528343,-0.734158972978579,-0.736001356326737,-0.737680067416066,-0.73920964643894,-0.740603341877119,-0.741873225253755,-0.743030295691157,-0.744084575179919,-0.745045195384616,-0.745920476737907
"x5_f79",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00255178175437169,-0.0103918919907924,-0.017533021166966,-0.0240394939442976,-0.0299679221561055,-0.0353696822245938,-0.0402915645058425,-0.0447762002974609,-0.048862433402012,-0.052552525306808,-0.05594175327264,-0.0590348776193535,-0.0618142435614473,-0.0642489690711003,-0.0664681103646913,-0.0684901092930572,-0.0703324794094516,-0.0720111784424903,-0.0735407464801222,-0.074934431908957,-0.0762043061654522,-0.0773613682929203,-0.0784156402099809,-0.0793762535156251,-0.080251528582757
"x6_f79",0,0,0,0,0,0,0,0,0,0,0.0188609757989644,0.047487098930377,0.0748716370602092,0.101015657741071,0.121690598739242,0.139784340251337,0.156262430445503,0.171276605007005,0.185379877509946,0.199661342329004,0.212644193744182,0.22447357417286,0.235226647376805,0.244793756092791,0.252612405182062,0.259738840589548,0.266232428827052,0.272149170717351,0.277540288345158,0.282452474237129,0.286928275104458,0.291006458161903,0.294752836938352,0.298141785675361,0.301224925422569,0.304077094496157,0.306768903964994,0.309221684409791,0.311456567098681,0.313492908969404,0.315348347840726,0.317038954636523,0.318579372584089,0.319982944046763,0.321261826089098,0.322427095775539,0.323488846114655,0.324456273479949
"x7_f79",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00150021501785796,0.0041921987303257,0.00664496892212206,0.00887984197819505,0.0109161750716236,0.0127716059454011,0.0144622054541341,0.0160026167619988,0.0174061821748242,0.0186850587047627,0.0198503233685129,0.0209120691311396,0.0218794923265085
"x8_f79",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0027303335408776,0.010549175197794,0.0176757741927225,0.0241695058822002,0.0300863778840704,0.0354776140012459,0.0403899078495672,0.0448658070819845,0.0489440797659576,0.0526903468211138,0.0560792550441657,0.0591624644264964,0.0620154167503849,0.064707657726439,0.0671604198658925,0.0693952852680084,0.0714316113872406,0.0732870359063901,0.0749776296250226,0.0765180356571634,0.0779215962629457,0.0792004684128856,0.0803657290857441,0.081427471212019,0.0823948910940795
"x9_f79",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00129906472991112,-0.00373415672973647,-0.00595324864990362,-0.00797520288657619,-0.00981753228193121,-0.0114961942114758,-0.0130257284417857,-0.0144193830666478,-0.0156892292557103,-0.0168462658091791,-0.0179005144241641,-0.0188611064978248,-0.0197363622191641
"x10_f79",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00255978362196949,-0.0103991066353569,-0.0175395691743797,-0.024045457512334,-0.0299733556465576,-0.035374632987816,-0.0402960754536168,-0.0447803105047179,-0.0488661784697473,-0.0525591149050708,-0.0559483058474843,-0.0590409539092899,-0.0618147300479335,-0.0642497891581014,-0.0664688569422142,-0.0684907895461048,-0.0703330992306928,-0.0720117432005207,-0.0735412610666057,-0.0749349007809956,-0.0762047333841911,-0.0773617575587239,-0.0784159948944834,-0.0793765766909339,-0.0802518230480621
