"dataset","representation","method","k","run_id","fit_seed","silhouette_seed","n_used","p_used","nstart","iter_max","algorithm","silhouette_sample_n","silhouette","davies_bouldin","calinski_harabasz","adjusted_rand_index","normalized_mutual_information","clustering_accuracy","purity","total_withinss","iterations","ifault","runtime_sec"
"housing_years","original","kmeans",2,1,40092918,50092918,27,7,30,100,"Hartigan-Wong",27,0.656544353159961,0.444667378023024,95.2243815479214,NA,NA,NA,NA,37.8459006519104,1,0,0.00999999999999091
"housing_years","sparsified","kmeans",2,1,40092918,50092918,27,28,30,100,"Hartigan-Wong",27,0.396958974548812,0.74605184991402,11.6175797982999,NA,NA,NA,NA,497.029025409402,1,0,0
"housing_years","original","kmeans",2,2,40092919,50092919,27,7,30,100,"Hartigan-Wong",27,0.656544353159961,0.444667378023024,95.2243815479214,NA,NA,NA,NA,37.8459006519104,1,0,0.0199999999999818
"housing_years","sparsified","kmeans",2,2,40092919,50092919,27,28,30,100,"Hartigan-Wong",27,0.396958974548812,0.74605184991402,11.6175797982999,NA,NA,NA,NA,497.029025409402,1,0,0.0199999999999818
"housing_years","original","kmeans",2,3,40092920,50092920,27,7,30,100,"Hartigan-Wong",27,0.656544353159961,0.444667378023024,95.2243815479214,NA,NA,NA,NA,37.8459006519104,1,0,0
"housing_years","sparsified","kmeans",2,3,40092920,50092920,27,28,30,100,"Hartigan-Wong",27,0.396958974548812,0.74605184991402,11.6175797982999,NA,NA,NA,NA,497.029025409402,1,0,0
"housing_years","original","kmeans",2,4,40092921,50092921,27,7,30,100,"Hartigan-Wong",27,0.656544353159961,0.444667378023024,95.2243815479214,NA,NA,NA,NA,37.8459006519104,1,0,0
"housing_years","sparsified","kmeans",2,4,40092921,50092921,27,28,30,100,"Hartigan-Wong",27,0.396958974548812,0.74605184991402,11.6175797982999,NA,NA,NA,NA,497.029025409402,1,0,0.00999999999999091
"housing_years","original","kmeans",2,5,40092922,50092922,27,7,30,100,"Hartigan-Wong",27,0.656544353159961,0.444667378023024,95.2243815479214,NA,NA,NA,NA,37.8459006519104,1,0,0
"housing_years","sparsified","kmeans",2,5,40092922,50092922,27,28,30,100,"Hartigan-Wong",27,0.396958974548812,0.74605184991402,11.6175797982999,NA,NA,NA,NA,497.029025409402,1,0,0.0199999999999818
"housing_years","original","kmeans",2,6,40092923,50092923,27,7,30,100,"Hartigan-Wong",27,0.656544353159961,0.444667378023024,95.2243815479214,NA,NA,NA,NA,37.8459006519104,1,0,0
"housing_years","sparsified","kmeans",2,6,40092923,50092923,27,28,30,100,"Hartigan-Wong",27,0.396958974548812,0.74605184991402,11.6175797982999,NA,NA,NA,NA,497.029025409402,1,0,0
"housing_years","original","kmeans",2,7,40092924,50092924,27,7,30,100,"Hartigan-Wong",27,0.656544353159961,0.444667378023024,95.2243815479214,NA,NA,NA,NA,37.8459006519104,1,0,0.00999999999999091
"housing_years","sparsified","kmeans",2,7,40092924,50092924,27,28,30,100,"Hartigan-Wong",27,0.396958974548812,0.74605184991402,11.6175797982999,NA,NA,NA,NA,497.029025409402,1,0,0.0100000000001046
"housing_years","original","kmeans",2,8,40092925,50092925,27,7,30,100,"Hartigan-Wong",27,0.656544353159961,0.444667378023024,95.2243815479214,NA,NA,NA,NA,37.8459006519104,1,0,0
"housing_years","sparsified","kmeans",2,8,40092925,50092925,27,28,30,100,"Hartigan-Wong",27,0.396958974548812,0.74605184991402,11.6175797982999,NA,NA,NA,NA,497.029025409402,1,0,0
"housing_years","original","kmeans",2,9,40092926,50092926,27,7,30,100,"Hartigan-Wong",27,0.656544353159961,0.444667378023024,95.2243815479214,NA,NA,NA,NA,37.8459006519104,1,0,0
"housing_years","sparsified","kmeans",2,9,40092926,50092926,27,28,30,100,"Hartigan-Wong",27,0.396958974548812,0.74605184991402,11.6175797982999,NA,NA,NA,NA,497.029025409402,1,0,0
"housing_years","original","kmeans",2,10,40092927,50092927,27,7,30,100,"Hartigan-Wong",27,0.656544353159961,0.444667378023024,95.2243815479214,NA,NA,NA,NA,37.8459006519104,1,0,0.0200000000000955
"housing_years","sparsified","kmeans",2,10,40092927,50092927,27,28,30,100,"Hartigan-Wong",27,0.396958974548812,0.74605184991402,11.6175797982999,NA,NA,NA,NA,497.029025409402,1,0,0
"housing_years","original","kmeans",2,11,40092928,50092928,27,7,30,100,"Hartigan-Wong",27,0.656544353159961,0.444667378023024,95.2243815479214,NA,NA,NA,NA,37.8459006519104,1,0,0
"housing_years","sparsified","kmeans",2,11,40092928,50092928,27,28,30,100,"Hartigan-Wong",27,0.396958974548812,0.74605184991402,11.6175797982999,NA,NA,NA,NA,497.029025409402,1,0,0
"housing_years","original","kmeans",2,12,40092929,50092929,27,7,30,100,"Hartigan-Wong",27,0.656544353159961,0.444667378023024,95.2243815479214,NA,NA,NA,NA,37.8459006519104,1,0,0
"housing_years","sparsified","kmeans",2,12,40092929,50092929,27,28,30,100,"Hartigan-Wong",27,0.396958974548812,0.74605184991402,11.6175797982999,NA,NA,NA,NA,497.029025409402,1,0,0
"housing_years","original","kmeans",2,13,40092930,50092930,27,7,30,100,"Hartigan-Wong",27,0.656544353159961,0.444667378023024,95.2243815479214,NA,NA,NA,NA,37.8459006519104,1,0,0
"housing_years","sparsified","kmeans",2,13,40092930,50092930,27,28,30,100,"Hartigan-Wong",27,0.396958974548812,0.74605184991402,11.6175797982999,NA,NA,NA,NA,497.029025409402,1,0,0
