"omitted_year","algorithm","fit_ok","kendall_tau_b","full_first_entry_set","loyo_first_entry_set","first_entry_set_same","top3_set_jaccard","mean_absolute_rank_change","max_absolute_rank_change","full_entry_order","loyo_entry_order","full_rank_x1","loyo_rank_x1","rank_change_x1","full_rank_x2","loyo_rank_x2","rank_change_x2","full_rank_x3","loyo_rank_x3","rank_change_x3","full_rank_x4","loyo_rank_x4","rank_change_x4","full_rank_x5","loyo_rank_x5","rank_change_x5","full_rank_x6","loyo_rank_x6","rank_change_x6","full_rank_x7","loyo_rank_x7","rank_change_x7"
1997,"Lasso",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)","x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)",7,7,0,6,6,0,4,4,0,3,3,0,2,2,0,5,5,0,1,1,0
1997,"Lars",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)","x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)",7,7,0,6,6,0,4,4,0,3,3,0,2,2,0,5,5,0,1,1,0
1997,"Glmnet",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x1(4) > x2(4) > x3(4) > x6(4)","x7(1) > x5(2) > x4(3) > x1(4) > x2(4) > x3(4) > x6(4)",4,4,0,4,4,0,4,4,0,3,3,0,2,2,0,4,4,0,1,1,0
1998,"Lasso",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)","x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)",7,7,0,6,6,0,4,4,0,3,3,0,2,2,0,5,5,0,1,1,0
1998,"Lars",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)","x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)",7,7,0,6,6,0,4,4,0,3,3,0,2,2,0,5,5,0,1,1,0
1998,"Glmnet",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x1(4) > x2(4) > x3(4) > x6(4)","x7(1) > x5(2) > x4(3) > x1(4) > x2(4) > x3(4) > x6(4)",4,4,0,4,4,0,4,4,0,3,3,0,2,2,0,4,4,0,1,1,0
1999,"Lasso",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)","x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)",7,7,0,6,6,0,4,4,0,3,3,0,2,2,0,5,5,0,1,1,0
1999,"Lars",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)","x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)",7,7,0,6,6,0,4,4,0,3,3,0,2,2,0,5,5,0,1,1,0
1999,"Glmnet",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x1(4) > x2(4) > x3(4) > x6(4)","x7(1) > x5(2) > x4(3) > x1(4) > x2(4) > x3(4) > x6(4)",4,4,0,4,4,0,4,4,0,3,3,0,2,2,0,4,4,0,1,1,0
2000,"Lasso",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)","x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)",7,7,0,6,6,0,4,4,0,3,3,0,2,2,0,5,5,0,1,1,0
2000,"Lars",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)","x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)",7,7,0,6,6,0,4,4,0,3,3,0,2,2,0,5,5,0,1,1,0
2000,"Glmnet",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x1(4) > x2(4) > x3(4) > x6(4)","x7(1) > x5(2) > x4(3) > x1(4) > x2(4) > x3(4) > x6(4)",4,4,0,4,4,0,4,4,0,3,3,0,2,2,0,4,4,0,1,1,0
2001,"Lasso",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)","x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)",7,7,0,6,6,0,4,4,0,3,3,0,2,2,0,5,5,0,1,1,0
2001,"Lars",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)","x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)",7,7,0,6,6,0,4,4,0,3,3,0,2,2,0,5,5,0,1,1,0
2001,"Glmnet",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x1(4) > x2(4) > x3(4) > x6(4)","x7(1) > x5(2) > x4(3) > x1(4) > x2(4) > x3(4) > x6(4)",4,4,0,4,4,0,4,4,0,3,3,0,2,2,0,4,4,0,1,1,0
2002,"Lasso",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)","x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)",7,7,0,6,6,0,4,4,0,3,3,0,2,2,0,5,5,0,1,1,0
2002,"Lars",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)","x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)",7,7,0,6,6,0,4,4,0,3,3,0,2,2,0,5,5,0,1,1,0
2002,"Glmnet",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x1(4) > x2(4) > x3(4) > x6(4)","x7(1) > x5(2) > x4(3) > x1(4) > x2(4) > x3(4) > x6(4)",4,4,0,4,4,0,4,4,0,3,3,0,2,2,0,4,4,0,1,1,0
2003,"Lasso",TRUE,1,"x7","x7",TRUE,1,0,0,"x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)","x7(1) > x5(2) > x4(3) > x3(4) > x6(5) > x2(6) > x1(7)",7,7,0,6,6,0,4,4,0,3,3,0,2,2,0,5,5,0,1,1,0
