"path_specification","scenario_id","replication","seed","n","p","correlation","representation","scheme","abs_f1_difference","abs_rmse_difference","abs_parent_count_difference_s","abs_parent_count_difference_2s","relative_noise_sd_difference","component_dimension_difference","raw_density_difference","lambda_max_relative_difference","requested_points_difference","requested_ratio_difference","archived_returned_points","current_returned_points","archived_jerr"
"primary_controlled",1,1,20360712,100,20,"independent","original","original",0,2.66453525910038e-15,0,0,1.9643982641623e-15,0,0,2.66453525910038e-15,0,0,200,200,0
"primary_controlled",1,1,20360712,100,20,"independent","sparsified","quantile_2",1.11022302462516e-16,8.88178419700125e-16,0,0,1.9643982641623e-15,0,0,1.99840144432528e-15,0,0,200,200,0
"primary_controlled",1,1,20360712,100,20,"independent","sparsified","quantile_4",1.11022302462516e-16,2.66453525910038e-15,0,0,1.9643982641623e-15,0,0,1.55431223447522e-15,0,0,200,200,0
"primary_controlled",1,1,20360712,100,20,"independent","sparsified","quantile_8",0,2.66453525910038e-15,0,0,1.9643982641623e-15,0,0,2.22044604925031e-16,0,0,200,200,0
"primary_controlled",1,1,20360712,100,20,"independent","sparsified","equal_width_4",1.11022302462516e-16,4.44089209850063e-16,0,0,1.9643982641623e-15,0,0,4.44089209850063e-16,0,0,200,200,0
"primary_controlled",1,2,20360713,100,20,"independent","original","original",0,4.44089209850063e-15,0,0,1.81142475165448e-16,0,0,3.33066907387547e-15,0,0,200,200,0
"primary_controlled",1,2,20360713,100,20,"independent","sparsified","quantile_2",0,2.44249065417534e-15,0,0,1.81142475165448e-16,0,0,1.99840144432528e-15,0,0,200,200,0
"primary_controlled",1,2,20360713,100,20,"independent","sparsified","quantile_4",0,3.10862446895044e-15,0,0,1.81142475165448e-16,0,0,3.33066907387547e-15,0,0,200,200,0
"primary_controlled",1,2,20360713,100,20,"independent","sparsified","quantile_8",0,3.5527136788005e-15,0,0,1.81142475165448e-16,0,0,4.44089209850063e-16,0,0,200,200,0
"primary_controlled",1,2,20360713,100,20,"independent","sparsified","equal_width_4",2.22044604925031e-16,3.10862446895044e-15,0,0,1.81142475165448e-16,0,0,4.44089209850063e-16,0,0,200,200,0
"primary_controlled",1,3,20360714,100,20,"independent","original","original",0,3.5527136788005e-15,0,0,2.93698551967929e-15,0,0,1.55431223447522e-15,0,0,200,200,0
"primary_controlled",1,3,20360714,100,20,"independent","sparsified","quantile_2",0,4.44089209850063e-15,0,0,2.93698551967929e-15,0,0,2.22044604925031e-15,0,0,200,200,0
"primary_controlled",1,3,20360714,100,20,"independent","sparsified","quantile_4",0,2.22044604925031e-15,0,0,2.93698551967929e-15,0,0,2.22044604925031e-16,0,0,200,200,0
"primary_controlled",1,3,20360714,100,20,"independent","sparsified","quantile_8",0,4.44089209850063e-16,0,0,2.93698551967929e-15,0,0,4.10782519111308e-15,0,0,200,200,0
"primary_controlled",1,3,20360714,100,20,"independent","sparsified","equal_width_4",1.11022302462516e-16,1.77635683940025e-15,0,0,2.93698551967929e-15,0,0,9.99200722162641e-16,0,0,200,200,0
"primary_controlled",1,4,20360715,100,20,"independent","original","original",0,4.44089209850063e-16,0,0,1.19769959267714e-15,0,0,1.11022302462516e-15,0,0,200,200,0
"primary_controlled",1,4,20360715,100,20,"independent","sparsified","quantile_2",0,8.88178419700125e-16,0,0,1.19769959267714e-15,0,0,1.4432899320127e-15,0,0,200,200,0
"primary_controlled",1,4,20360715,100,20,"independent","sparsified","quantile_4",1.11022302462516e-16,4.44089209850063e-16,0,0,1.19769959267714e-15,0,0,1.33226762955019e-15,0,0,200,200,0
"primary_controlled",1,4,20360715,100,20,"independent","sparsified","quantile_8",1.11022302462516e-16,8.88178419700125e-16,0,0,1.19769959267714e-15,0,0,0,0,0,200,200,0
"primary_controlled",1,4,20360715,100,20,"independent","sparsified","equal_width_4",1.11022302462516e-16,4.88498130835069e-15,0,0,1.19769959267714e-15,0,0,5.55111512312578e-16,0,0,200,200,0
"primary_controlled",1,5,20360716,100,20,"independent","original","original",0,3.99680288865056e-15,0,0,3.32650496360105e-15,0,0,2.22044604925031e-16,0,0,200,200,0
"primary_controlled",1,5,20360716,100,20,"independent","sparsified","quantile_2",0,3.99680288865056e-15,0,0,3.32650496360105e-15,0,0,1.33226762955019e-15,0,0,200,200,0
"primary_controlled",1,5,20360716,100,20,"independent","sparsified","quantile_4",1.11022302462516e-16,3.10862446895044e-15,0,0,3.32650496360105e-15,0,0,1.4432899320127e-15,0,0,200,200,0
"primary_controlled",1,5,20360716,100,20,"independent","sparsified","quantile_8",1.11022302462516e-16,4.44089209850063e-16,0,0,3.32650496360105e-15,0,0,7.7715611723761e-16,0,0,200,200,0
"primary_controlled",1,5,20360716,100,20,"independent","sparsified","equal_width_4",1.11022302462516e-16,3.5527136788005e-15,0,0,3.32650496360105e-15,0,0,1.77635683940025e-15,0,0,200,200,0
"primary_controlled",1,6,20360717,100,20,"independent","original","original",0,3.5527136788005e-15,0,0,3.23035026154649e-15,0,0,9.99200722162641e-16,0,0,200,200,0
"primary_controlled",1,6,20360717,100,20,"independent","sparsified","quantile_2",0,3.5527136788005e-15,0,0,3.23035026154649e-15,0,0,1.11022302462516e-15,0,0,200,200,0
