"path_specification","n","p","dimension","correlation","active_s","scheme","method","group_weight_specification","df_definition","delta_f1_s_mean","delta_f1_s_sd","delta_f1_s_n","delta_f1_s_ci_low","delta_f1_s_ci_high","delta_rmse_s_mean","delta_rmse_s_sd","delta_rmse_s_n","delta_rmse_s_ci_low","delta_rmse_s_ci_high","delta_f1_2s_mean","delta_f1_2s_sd","delta_f1_2s_n","delta_f1_2s_ci_low","delta_f1_2s_ci_high","delta_rmse_2s_mean","delta_rmse_2s_sd","delta_rmse_2s_n","delta_rmse_2s_ci_low","delta_rmse_2s_ci_high","entry_order_tau_original_vs_sparse_mean","entry_order_tau_original_vs_sparse_sd","entry_order_tau_original_vs_sparse_n","entry_order_tau_original_vs_sparse_ci_low","entry_order_tau_original_vs_sparse_ci_high","active_set_jaccard_s_original_vs_sparse_mean","active_set_jaccard_s_original_vs_sparse_sd","active_set_jaccard_s_original_vs_sparse_n","active_set_jaccard_s_original_vs_sparse_ci_low","active_set_jaccard_s_original_vs_sparse_ci_high","active_set_jaccard_2s_original_vs_sparse_mean","active_set_jaccard_2s_original_vs_sparse_sd","active_set_jaccard_2s_original_vs_sparse_n","active_set_jaccard_2s_original_vs_sparse_ci_low","active_set_jaccard_2s_original_vs_sparse_ci_high","original_parent_count_s_mean","original_parent_count_s_sd","original_parent_count_s_n","original_parent_count_s_ci_low","original_parent_count_s_ci_high","sparse_parent_count_s_mean","sparse_parent_count_s_sd","sparse_parent_count_s_n","sparse_parent_count_s_ci_low","sparse_parent_count_s_ci_high","original_component_count_s_mean","original_component_count_s_sd","original_component_count_s_n","original_component_count_s_ci_low","original_component_count_s_ci_high","sparse_component_count_s_mean","sparse_component_count_s_sd","sparse_component_count_s_n","sparse_component_count_s_ci_low","sparse_component_count_s_ci_high","sparse_df_diagnostic_s_mean","sparse_df_diagnostic_s_sd","sparse_df_diagnostic_s_n","sparse_df_diagnostic_s_ci_low","sparse_df_diagnostic_s_ci_high","original_target_reached_s_mean","original_target_reached_s_sd","original_target_reached_s_n","original_target_reached_s_ci_low","original_target_reached_s_ci_high","sparse_target_reached_s_mean","sparse_target_reached_s_sd","sparse_target_reached_s_n","sparse_target_reached_s_ci_low","sparse_target_reached_s_ci_high","original_target_exact_s_mean","original_target_exact_s_sd","original_target_exact_s_n","original_target_exact_s_ci_low","original_target_exact_s_ci_high","sparse_target_exact_s_mean","sparse_target_exact_s_sd","sparse_target_exact_s_n","sparse_target_exact_s_ci_low","sparse_target_exact_s_ci_high"
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.5",5,"equal_width_4","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",-0.196121212121212,0.15054238078651,100,-0.225627518755368,-0.166614905487056,0.446787420115721,0.210387488453311,100,0.405551472378872,0.48802336785257,-0.0319607843137255,0.0565112564960776,100,-0.0430369905869567,-0.0208845780404943,0.533521463702597,0.182490065107777,100,0.497753410941473,0.569289516463722,0.47004745807898,0.111094304432036,100,0.448272974410301,0.491821941747659,0.63172619047619,0.169839531403356,100,0.598437642321133,0.665014738631248,0.578488011988012,0.129872954315618,100,0.553032912942151,0.603943111033873,5.03,0.171446607997765,100,4.99639646483244,5.06360353516756,5.12,0.383497988352882,100,5.04483439428284,5.19516560571716,5.03,0.171446607997765,100,4.99639646483244,5.06360353516756,8.11,1.91166012785862,100,7.73531461493971,8.48468538506029,8.11,1.91166012785862,100,7.73531461493971,8.48468538506029,1,0,100,1,1,1,0,100,1,1,0.97,0.171446607997765,100,0.936396464832438,1.00360353516756,0.9,0.301511344577764,100,0.840903776462758,0.959096223537242
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.5",5,"equal_width_4","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",-0.124575757575758,0.143251150490179,100,-0.152652983071833,-0.0964985320796825,-0.00224189937501956,0.160353809427653,100,-0.0336712460228395,0.0291874472728003,-0.0308333333333333,0.0604707032237315,100,-0.0426855911651847,-0.0189810755014819,0.226763595252053,0.0884443033227165,100,0.2094285118008,0.244098678703305,0.507467179281674,0.121697967914265,100,0.483614377570478,0.53131998099287,0.745892857142857,0.194842877047297,100,0.707703653241587,0.784082061044127,0.580605228105228,0.127508125292376,100,0.555613635547922,0.605596820662534,5.03,0.171446607997765,100,4.99639646483244,5.06360353516756,5.07,0.293188669562103,100,5.01253502076583,5.12746497923417,5.03,0.171446607997765,100,4.99639646483244,5.06360353516756,20.28,1.17275467824841,100,20.0501400830633,20.5098599169367,8.32729440689553,1.84430245804619,100,7.96581112511847,8.68877768867258,1,0,100,1,1,1,0,100,1,1,0.97,0.171446607997765,100,0.936396464832438,1.00360353516756,0.94,0.238683256575942,100,0.893218081711115,0.986781918288885
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.5",5,"equal_width_4","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",-0.0754545454545454,0.118661173781144,100,-0.0987121355156496,-0.0521969553934413,0.122140440716298,0.115996128788703,100,0.0994051994737119,0.144875681958883,-0.0125833333333333,0.0446726307641932,100,-0.0213391689631152,-0.00382749770355147,0.239090628728984,0.0878541940087063,100,0.221871206703278,0.25631005075469,0.532560120515915,0.113924750191283,100,0.510230869478423,0.554889371553406,0.815952380952381,0.181890904281912,100,0.780301763713126,0.851602998191636,0.592730103230103,0.110747097402558,100,0.571023672139202,0.614436534321005,5.03,0.171446607997765,100,4.99639646483244,5.06360353516756,5.05,0.21904291355759,100,5.00706758894271,5.09293241105729,5.03,0.171446607997765,100,4.99639646483244,5.06360353516756,20.2,0.876171654230361,100,20.0282703557709,20.3717296442291,5.96040029851303,1.881035783533,100,5.59171728494056,6.3290833120855,1,0,100,1,1,1,0,100,1,1,0.97,0.171446607997765,100,0.936396464832438,1.00360353516756,0.95,0.21904291355759,100,0.907067588942712,0.992932411057288
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.5",5,"quantile_2","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",-0.064,0.100569544303959,100,-0.0837116306835759,-0.044288369316424,0.134037891729871,0.124984901355107,100,0.10954085106427,0.158534932395472,-0.00258333333333333,0.0262641923581226,100,-0.00773111503552536,0.0025644483688587,0.122063575367366,0.0794532276066195,100,0.106490742756469,0.137636407978264,0.686484153276159,0.090120267153644,100,0.668820580914045,0.704147725638274,0.870238095238095,0.172669835457085,100,0.836394807488507,0.904081382987684,0.719189976689977,0.116972424111205,100,0.69626338156418,0.742116571815773,5.03,0.171446607997765,100,4.99639646483244,5.06360353516756,5.03,0.171446607997765,100,4.99639646483244,5.06360353516756,5.03,0.171446607997765,100,4.99639646483244,5.06360353516756,7.65,1.05767994624407,100,7.44269473053616,7.85730526946384,7.65,1.05767994624407,100,7.44269473053616,7.85730526946384,1,0,100,1,1,1,0,100,1,1,0.97,0.171446607997765,100,0.936396464832438,1.00360353516756,0.97,0.171446607997765,100,0.936396464832438,1.00360353516756
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.5",5,"quantile_2","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",-0.0329090909090909,0.0780724029892973,100,-0.0482112818949932,-0.0176068999231886,0.0330836374853264,0.100525767774905,100,0.0133805870014449,0.0527866879692078,-0.00608333333333333,0.032991832305552,100,-0.0125497324652215,0.000383065798554861,0.0878496612961312,0.0512405363847314,100,0.0778065161647238,0.0978928064275386,0.65570704325959,0.0970602468223453,100,0.636683234882411,0.67473085163677,0.915714285714286,0.143154252528346,100,0.88765605221873,0.943772519209842,0.681821511821512,0.129443153984812,100,0.656450653640489,0.707192370002535,5.03,0.171446607997765,100,4.99639646483244,5.06360353516756,5.04,0.196946385566932,100,5.00139850842888,5.07860149157112,5.03,0.171446607997765,100,4.99639646483244,5.06360353516756,10.08,0.393892771133865,100,10.0027970168578,10.1572029831422,3.49852766230046,1.23965027711852,100,3.25555620798523,3.74149911661569,1,0,100,1,1,1,0,100,1,1,0.97,0.171446607997765,100,0.936396464832438,1.00360353516756,0.96,0.196946385566932,100,0.921398508428881,0.998601491571119
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.5",5,"quantile_2","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",-0.0301818181818182,0.0742818245932132,100,-0.044741055802088,-0.0156225805615484,0.0440983365488148,0.080638482783424,100,0.0282931939232637,0.059903479174366,-0.00475,0.0303887780915011,100,-0.0107062005059342,0.00120620050593423,0.0880376502896357,0.0507442551063592,100,0.0780917762887893,0.0979835242904821,0.659280053732765,0.094831972026247,100,0.64069298721562,0.677867120249909,0.926666666666667,0.134673400505042,100,0.900270680167678,0.953062653165655,0.681638361638362,0.128532235345445,100,0.656446043510654,0.706830679766069,5.03,0.171446607997765,100,4.99639646483244,5.06360353516756,5.03,0.171446607997765,100,4.99639646483244,5.06360353516756,5.03,0.171446607997765,100,4.99639646483244,5.06360353516756,10.06,0.342893215995531,100,9.99279292966488,10.1272070703351,3.38411683770346,1.13296853509643,100,3.16205500482456,3.60617867058236,1,0,100,1,1,1,0,100,1,1,0.97,0.171446607997765,100,0.936396464832438,1.00360353516756,0.97,0.171446607997765,100,0.936396464832438,1.00360353516756
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.5",5,"quantile_4","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",-0.138727272727273,0.141772849527606,100,-0.166514751234683,-0.110939794219862,0.288038419282049,0.175391151342896,100,0.253661753618841,0.322415084945257,-0.026,0.0507972356238586,100,-0.0359562581822763,-0.0160437418177237,0.357145011525592,0.13523756077692,100,0.330638449613316,0.383651573437869,0.544020446315775,0.110568446925783,100,0.522349030718322,0.565691861913229,0.727857142857143,0.192010863002666,100,0.69022301370862,0.765491272005665,0.615256701631702,0.141076710271178,100,0.587605666418551,0.642907736844852,5.03,0.171446607997765,100,4.99639646483244,5.06360353516756,5.04,0.196946385566932,100,5.00139850842888,5.07860149157112,5.03,0.171446607997765,100,4.99639646483244,5.06360353516756,7.54,1.33651136406041,100,7.27804377264416,7.80195622735584,7.54,1.33651136406041,100,7.27804377264416,7.80195622735584,1,0,100,1,1,1,0,100,1,1,0.97,0.171446607997765,100,0.936396464832438,1.00360353516756,0.96,0.196946385566932,100,0.921398508428881,0.998601491571119
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.5",5,"quantile_4","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",-0.146181818181818,0.128198652093268,100,-0.171308753992099,-0.121054882371538,0.0108179145091322,0.190892240440213,100,-0.0265969646171496,0.048232793635414,-0.0310833333333333,0.0607063616573997,100,-0.0429817802181837,-0.019184886448483,0.23373766584728,0.111805400779523,100,0.211823807294493,0.255651524400067,0.509773493659846,0.130880122955603,100,0.484120989560548,0.535425997759144,0.713630952380952,0.190118665107322,100,0.676367694019917,0.750894210741987,0.592394605394605,0.128366690217507,100,0.567234734111974,0.617554476677237,5.03,0.171446607997765,100,4.99639646483244,5.06360353516756,5.09,0.287623491264661,100,5.03362579571213,5.14637420428787,5.03,0.171446607997765,100,4.99639646483244,5.06360353516756,20.36,1.15049396505865,100,20.1345031828485,20.5854968171515,8.12965418074309,2.23921011324506,100,7.69076899854706,8.56853936293912,1,0,100,1,1,1,0,100,1,1,0.97,0.171446607997765,100,0.936396464832438,1.00360353516756,0.91,0.287623491264661,100,0.853625795712126,0.966374204287874
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.5",5,"quantile_4","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",-0.0814545454545454,0.113662402893562,100,-0.103732376421684,-0.0591767144874072,0.130434728817934,0.139407779002861,100,0.103110804133373,0.157758653502494,-0.0162009803921569,0.0466890726958887,100,-0.025352038640551,-0.00704992214376268,0.253881005588432,0.109803936186677,100,0.232359434095844,0.275402577081021,0.544154027279894,0.1208240722638,100,0.520472509116189,0.567835545443599,0.805952380952381,0.180358224311253,100,0.770602168987375,0.841302592917387,0.604261405261405,0.129357925591767,100,0.578907251845419,0.629615558677392,5.03,0.171446607997765,100,4.99639646483244,5.06360353516756,5.03,0.171446607997765,100,4.99639646483244,5.06360353516756,5.03,0.171446607997765,100,4.99639646483244,5.06360353516756,20.12,0.685786431991061,100,19.9855858593298,20.2544141406702,5.89565939503927,1.99903965155913,100,5.50384762333368,6.28747116674486,1,0,100,1,1,1,0,100,1,1,0.97,0.171446607997765,100,0.936396464832438,1.00360353516756,0.97,0.171446607997765,100,0.936396464832438,1.00360353516756
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.5",5,"quantile_8","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",-0.244125874125874,0.163073670497183,100,-0.276088313543322,-0.212163434708426,0.493446195835296,0.21339447166005,100,0.451620879389926,0.535271512280665,-0.0712009803921568,0.0789654392705238,100,-0.0866782064891795,-0.0557237542951342,0.735825127938907,0.20489663529424,100,0.695665387421235,0.775984868456578,0.412358408503113,0.130376285709378,100,0.386804656504075,0.437912160502151,0.578472222222222,0.168016253163733,100,0.54554103660213,0.611403407842314,0.53026381951382,0.116945453727398,100,0.507342510583249,0.55318512844439,5.03,0.171446607997765,100,4.99639646483244,5.06360353516756,5.1,0.389249472080761,100,5.02370710347217,5.17629289652783,5.03,0.171446607997765,100,4.99639646483244,5.06360353516756,7.67,1.73528444965433,100,7.32988424786775,8.01011575213225,7.67,1.73528444965433,100,7.32988424786775,8.01011575213225,1,0,100,1,1,1,0,100,1,1,0.97,0.171446607997765,100,0.936396464832438,1.00360353516756,0.92,0.272659924344291,100,0.866558654828519,0.973441345171481
