"scenario_id","replication","seed","n","p","dimension","correlation","active_s","snr","noise_sd","path_specification","group_weight_specification","lambda_scale_relative_error","max_training_prediction_rms_over_sd_y","f1_difference_group_minus_glmnet_s","rmse_difference_group_minus_glmnet_s","f1_difference_group_minus_glmnet_2s","rmse_difference_group_minus_glmnet_2s","entry_order_tau_glmnet_vs_group","active_set_jaccard_s_glmnet_vs_group","active_set_jaccard_2s_glmnet_vs_group"
1,1,20360712,100,20,"n=100, p=20","independent",5,3,1.46944737056992,"primary_controlled","equal_parent",4.44089209850063e-16,2.59716495234544e-05,0,-1.24134118539843e-06,0,-3.30144022009371e-06,1,1,1
1,1,20360712,100,20,"n=100, p=20","independent",5,3,1.46944737056992,"primary_controlled","sqrt_group_size",4.44089209850063e-16,2.59716495234544e-05,0,-1.24134118539843e-06,0,-3.30144022009371e-06,1,1,1
1,2,20360713,100,20,"n=100, p=20","independent",5,3,1.22580087702912,"primary_controlled","equal_parent",1.33226762955019e-15,7.0542918121841e-05,0,-1.32759451654252e-07,0,1.64864007068388e-06,1,1,1
1,2,20360713,100,20,"n=100, p=20","independent",5,3,1.22580087702912,"primary_controlled","sqrt_group_size",1.33226762955019e-15,7.0542918121841e-05,0,-1.32759451654252e-07,0,1.64864007068388e-06,1,1,1
1,3,20360714,100,20,"n=100, p=20","independent",5,3,1.28524919800685,"primary_controlled","equal_parent",8.88178419700125e-16,1.65936993350297e-05,0,-3.80435749569585e-08,0,1.11029491312031e-06,1,1,1
1,3,20360714,100,20,"n=100, p=20","independent",5,3,1.28524919800685,"primary_controlled","sqrt_group_size",8.88178419700125e-16,1.65936993350297e-05,0,-3.80435749569585e-08,0,1.11029491312031e-06,1,1,1
1,4,20360715,100,20,"n=100, p=20","independent",5,3,1.29774798620493,"primary_controlled","equal_parent",1.99840144432528e-15,1.87950528570234e-05,0,-1.89240037418159e-06,0,-2.42637935965462e-07,1,1,1
1,4,20360715,100,20,"n=100, p=20","independent",5,3,1.29774798620493,"primary_controlled","sqrt_group_size",1.99840144432528e-15,1.87950528570234e-05,0,-1.89240037418159e-06,0,-2.42637935965462e-07,1,1,1
1,5,20360716,100,20,"n=100, p=20","independent",5,3,1.3350023965373,"primary_controlled","equal_parent",1.55431223447522e-15,6.40520596867572e-05,0,-1.56687999552929e-06,0,-2.91550923536832e-06,1,1,1
1,5,20360716,100,20,"n=100, p=20","independent",5,3,1.3350023965373,"primary_controlled","sqrt_group_size",1.55431223447522e-15,6.40520596867572e-05,0,-1.56687999552929e-06,0,-2.91550923536832e-06,1,1,1
1,6,20360717,100,20,"n=100, p=20","independent",5,3,1.30600311173559,"primary_controlled","equal_parent",2.1094237467878e-15,2.68701685715089e-05,0,-3.33817260056435e-07,0,4.30792160832638e-07,1,1,1
1,6,20360717,100,20,"n=100, p=20","independent",5,3,1.30600311173559,"primary_controlled","sqrt_group_size",2.1094237467878e-15,2.68701685715089e-05,0,-3.33817260056435e-07,0,4.30792160832638e-07,1,1,1
1,7,20360718,100,20,"n=100, p=20","independent",5,3,1.19646070528972,"primary_controlled","equal_parent",8.88178419700125e-16,5.27994982029982e-05,0,-1.36193532451756e-07,0,1.68290691182627e-06,1,1,1
1,7,20360718,100,20,"n=100, p=20","independent",5,3,1.19646070528972,"primary_controlled","sqrt_group_size",8.88178419700125e-16,5.27994982029982e-05,0,-1.36193532451756e-07,0,1.68290691182627e-06,1,1,1
1,8,20360719,100,20,"n=100, p=20","independent",5,3,1.42548522841447,"primary_controlled","equal_parent",1.55431223447522e-15,2.3006804531637e-05,0,1.7033170225389e-06,0,-2.04054595664971e-07,1,1,1
1,8,20360719,100,20,"n=100, p=20","independent",5,3,1.42548522841447,"primary_controlled","sqrt_group_size",1.55431223447522e-15,2.3006804531637e-05,0,1.7033170225389e-06,0,-2.04054595664971e-07,1,1,1
1,9,20360720,100,20,"n=100, p=20","independent",5,3,1.04469567468916,"primary_controlled","equal_parent",1.11022302462516e-15,2.07170692538062e-05,0,-3.60402876431465e-08,0,1.52164366662433e-07,1,1,1
1,9,20360720,100,20,"n=100, p=20","independent",5,3,1.04469567468916,"primary_controlled","sqrt_group_size",1.11022302462516e-15,2.07170692538062e-05,0,-3.60402876431465e-08,0,1.52164366662433e-07,1,1,1
1,10,20360721,100,20,"n=100, p=20","independent",5,3,1.42802824846881,"primary_controlled","equal_parent",3.66373598126302e-15,3.04444974359537e-05,0,-1.43474121405696e-06,0,-3.46258525052434e-06,1,1,1
1,10,20360721,100,20,"n=100, p=20","independent",5,3,1.42802824846881,"primary_controlled","sqrt_group_size",3.66373598126302e-15,3.04444974359537e-05,0,-1.43474121405696e-06,0,-3.46258525052434e-06,1,1,1
1,11,20360722,100,20,"n=100, p=20","independent",5,3,1.3124737969665,"primary_controlled","equal_parent",2.99760216648792e-15,2.30079131203701e-05,0,-4.972535479153e-06,0,-2.37236830846754e-07,1,1,1
1,11,20360722,100,20,"n=100, p=20","independent",5,3,1.3124737969665,"primary_controlled","sqrt_group_size",2.99760216648792e-15,2.30079131203701e-05,0,-4.972535479153e-06,0,-2.37236830846754e-07,1,1,1
1,12,20360723,100,20,"n=100, p=20","independent",5,3,1.38708465889627,"primary_controlled","equal_parent",2.44249065417534e-15,5.15195059302493e-05,0,5.89478002854804e-07,0,1.25102478931716e-06,1,1,1
1,12,20360723,100,20,"n=100, p=20","independent",5,3,1.38708465889627,"primary_controlled","sqrt_group_size",2.44249065417534e-15,5.15195059302493e-05,0,5.89478002854804e-07,0,1.25102478931716e-06,1,1,1
1,13,20360724,100,20,"n=100, p=20","independent",5,3,1.16027726784242,"primary_controlled","equal_parent",4.44089209850063e-16,2.9918551794297e-05,0,9.25752684732828e-07,0,-8.58073422094208e-07,1,1,1
1,13,20360724,100,20,"n=100, p=20","independent",5,3,1.16027726784242,"primary_controlled","sqrt_group_size",4.44089209850063e-16,2.9918551794297e-05,0,9.25752684732828e-07,0,-8.58073422094208e-07,1,1,1
1,14,20360725,100,20,"n=100, p=20","independent",5,3,1.22209412864585,"primary_controlled","equal_parent",1.88737914186277e-15,3.99971413007055e-05,0,-5.63408475429128e-07,0,-9.42864820663303e-07,1,1,1
1,14,20360725,100,20,"n=100, p=20","independent",5,3,1.22209412864585,"primary_controlled","sqrt_group_size",1.88737914186277e-15,3.99971413007055e-05,0,-5.63408475429128e-07,0,-9.42864820663303e-07,1,1,1
1,15,20360726,100,20,"n=100, p=20","independent",5,3,1.57016169746577,"primary_controlled","equal_parent",4.44089209850063e-16,3.0789898609237e-05,0,-1.34105499238757e-06,0,-2.38934156038262e-06,1,1,1
1,15,20360726,100,20,"n=100, p=20","independent",5,3,1.57016169746577,"primary_controlled","sqrt_group_size",4.44089209850063e-16,3.0789898609237e-05,0,-1.34105499238757e-06,0,-2.38934156038262e-06,1,1,1
1,16,20360727,100,20,"n=100, p=20","independent",5,3,1.25774144337653,"primary_controlled","equal_parent",1.88737914186277e-15,3.99354959549645e-05,0,4.7728017094073e-08,0,2.92859137229762e-06,1,1,1
1,16,20360727,100,20,"n=100, p=20","independent",5,3,1.25774144337653,"primary_controlled","sqrt_group_size",1.88737914186277e-15,3.99354959549645e-05,0,4.7728017094073e-08,0,2.92859137229762e-06,1,1,1
1,17,20360728,100,20,"n=100, p=20","independent",5,3,1.40939235451752,"primary_controlled","equal_parent",1.66533453693773e-15,3.42907473488293e-05,0,-1.55173914606621e-07,0,7.82173226188121e-08,1,1,1
1,17,20360728,100,20,"n=100, p=20","independent",5,3,1.40939235451752,"primary_controlled","sqrt_group_size",1.66533453693773e-15,3.42907473488293e-05,0,-1.55173914606621e-07,0,7.82173226188121e-08,1,1,1
1,18,20360729,100,20,"n=100, p=20","independent",5,3,1.12733699117695,"primary_controlled","equal_parent",4.44089209850063e-16,3.07564305987766e-05,0,-7.87980094507645e-08,0,-6.77266317028469e-07,1,1,1
1,18,20360729,100,20,"n=100, p=20","independent",5,3,1.12733699117695,"primary_controlled","sqrt_group_size",4.44089209850063e-16,3.07564305987766e-05,0,-7.87980094507645e-08,0,-6.77266317028469e-07,1,1,1
1,19,20360730,100,20,"n=100, p=20","independent",5,3,1.33263095704514,"primary_controlled","equal_parent",1.88737914186277e-15,1.51117665282127e-05,0,5.70747001660266e-07,0,8.62159381664895e-07,1,1,1
1,19,20360730,100,20,"n=100, p=20","independent",5,3,1.33263095704514,"primary_controlled","sqrt_group_size",1.88737914186277e-15,1.51117665282127e-05,0,5.70747001660266e-07,0,8.62159381664895e-07,1,1,1
1,20,20360731,100,20,"n=100, p=20","independent",5,3,1.70040136019807,"primary_controlled","equal_parent",4.44089209850063e-16,3.14227623723625e-05,0,-5.56143442409507e-09,0,-4.3740374477963e-07,1,1,1
1,20,20360731,100,20,"n=100, p=20","independent",5,3,1.70040136019807,"primary_controlled","sqrt_group_size",4.44089209850063e-16,3.14227623723625e-05,0,-5.56143442409507e-09,0,-4.3740374477963e-07,1,1,1
