"path_specification","n","p","dimension","correlation","active_s","group_weight_specification","lambda_scale_relative_error_mean","lambda_scale_relative_error_n","lambda_scale_relative_error_ci_low","lambda_scale_relative_error_ci_high","max_training_prediction_rms_over_sd_y_mean","max_training_prediction_rms_over_sd_y_n","max_training_prediction_rms_over_sd_y_ci_low","max_training_prediction_rms_over_sd_y_ci_high","f1_difference_group_minus_glmnet_s_mean","f1_difference_group_minus_glmnet_s_n","f1_difference_group_minus_glmnet_s_ci_low","f1_difference_group_minus_glmnet_s_ci_high","rmse_difference_group_minus_glmnet_s_mean","rmse_difference_group_minus_glmnet_s_n","rmse_difference_group_minus_glmnet_s_ci_low","rmse_difference_group_minus_glmnet_s_ci_high","entry_order_tau_glmnet_vs_group_mean","entry_order_tau_glmnet_vs_group_n","entry_order_tau_glmnet_vs_group_ci_low","entry_order_tau_glmnet_vs_group_ci_high","active_set_jaccard_s_glmnet_vs_group_mean","active_set_jaccard_s_glmnet_vs_group_n","active_set_jaccard_s_glmnet_vs_group_ci_low","active_set_jaccard_s_glmnet_vs_group_ci_high"
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.5",5,"equal_parent",1.47992729182533e-15,100,1.33839428155862e-15,1.62146030209204e-15,0.000111096055854669,100,0.000105787371278814,0.000116404740430524,0,100,0,0,-5.12223689553615e-06,100,-7.71369199785226e-06,-2.53078179322003e-06,0.999866408505883,100,0.999751696524201,0.999981120487564,1,100,1,1
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.5",5,"sqrt_group_size",1.47992729182533e-15,100,1.33839428155862e-15,1.62146030209204e-15,0.000111096055854669,100,0.000105787371278814,0.000116404740430524,0,100,0,0,-5.12223689553615e-06,100,-7.71369199785226e-06,-2.53078179322003e-06,0.999866408505883,100,0.999751696524201,0.999981120487564,1,100,1,1
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.9",5,"equal_parent",1.25011112572793e-15,100,1.11281283051407e-15,1.38740942094178e-15,0.000420135182832754,100,0.000406195238220631,0.000434075127444878,0,100,0,0,-2.14690432594311e-05,100,-3.45746326946529e-05,-8.36345382420931e-06,0.999617689532001,100,0.999355937737942,0.999879441326059,1,100,1,1
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.9",5,"sqrt_group_size",1.25011112572793e-15,100,1.11281283051407e-15,1.38740942094178e-15,0.000420135182832754,100,0.000406195238220631,0.000434075127444878,0,100,0,0,-2.14690432594311e-05,100,-3.45746326946529e-05,-8.36345382420931e-06,0.999617689532001,100,0.999355937737942,0.999879441326059,1,100,1,1
"primary_controlled",100,20,"n=100, p=20","block",5,"equal_parent",1.47326595367758e-15,100,1.32754365765942e-15,1.61898824969574e-15,0.00032389900428649,100,0.000313152790839454,0.000334645217733526,0,100,0,0,-2.49087305120743e-06,100,-1.53137061169331e-05,1.03319600145182e-05,0.998520181894431,100,0.996198275379627,1.00084208840924,1,100,1,1
"primary_controlled",100,20,"n=100, p=20","block",5,"sqrt_group_size",1.47326595367758e-15,100,1.32754365765942e-15,1.61898824969574e-15,0.00032389900428649,100,0.000313152790839454,0.000334645217733526,0,100,0,0,-2.49087305120743e-06,100,-1.53137061169331e-05,1.03319600145182e-05,0.998520181894431,100,0.996198275379627,1.00084208840924,1,100,1,1
"primary_controlled",100,20,"n=100, p=20","independent",5,"equal_parent",1.31894495325469e-15,100,1.1725211242386e-15,1.46536878227077e-15,3.57959778281541e-05,100,3.33460987628604e-05,3.82458568934478e-05,0,100,0,0,-1.15416065370244e-06,100,-1.84851383868643e-06,-4.59807468718453e-07,0.999973368794263,100,0.999921171631019,1.00002556595751,1,100,1,1
"primary_controlled",100,20,"n=100, p=20","independent",5,"sqrt_group_size",1.31894495325469e-15,100,1.1725211242386e-15,1.46536878227077e-15,3.57959778281541e-05,100,3.33460987628604e-05,3.82458568934478e-05,0,100,0,0,-1.15416065370244e-06,100,-1.84851383868643e-06,-4.59807468718453e-07,0.999973368794263,100,0.999921171631019,1.00002556595751,1,100,1,1
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.5",10,"equal_parent",1.48325796089921e-15,100,1.33856781265524e-15,1.62794810914318e-15,0.00121655249098651,100,0.00115676801096813,0.00127633697100488,0,100,0,0,-6.70774678851238e-06,100,-1.20485922750736e-05,-1.36690130195121e-06,0.998763536721485,100,0.998387298770994,0.999139774671977,1,100,1,1
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.5",10,"sqrt_group_size",1.48325796089921e-15,100,1.33856781265524e-15,1.62794810914318e-15,0.00121655249098651,100,0.00115676801096813,0.00127633697100488,0,100,0,0,-6.70774678851238e-06,100,-1.20485922750736e-05,-1.36690130195121e-06,0.998763536721485,100,0.998387298770994,0.999139774671977,1,100,1,1
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.9",10,"equal_parent",1.51878509768721e-15,100,1.37655006831197e-15,1.66102012706246e-15,0.00123679754369626,100,0.00117298435073547,0.00130061073665705,-9.52380952380949e-05,100,-0.000641880124739587,0.000451403934263397,-4.92923801042933e-05,100,-6.98719186964213e-05,-2.87128415121652e-05,0.998151907321234,100,0.997516498846865,0.998787315795603,0.998181818181818,100,0.995674705668117,1.00068893069552
