"path_specification","n","p","dimension","correlation","active_s","scheme","penalty_sensitivity_delta_f1_s_mean","penalty_sensitivity_delta_f1_s_n","penalty_sensitivity_delta_f1_s_ci_low","penalty_sensitivity_delta_f1_s_ci_high","penalty_sensitivity_delta_rmse_s_mean","penalty_sensitivity_delta_rmse_s_n","penalty_sensitivity_delta_rmse_s_ci_low","penalty_sensitivity_delta_rmse_s_ci_high","penalty_sensitivity_delta_f1_2s_mean","penalty_sensitivity_delta_f1_2s_n","penalty_sensitivity_delta_f1_2s_ci_low","penalty_sensitivity_delta_f1_2s_ci_high","penalty_sensitivity_delta_rmse_2s_mean","penalty_sensitivity_delta_rmse_2s_n","penalty_sensitivity_delta_rmse_2s_ci_low","penalty_sensitivity_delta_rmse_2s_ci_high","penalty_sensitivity_entry_tau_mean","penalty_sensitivity_entry_tau_n","penalty_sensitivity_entry_tau_ci_low","penalty_sensitivity_entry_tau_ci_high"
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.5",5,"equal_width_4",0.0715454545454546,100,0.0437775622020346,0.0993133468888745,-0.44902931949074,100,-0.484142545199444,-0.413916093782036,0.00112745098039216,100,-0.0109118816230389,0.0131667835838232,-0.306757868450545,100,-0.334418099431405,-0.279097637469685,0.0374197212026937,100,0.0188643050926355,0.0559751373127519
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.5",5,"quantile_2",0.0310909090909091,100,0.0138077829920163,0.0483740351898019,-0.100954254244545,100,-0.120598146501448,-0.0813103619876421,-0.0035,100,-0.00840923036340145,0.00140923036340145,-0.0342139140712349,100,-0.0453211851885861,-0.0231066429538837,-0.030777110016569,100,-0.0423894326084503,-0.0191647874246878
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.5",5,"quantile_4",-0.00745454545454546,100,-0.0313901489512366,0.0164810580421457,-0.277220504772917,100,-0.307342071798302,-0.247098937747532,-0.00508333333333333,100,-0.0169455794124976,0.00677891274583096,-0.123407345678313,100,-0.143903782114102,-0.102910909242523,-0.0342469526559293,100,-0.0526729559117267,-0.015820949400132
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.5",5,"quantile_8",0.0563076923076923,100,0.0284943051257579,0.0841210794896267,-0.333931959998478,100,-0.36209739253558,-0.305766527461376,0.012906862745098,100,-0.00340678665420337,0.0292205121443994,-0.292113511309886,100,-0.320454929160161,-0.263772093459611,0.0297482900265496,100,0.00670406222711017,0.052792517825989
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.9",5,"equal_width_4",0.0753636363636363,100,0.0405463372808722,0.1101809354464,-0.418564346353076,100,-0.469526725957008,-0.367601966749145,0.0190245098039216,100,-0.000957240802521464,0.0390062604103646,-0.246137963850886,100,-0.283240165360243,-0.209035762341529,0.100783420368526,100,0.0752685646274815,0.12629827610957
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.9",5,"quantile_2",0.0148787878787879,100,-0.0123265068799552,0.0420840826375309,-0.182704210987889,100,-0.217901064239638,-0.147507357736141,-0.0139117647058823,100,-0.0299667115244567,0.00214318211269203,-0.0225142369845151,100,-0.0331484521020418,-0.0118800218669883,-0.01807400173661,100,-0.0412235599815203,0.00507555650830033
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.9",5,"quantile_4",0.0336363636363636,100,0.00681805525235699,0.0604546720203703,-0.270949374289244,100,-0.31262915353946,-0.229269595039027,-0.0138333333333333,100,-0.0343524876817455,0.00668582101507883,-0.120239777327659,100,-0.144424973859136,-0.096054580796182,0.0130179724183676,100,-0.00858000422248802,0.0346159490592231
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.9",5,"quantile_8",0.0287272727272727,100,-0.00490985777102155,0.062364403225567,-0.346753803607273,100,-0.393283468429135,-0.300224138785411,0.0127058823529412,100,-0.00787882230557443,0.0332905870114568,-0.228185649151243,100,-0.259112080077703,-0.197259218224783,0.051885849262543,100,0.0262200578508917,0.0775516406741942
"primary_controlled",100,20,"n=100, p=20","block",5,"equal_width_4",0.120181818181818,100,0.0905826531773396,0.149780983186297,-0.494248478916941,100,-0.557569112611104,-0.430927845222778,0.038,100,0.0173508214377936,0.0586491785622064,-0.301505887569918,100,-0.355247223735508,-0.247764551404327,0.139720797492998,100,0.115685620206036,0.16375597477996
"primary_controlled",100,20,"n=100, p=20","block",5,"quantile_2",0.013030303030303,100,-0.00862794981983653,0.0346885558804426,-0.207115477618669,100,-0.251194769947587,-0.163036185289751,-0.015,100,-0.0324531291512931,0.0024531291512931,-0.039454396783366,100,-0.0583438100240028,-0.0205649835427291,-0.0170399691159284,100,-0.038429304453515,0.00434936622165813
