"path_specification","scenario_id","replication","seed","n","p","dimension","correlation","active_s","scheme","snr_component_lasso","noise_sd_component_lasso","method_component_lasso","group_weight_specification_component_lasso","delta_f1_s_component_lasso","delta_rmse_s_component_lasso","delta_f1_2s_component_lasso","delta_rmse_2s_component_lasso","entry_order_tau_original_vs_sparse_component_lasso","active_set_jaccard_s_original_vs_sparse_component_lasso","active_set_jaccard_2s_original_vs_sparse_component_lasso","original_parent_count_s_component_lasso","sparse_parent_count_s_component_lasso","original_component_count_s_component_lasso","original_target_reached_s_component_lasso","sparse_target_reached_s_component_lasso","original_target_exact_s_component_lasso","sparse_target_exact_s_component_lasso","df_definition_component_lasso","sparse_component_count_s_component_lasso","sparse_df_diagnostic_s_component_lasso","snr_group_lasso","noise_sd_group_lasso","method_group_lasso","group_weight_specification_group_lasso","delta_f1_s_group_lasso","delta_rmse_s_group_lasso","delta_f1_2s_group_lasso","delta_rmse_2s_group_lasso","entry_order_tau_original_vs_sparse_group_lasso","active_set_jaccard_s_original_vs_sparse_group_lasso","active_set_jaccard_2s_original_vs_sparse_group_lasso","original_parent_count_s_group_lasso","sparse_parent_count_s_group_lasso","original_component_count_s_group_lasso","original_target_reached_s_group_lasso","sparse_target_reached_s_group_lasso","original_target_exact_s_group_lasso","sparse_target_exact_s_group_lasso","df_definition_group_lasso","sparse_component_count_s_group_lasso","sparse_df_diagnostic_s_group_lasso","penalty_sensitivity_delta_f1_s","penalty_sensitivity_delta_rmse_s","penalty_sensitivity_delta_f1_2s","penalty_sensitivity_delta_rmse_2s","penalty_sensitivity_entry_tau"
"primary_controlled",1,1,20360712,100,20,"n=100, p=20","independent",5,"equal_width_4",3,1.46944737056992,"component_lasso_glmnet","not_applicable",-0.2,0.226879627025697,0,0.467744152783553,0.566137566137566,0.666666666666667,0.666666666666667,5,5,5,TRUE,TRUE,TRUE,TRUE,"active_coefficient_count_proxy_excluding_intercept",9,9,3,1.46944737056992,"parent_group_lasso_grpreg","equal_parent",-0.0909090909090909,-0.00138700150486937,0,0.283386264770457,0.42021871069606,0.833333333333333,0.428571428571429,5,6,5,TRUE,TRUE,TRUE,FALSE,"grpreg_approximate_df_excluding_intercept",24,6.7066571789055,0.109090909090909,-0.228266628530566,0,-0.184357888013096,-0.145918855441506
"primary_controlled",1,1,20360712,100,20,"n=100, p=20","independent",5,"quantile_2",3,1.46944737056992,"component_lasso_glmnet","not_applicable",-0.2,0.0802566008365266,0,0.125929144598676,0.774538533796397,0.666666666666667,0.818181818181818,5,5,5,TRUE,TRUE,TRUE,TRUE,"active_coefficient_count_proxy_excluding_intercept",8,8,3,1.46944737056992,"parent_group_lasso_grpreg","equal_parent",0,-0.00548540523880048,0,0.0860859464609913,0.735449735449735,1,0.818181818181818,5,5,5,TRUE,TRUE,TRUE,TRUE,"grpreg_approximate_df_excluding_intercept",10,2.80974614035124,0.2,-0.0857420060753271,0,-0.0398431981376846,-0.0390887983466613
"primary_controlled",1,1,20360712,100,20,"n=100, p=20","independent",5,"quantile_4",3,1.46944737056992,"component_lasso_glmnet","not_applicable",-0.2,0.18090626810609,0,0.310001693720248,0.564645764951329,0.666666666666667,0.818181818181818,5,5,5,TRUE,TRUE,TRUE,TRUE,"active_coefficient_count_proxy_excluding_intercept",8,8,3,1.46944737056992,"parent_group_lasso_grpreg","equal_parent",-0.2,-0.183935088686745,0,0.234823942712,0.529100529100529,0.666666666666667,0.666666666666667,5,5,5,TRUE,TRUE,TRUE,TRUE,"grpreg_approximate_df_excluding_intercept",20,9.64594967825646,0,-0.364841356792835,0,-0.0751777510082479,-0.0355452358507999
"primary_controlled",1,1,20360712,100,20,"n=100, p=20","independent",5,"quantile_8",3,1.46944737056992,"component_lasso_glmnet","not_applicable",-0.4,0.599924026970225,0,0.94259271220086,0.338624338624339,0.428571428571429,0.538461538461538,5,5,5,TRUE,TRUE,TRUE,TRUE,"active_coefficient_count_proxy_excluding_intercept",6,6,3,1.46944737056992,"parent_group_lasso_grpreg","equal_parent",-0.4,0.114822127679548,0,0.524494745226823,0.312998448588955,0.428571428571429,0.538461538461538,5,5,5,TRUE,TRUE,TRUE,TRUE,"grpreg_approximate_df_excluding_intercept",40,13.1779149200555,0,-0.485101899290676,0,-0.418097966974037,-0.0256258900353837
"primary_controlled",1,10,20360721,100,20,"n=100, p=20","independent",5,"equal_width_4",3,1.42802824846881,"component_lasso_glmnet","not_applicable",0,0.374844431955353,0.0416666666666666,0.376654274266474,0.389345792598048,0.666666666666667,0.4,5,5,5,TRUE,TRUE,TRUE,TRUE,"active_coefficient_count_proxy_excluding_intercept",8,8,3,1.42802824846881,"parent_group_lasso_grpreg","equal_parent",0.109090909090909,-0.113902715175972,0.0416666666666666,0.151968224573993,0.342250882972487,0.833333333333333,0.4,5,6,5,TRUE,TRUE,TRUE,FALSE,"grpreg_approximate_df_excluding_intercept",24,9.0488206071087,0.109090909090909,-0.488747147131324,0,-0.224686049692481,-0.0470949096255606
"primary_controlled",1,10,20360721,100,20,"n=100, p=20","independent",5,"quantile_2",3,1.42802824846881,"component_lasso_glmnet","not_applicable",0.2,0.0784599738638947,0,0.0587761252559635,0.720430107526882,0.666666666666667,0.692307692307692,5,5,5,TRUE,TRUE,TRUE,TRUE,"active_coefficient_count_proxy_excluding_intercept",8,8,3,1.42802824846881,"parent_group_lasso_grpreg","equal_parent",0.2,0.0190807475469714,0.0416666666666666,0.0790678901130253,0.602685952925745,0.666666666666667,0.615384615384615,5,5,5,TRUE,TRUE,TRUE,TRUE,"grpreg_approximate_df_excluding_intercept",10,2.97042762405231,0,-0.0593792263169233,0.0416666666666666,0.0202917648570617,-0.117744154601136
"primary_controlled",1,10,20360721,100,20,"n=100, p=20","independent",5,"quantile_4",3,1.42802824846881,"component_lasso_glmnet","not_applicable",0.2,0.102598100097338,0,0.19926205964944,0.577548365016072,0.666666666666667,0.571428571428571,5,5,5,TRUE,TRUE,TRUE,TRUE,"active_coefficient_count_proxy_excluding_intercept",7,7,3,1.42802824846881,"parent_group_lasso_grpreg","equal_parent",0.2,-0.141423515322655,0.0416666666666666,0.157893205074213,0.570684928876591,0.666666666666667,0.5,5,5,5,TRUE,TRUE,TRUE,TRUE,"grpreg_approximate_df_excluding_intercept",20,9.15479342969587,0,-0.244021615419993,0.0416666666666666,-0.0413688545752275,-0.0068634361394817
"primary_controlled",1,10,20360721,100,20,"n=100, p=20","independent",5,"quantile_8",3,1.42802824846881,"component_lasso_glmnet","not_applicable",0,0.198477759642813,0.0416666666666666,0.461054546256595,0.529419334598066,0.428571428571429,0.5,5,5,5,TRUE,TRUE,TRUE,TRUE,"active_coefficient_count_proxy_excluding_intercept",11,11,3,1.42802824846881,"parent_group_lasso_grpreg","equal_parent",0,0.0879766624461675,0.0416666666666666,0.284846873147229,0.538683904827436,0.666666666666667,0.615384615384615,5,5,5,TRUE,TRUE,TRUE,TRUE,"grpreg_approximate_df_excluding_intercept",40,11.9528475545198,0,-0.110501097196645,0,-0.176207673109366,0.00926457022936977
"primary_controlled",1,100,20360811,100,20,"n=100, p=20","independent",5,"equal_width_4",3,1.18076394003973,"component_lasso_glmnet","not_applicable",-0.2,0.705884489141439,0,0.330406132990972,0.649078776532836,0.666666666666667,0.818181818181818,5,5,5,TRUE,TRUE,TRUE,TRUE,"active_coefficient_count_proxy_excluding_intercept",8,8,3,1.18076394003973,"parent_group_lasso_grpreg","equal_parent",0,0.0798366146531981,0,0.145077047233481,0.659632902980525,1,0.818181818181818,5,5,5,TRUE,TRUE,TRUE,TRUE,"grpreg_approximate_df_excluding_intercept",20,8.97542983540443,0.2,-0.626047874488241,0,-0.185329085757491,0.0105541264476884
"primary_controlled",1,100,20360811,100,20,"n=100, p=20","independent",5,"quantile_2",3,1.18076394003973,"component_lasso_glmnet","not_applicable",0,0.236125948074601,0,0.107946404675668,0.846560846560847,1,0.818181818181818,5,5,5,TRUE,TRUE,TRUE,TRUE,"active_coefficient_count_proxy_excluding_intercept",8,8,3,1.18076394003973,"parent_group_lasso_grpreg","equal_parent",0,0.0731692125749457,0,0.0717939429400247,0.814814814814815,1,0.818181818181818,5,5,5,TRUE,TRUE,TRUE,TRUE,"grpreg_approximate_df_excluding_intercept",10,4.19434050874496,0,-0.162956735499655,0,-0.0361524617356435,-0.0317460317460317
"primary_controlled",1,100,20360811,100,20,"n=100, p=20","independent",5,"quantile_4",3,1.18076394003973,"component_lasso_glmnet","not_applicable",0,0.742452086528095,0,0.268419047607453,0.687830687830688,1,0.818181818181818,5,5,5,TRUE,TRUE,TRUE,TRUE,"active_coefficient_count_proxy_excluding_intercept",6,6,3,1.18076394003973,"parent_group_lasso_grpreg","equal_parent",0,0.0941338523513187,0,0.234502642135624,0.716182890839134,1,0.818181818181818,5,5,5,TRUE,TRUE,TRUE,TRUE,"grpreg_approximate_df_excluding_intercept",20,9.29017501443339,0,-0.648318234176777,0,-0.0339164054718288,0.0283522030084462
"primary_controlled",1,100,20360811,100,20,"n=100, p=20","independent",5,"quantile_8",3,1.18076394003973,"component_lasso_glmnet","not_applicable",-0.2,0.875109590881196,0,0.762603446557434,0.546421020418006,0.666666666666667,0.818181818181818,5,5,5,TRUE,TRUE,TRUE,TRUE,"active_coefficient_count_proxy_excluding_intercept",6,6,3,1.18076394003973,"parent_group_lasso_grpreg","equal_parent",-0.166666666666667,0.288122398237014,0,0.391389006574613,0.645353984991285,0.714285714285714,0.818181818181818,5,7,5,TRUE,TRUE,TRUE,FALSE,"grpreg_approximate_df_excluding_intercept",56,13.6173364363532,0.0333333333333331,-0.586987192644182,0,-0.371214439982821,0.0989329645732789
"primary_controlled",1,11,20360722,100,20,"n=100, p=20","independent",5,"equal_width_4",3,1.3124737969665,"component_lasso_glmnet","not_applicable",-0.4,0.801536151787854,-0.133333333333333,0.743197965629516,0.374671488892938,0.428571428571429,0.538461538461538,5,5,5,TRUE,TRUE,TRUE,TRUE,"active_coefficient_count_proxy_excluding_intercept",11,11,3,1.3124737969665,"parent_group_lasso_grpreg","equal_parent",-0.454545454545455,0.275969814776467,-0.266666666666667,0.44189267479781,0.196287162674429,0.375,0.333333333333333,5,6,5,TRUE,TRUE,TRUE,FALSE,"grpreg_approximate_df_excluding_intercept",24,8.76479709019798,-0.0545454545454546,-0.525566337011387,-0.133333333333333,-0.301305290831707,-0.178384326218509
"primary_controlled",1,11,20360722,100,20,"n=100, p=20","independent",5,"quantile_2",3,1.3124737969665,"component_lasso_glmnet","not_applicable",-0.2,0.179134880369061,0,0.151460130164259,0.617030005579025,0.666666666666667,0.538461538461538,5,5,5,TRUE,TRUE,TRUE,TRUE,"active_coefficient_count_proxy_excluding_intercept",9,9,3,1.3124737969665,"parent_group_lasso_grpreg","equal_parent",-0.4,0.273564372413029,0,0.244237803249534,0.472150202108762,0.428571428571429,0.428571428571429,5,5,5,TRUE,TRUE,TRUE,TRUE,"grpreg_approximate_df_excluding_intercept",10,4.01208650557299,-0.2,0.0944294920439679,0,0.0927776730852745,-0.144879803470262
"primary_controlled",1,11,20360722,100,20,"n=100, p=20","independent",5,"quantile_4",3,1.3124737969665,"component_lasso_glmnet","not_applicable",-0.4,0.409161095508248,-0.133333333333333,0.438429959837731,0.366049033095557,0.428571428571429,0.428571428571429,5,5,5,TRUE,TRUE,TRUE,TRUE,"active_coefficient_count_proxy_excluding_intercept",10,10,3,1.3124737969665,"parent_group_lasso_grpreg","equal_parent",-0.4,0.252964595767074,-0.266666666666667,0.413133366040648,0.17989417989418,0.428571428571429,0.25,5,5,5,TRUE,TRUE,TRUE,TRUE,"grpreg_approximate_df_excluding_intercept",20,9.62643674298936,0,-0.156196499741175,-0.133333333333333,-0.0252965937970837,-0.186154853201377
"primary_controlled",1,11,20360722,100,20,"n=100, p=20","independent",5,"quantile_8",3,1.3124737969665,"component_lasso_glmnet","not_applicable",-0.4,0.936001488158786,-0.166666666666667,0.837080806617015,0.276599657673356,0.428571428571429,0.4,5,5,5,TRUE,TRUE,TRUE,TRUE,"active_coefficient_count_proxy_excluding_intercept",7,7,3,1.3124737969665,"parent_group_lasso_grpreg","equal_parent",-0.4,0.487111772112505,-0.133333333333333,0.564108856169217,0.275132275132275,0.428571428571429,0.428571428571429,5,5,5,TRUE,TRUE,TRUE,TRUE,"grpreg_approximate_df_excluding_intercept",40,14.5523240956064,0,-0.448889716046281,0.0333333333333332,-0.272971950447798,-0.00146738254108081
"primary_controlled",1,12,20360723,100,20,"n=100, p=20","independent",5,"equal_width_4",3,1.38708465889627,"component_lasso_glmnet","not_applicable",-0.2,0.383518978250593,0,0.641169744922791,0.37037037037037,0.666666666666667,0.428571428571429,5,5,5,TRUE,TRUE,TRUE,TRUE,"active_coefficient_count_proxy_excluding_intercept",6,6,3,1.38708465889627,"parent_group_lasso_grpreg","equal_parent",-0.2,-0.0571658923198286,-0.0416666666666666,0.246479435824012,0.518518518518518,0.666666666666667,0.615384615384615,5,5,5,TRUE,TRUE,TRUE,TRUE,"grpreg_approximate_df_excluding_intercept",20,6.39792764190192,0,-0.440684870570421,-0.0416666666666666,-0.394690309098779,0.148148148148148
"primary_controlled",1,12,20360723,100,20,"n=100, p=20","independent",5,"quantile_2",3,1.38708465889627,"component_lasso_glmnet","not_applicable",0,0.0167371627023662,0,0.145647143230699,0.81794479969585,1,0.818181818181818,5,5,5,TRUE,TRUE,TRUE,TRUE,"active_coefficient_count_proxy_excluding_intercept",8,8,3,1.38708465889627,"parent_group_lasso_grpreg","equal_parent",0,-0.0203446131215723,0,0.0986559086691694,0.828498926143539,1,0.818181818181818,5,5,5,TRUE,TRUE,TRUE,TRUE,"grpreg_approximate_df_excluding_intercept",10,2.47992252366023,0,-0.0370817758239386,0,-0.0469912345615298,0.0105541264476884
"primary_controlled",1,12,20360723,100,20,"n=100, p=20","independent",5,"quantile_4",3,1.38708465889627,"component_lasso_glmnet","not_applicable",-0.2,0.00888459645138084,-0.0416666666666666,0.306341913964624,0.680860695811338,0.666666666666667,0.75,5,5,5,TRUE,TRUE,TRUE,TRUE,"active_coefficient_count_proxy_excluding_intercept",8,8,3,1.38708465889627,"parent_group_lasso_grpreg","equal_parent",0,-0.298336293635805,0,0.156944117936956,0.659583799067233,1,0.666666666666667,5,5,5,TRUE,TRUE,TRUE,TRUE,"grpreg_approximate_df_excluding_intercept",20,9.24763980010096,0.2,-0.307220890087186,0.0416666666666666,-0.149397796027668,-0.0212768967441044
