"dimension","correlation","scheme","method","group_weight_specification","df_definition","delta_f1_s_mean","delta_f1_s_ci_low","delta_f1_s_ci_high","delta_rmse_s_mean","delta_rmse_s_ci_low","delta_rmse_s_ci_high","entry_order_tau_original_vs_sparse_mean","active_set_jaccard_s_original_vs_sparse_mean","sparse_component_count_s_mean","sparse_df_diagnostic_s_mean"
"n=100, p=20","ar1_rho_0.5","equal_width_4","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",-0.196121212121212,-0.225627518755368,-0.166614905487056,0.446787420115721,0.405551472378872,0.48802336785257,0.47004745807898,0.63172619047619,8.11,8.11
"n=100, p=20","ar1_rho_0.5","equal_width_4","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",-0.124575757575758,-0.152652983071833,-0.0964985320796825,-0.00224189937501956,-0.0336712460228395,0.0291874472728003,0.507467179281674,0.745892857142857,20.28,8.32729440689553
"n=100, p=20","ar1_rho_0.5","quantile_2","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",-0.064,-0.0837116306835759,-0.044288369316424,0.134037891729871,0.10954085106427,0.158534932395472,0.686484153276159,0.870238095238095,7.65,7.65
"n=100, p=20","ar1_rho_0.5","quantile_2","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",-0.0329090909090909,-0.0482112818949932,-0.0176068999231886,0.0330836374853264,0.0133805870014449,0.0527866879692078,0.65570704325959,0.915714285714286,10.08,3.49852766230046
"n=100, p=20","ar1_rho_0.5","quantile_4","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",-0.138727272727273,-0.166514751234683,-0.110939794219862,0.288038419282049,0.253661753618841,0.322415084945257,0.544020446315775,0.727857142857143,7.54,7.54
"n=100, p=20","ar1_rho_0.5","quantile_4","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",-0.146181818181818,-0.171308753992099,-0.121054882371538,0.0108179145091322,-0.0265969646171496,0.048232793635414,0.509773493659846,0.713630952380952,20.36,8.12965418074309
"n=100, p=20","ar1_rho_0.5","quantile_8","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",-0.244125874125874,-0.276088313543322,-0.212163434708426,0.493446195835296,0.451620879389926,0.535271512280665,0.412358408503113,0.578472222222222,7.67,7.67
"n=100, p=20","ar1_rho_0.5","quantile_8","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",-0.187818181818182,-0.21805262992695,-0.157583733709414,0.159514235836817,0.122717054349333,0.196311417324301,0.442106698529663,0.639166666666667,40.48,13.3997600961627
"n=100, p=20","ar1_rho_0.9","equal_width_4","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",-0.232212121212121,-0.272516509419877,-0.191907733004365,0.507726437203135,0.454173397381229,0.561279477025042,0.314546618402431,0.396710678210678,6.48,6.48
"n=100, p=20","ar1_rho_0.9","equal_width_4","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",-0.156848484848485,-0.190502416317809,-0.123194553379161,0.0891620908500588,0.0601734883312801,0.118150693368838,0.415330038770957,0.568706349206349,20.44,6.84102518514819
"n=100, p=20","ar1_rho_0.9","quantile_2","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",-0.0815757575757576,-0.112725483087017,-0.0504260320644987,0.193981934121389,0.160321196119671,0.227642672123108,0.608642628578032,0.703293650793651,6.6,6.6
"n=100, p=20","ar1_rho_0.9","quantile_2","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",-0.0666969696969697,-0.0938182306898582,-0.0395757087040812,0.0112777231335001,-0.0135044580714924,0.0360599043384927,0.590568626841422,0.752380952380952,10.14,3.9038825583259
