"path_specification","scenario_id","representation","scheme","method","group_weight_specification","df_definition","replications","target_reached_s_mean","target_exact_s_mean","target_reached_2s_mean","target_exact_2s_mean","selected_parent_count_s_mean","selected_component_count_s_mean","selected_parent_count_2s_mean","selected_component_count_2s_mean"
"primary_controlled",1,"original","original","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",100,1,0.99,1,0.89,5.01,5.01,10.11,10.11
"primary_controlled",1,"original","original","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",100,1,0.99,1,0.89,5.01,5.01,10.11,10.11
"primary_controlled",1,"original","original","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",100,1,0.99,1,0.89,5.01,5.01,10.11,10.11
"primary_controlled",1,"sparsified","equal_width_4","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",100,1,0.95,1,0.92,5.05,8.72,10.09,20.03
"primary_controlled",1,"sparsified","equal_width_4","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",100,1,0.93,1,0.87,5.07,20.28,10.15,40.6
"primary_controlled",1,"sparsified","equal_width_4","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",100,1,0.97,1,0.9,5.03,20.12,10.1,40.4
"primary_controlled",1,"sparsified","quantile_2","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",100,1,0.99,1,0.94,5.01,7.6,10.06,15.16
"primary_controlled",1,"sparsified","quantile_2","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",100,1,0.98,1,0.89,5.02,10.04,10.12,20.24
"primary_controlled",1,"sparsified","quantile_2","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",100,1,0.98,1,0.89,5.02,10.04,10.12,20.24
"primary_controlled",1,"sparsified","quantile_4","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",100,1,0.97,1,0.86,5.03,7.69,10.17,17.69
"primary_controlled",1,"sparsified","quantile_4","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",100,1,0.94,1,0.87,5.06,20.24,10.13,40.52
"primary_controlled",1,"sparsified","quantile_4","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",100,1,0.97,1,0.89,5.03,20.12,10.12,40.48
"primary_controlled",1,"sparsified","quantile_8","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",100,1,0.88,1,0.87,5.13,7.72,10.13,18.42
"primary_controlled",1,"sparsified","quantile_8","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",100,1,0.91,1,0.86,5.1,40.8,10.15,81.2
"primary_controlled",1,"sparsified","quantile_8","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",100,1,0.94,1,0.88,5.07,40.56,10.14,81.12
"primary_controlled",2,"original","original","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",100,1,0.97,1,0.96,5.03,5.03,10.04,10.04
"primary_controlled",2,"original","original","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",100,1,0.97,1,0.96,5.03,5.03,10.04,10.04
"primary_controlled",2,"original","original","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",100,1,0.97,1,0.96,5.03,5.03,10.04,10.04
"primary_controlled",2,"sparsified","equal_width_4","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",100,1,0.9,1,0.87,5.12,8.11,10.14,19.15
"primary_controlled",2,"sparsified","equal_width_4","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",100,1,0.94,1,0.92,5.07,20.28,10.08,40.32
"primary_controlled",2,"sparsified","equal_width_4","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",100,1,0.95,1,0.91,5.05,20.2,10.09,40.36
"primary_controlled",2,"sparsified","quantile_2","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",100,1,0.97,1,0.93,5.03,7.65,10.07,15.04
"primary_controlled",2,"sparsified","quantile_2","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",100,1,0.96,1,0.91,5.04,10.08,10.09,20.18
"primary_controlled",2,"sparsified","quantile_2","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",100,1,0.97,1,0.91,5.03,10.06,10.09,20.18
"primary_controlled",2,"sparsified","quantile_4","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",100,1,0.96,1,0.88,5.04,7.54,10.12,17.1
"primary_controlled",2,"sparsified","quantile_4","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",100,1,0.91,1,0.88,5.09,20.36,10.12,40.48
"primary_controlled",2,"sparsified","quantile_4","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",100,1,0.97,1,0.9,5.03,20.12,10.11,40.44
"primary_controlled",2,"sparsified","quantile_8","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",100,1,0.92,1,0.84,5.1,7.67,10.17,17.93
"primary_controlled",2,"sparsified","quantile_8","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",100,1,0.94,1,0.87,5.06,40.48,10.14,81.12
"primary_controlled",2,"sparsified","quantile_8","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",100,1,0.93,1,0.9,5.07,40.56,10.1,80.8
"primary_controlled",3,"original","original","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",100,1,0.96,0.99,0.95,5.05,5.05,10.03,10.03
"primary_controlled",3,"original","original","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",100,1,0.96,0.99,0.97,5.05,5.05,10.01,10.01
"primary_controlled",3,"original","original","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",100,1,0.96,0.99,0.97,5.05,5.05,10.01,10.01
"primary_controlled",3,"sparsified","equal_width_4","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",100,1,0.9,1,0.96,5.11,6.48,10.04,15.34
"primary_controlled",3,"sparsified","equal_width_4","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",100,1,0.89,1,0.86,5.11,20.44,10.17,40.67
"primary_controlled",3,"sparsified","equal_width_4","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",100,1,0.93,1,0.91,5.08,20.32,10.11,40.44
"primary_controlled",3,"sparsified","quantile_2","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",100,1,0.95,1,0.95,5.05,6.6,10.05,13.93
"primary_controlled",3,"sparsified","quantile_2","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",100,1,0.95,1,0.86,5.07,10.14,10.16,20.32
"primary_controlled",3,"sparsified","quantile_2","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",100,1,0.94,1,0.91,5.07,10.14,10.09,20.18
"primary_controlled",3,"sparsified","quantile_4","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",100,1,0.89,1,0.93,5.11,6.46,10.07,14.48
"primary_controlled",3,"sparsified","quantile_4","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",100,1,0.93,1,0.93,5.07,20.28,10.07,40.28
