"path_specification","n","p","dimension","correlation","active_s","scheme","method","group_weight_specification","df_definition","delta_f1_s_mean","delta_f1_s_sd","delta_f1_s_n","delta_f1_s_ci_low","delta_f1_s_ci_high","delta_rmse_s_mean","delta_rmse_s_sd","delta_rmse_s_n","delta_rmse_s_ci_low","delta_rmse_s_ci_high","delta_f1_2s_mean","delta_f1_2s_sd","delta_f1_2s_n","delta_f1_2s_ci_low","delta_f1_2s_ci_high","delta_rmse_2s_mean","delta_rmse_2s_sd","delta_rmse_2s_n","delta_rmse_2s_ci_low","delta_rmse_2s_ci_high","entry_order_tau_original_vs_sparse_mean","entry_order_tau_original_vs_sparse_sd","entry_order_tau_original_vs_sparse_n","entry_order_tau_original_vs_sparse_ci_low","entry_order_tau_original_vs_sparse_ci_high","active_set_jaccard_s_original_vs_sparse_mean","active_set_jaccard_s_original_vs_sparse_sd","active_set_jaccard_s_original_vs_sparse_n","active_set_jaccard_s_original_vs_sparse_ci_low","active_set_jaccard_s_original_vs_sparse_ci_high","active_set_jaccard_2s_original_vs_sparse_mean","active_set_jaccard_2s_original_vs_sparse_sd","active_set_jaccard_2s_original_vs_sparse_n","active_set_jaccard_2s_original_vs_sparse_ci_low","active_set_jaccard_2s_original_vs_sparse_ci_high","original_parent_count_s_mean","original_parent_count_s_sd","original_parent_count_s_n","original_parent_count_s_ci_low","original_parent_count_s_ci_high","sparse_parent_count_s_mean","sparse_parent_count_s_sd","sparse_parent_count_s_n","sparse_parent_count_s_ci_low","sparse_parent_count_s_ci_high","original_component_count_s_mean","original_component_count_s_sd","original_component_count_s_n","original_component_count_s_ci_low","original_component_count_s_ci_high","sparse_component_count_s_mean","sparse_component_count_s_sd","sparse_component_count_s_n","sparse_component_count_s_ci_low","sparse_component_count_s_ci_high","sparse_df_diagnostic_s_mean","sparse_df_diagnostic_s_sd","sparse_df_diagnostic_s_n","sparse_df_diagnostic_s_ci_low","sparse_df_diagnostic_s_ci_high","original_target_reached_s_mean","original_target_reached_s_sd","original_target_reached_s_n","original_target_reached_s_ci_low","original_target_reached_s_ci_high","sparse_target_reached_s_mean","sparse_target_reached_s_sd","sparse_target_reached_s_n","sparse_target_reached_s_ci_low","sparse_target_reached_s_ci_high","original_target_exact_s_mean","original_target_exact_s_sd","original_target_exact_s_n","original_target_exact_s_ci_low","original_target_exact_s_ci_high","sparse_target_exact_s_mean","sparse_target_exact_s_sd","sparse_target_exact_s_n","sparse_target_exact_s_ci_low","sparse_target_exact_s_ci_high"
"primary_controlled",100,20,"n=100, p=20","independent",5,"equal_width_4","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",-0.236363636363636,0.0514259477226582,2,-0.307636363636364,-0.165090909090909,0.394971824154669,0.237718264908884,2,0.0655111177818836,0.724432530527455,0,0,2,0,0,0.586868021210433,0.168466590331642,2,0.353385239093749,0.820350803327118,0.487313533419203,0.11147401611125,2,0.332818429291211,0.641808637547195,0.619047619047619,0.0673435029701474,2,0.525714285714286,0.712380952380952,0.602564102564103,0.0906547155367368,2,0.476923076923077,0.728205128205128,5,0,2,5,5,5.5,0.707106781186548,2,4.52,6.48,5,0,2,5,5,8,1.4142135623731,2,6.04,9.96,8,1.4142135623731,2,6.04,9.96,1,0,2,1,1,1,0,2,1,1,1,0,2,1,1,0.5,0.707106781186548,2,-0.48,1.48
"primary_controlled",100,20,"n=100, p=20","independent",5,"equal_width_4","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",-0.145454545454545,0.0771389215839869,2,-0.252363636363636,-0.0385454545454547,0.0134202671368029,0.0209406401347547,2,-0.0156019794008747,0.0424425136744805,0,0,2,0,0,0.218638255739988,0.0915675125075441,2,0.0917321580402704,0.345544353439706,0.464077609316284,0.0620258492594674,2,0.378114168020645,0.550041050611923,0.75,0.117851130197758,2,0.586666666666667,0.913333333333333,0.483516483516483,0.0777040418886316,2,0.375824175824176,0.591208791208791,5,0,2,5,5,5.5,0.707106781186548,2,4.52,6.48,5,0,2,5,5,22,2.82842712474619,2,18.08,25.92,7.34580084772579,0.903885644750544,2,6.09307925683803,8.59852243861354,1,0,2,1,1,1,0,2,1,1,1,0,2,1,1,0.5,0.707106781186548,2,-0.48,1.48
"primary_controlled",100,20,"n=100, p=20","independent",5,"equal_width_4","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",-0.0999999999999999,0.141421356237309,2,-0.296,0.0959999999999999,0.0602049256328971,0.0258535620837279,2,0.0243737166611236,0.0960361346046707,-0.0208333333333333,0.0294627825494395,2,-0.0616666666666666,0.02,0.220549487217674,0.0888646230309667,2,0.0973894032142201,0.343709571221129,0.485412848235413,0.0862785845162159,2,0.365836830757531,0.604988865713295,0.833333333333333,0.235702260395516,2,0.506666666666667,1.16,0.521978021978022,0.132096871210674,2,0.338901098901099,0.705054945054945,5,0,2,5,5,5,0,2,5,5,5,0,2,5,5,20,0,2,20,20,6.62313306666775,1.66275494022843,2,4.31867229104132,8.92759384229418,1,0,2,1,1,1,0,2,1,1,1,0,2,1,1,1,0,2,1,1
"primary_controlled",100,20,"n=100, p=20","independent",5,"quantile_2","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",-0.0999999999999999,0.141421356237309,2,-0.296,0.0959999999999999,0.113872603987824,0.047540207569342,2,0.0479852378112808,0.179759970164368,0,0,2,0,0,0.146962994434158,0.0297463557062583,2,0.105736648756613,0.188189340111704,0.77880365843259,0.0060317971057159,2,0.770444014145651,0.787163302719528,0.833333333333333,0.235702260395516,2,0.506666666666667,1.16,0.818181818181818,0,2,0.818181818181818,0.818181818181818,5,0,2,5,5,5,0,2,5,5,5,0,2,5,5,8.5,0.707106781186548,2,7.52,9.48,8.5,0.707106781186548,2,7.52,9.48,1,0,2,1,1,1,0,2,1,1,1,0,2,1,1,1,0,2,1,1
"primary_controlled",100,20,"n=100, p=20","independent",5,"quantile_2","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",0,0,2,0,0,0.00794645517703696,0.0189955191679796,2,-0.0183799912380044,0.0342729015920783,0,0,2,0,0,0.0694420632173516,0.0235380054137096,2,0.0368200520598177,0.102064074374885,0.764550264550265,0.0411543629262011,2,0.707513227513228,0.821587301587302,1,0,2,1,1,0.818181818181818,0,2,0.818181818181818,0.818181818181818,5,0,2,5,5,5,0,2,5,5,5,0,2,5,5,10,0,2,10,10,3.42688229080589,0.872762313803682,2,2.21729543591479,4.63646914569699,1,0,2,1,1,1,0,2,1,1,1,0,2,1,1,1,0,2,1,1
"primary_controlled",100,20,"n=100, p=20","independent",5,"quantile_2","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",0,0,2,0,0,0.00794645517703707,0.0189955191679798,2,-0.0183799912380045,0.0342729015920787,0,0,2,0,0,0.0694420632173518,0.0235380054137096,2,0.0368200520598179,0.102064074374886,0.764550264550265,0.0411543629262011,2,0.707513227513228,0.821587301587302,1,0,2,1,1,0.818181818181818,0,2,0.818181818181818,0.818181818181818,5,0,2,5,5,5,0,2,5,5,5,0,2,5,5,10,0,2,10,10,3.42688229080589,0.872762313803679,2,2.21729543591479,4.63646914569699,1,0,2,1,1,1,0,2,1,1,1,0,2,1,1,1,0,2,1,1
"primary_controlled",100,20,"n=100, p=20","independent",5,"quantile_4","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",-0.0999999999999999,0.141421356237309,2,-0.296,0.0959999999999999,0.200211952990554,0.02730236139451,2,0.162372810617005,0.238051095364103,0,0,2,0,0,0.319417357911908,0.0133157599985964,2,0.300962656096254,0.337872059727562,0.566143509585988,0.00211813077530624,2,0.563207930102056,0.569079089069919,0.833333333333333,0.235702260395516,2,0.506666666666667,1.16,0.742424242424242,0.107137391088871,2,0.593939393939394,0.890909090909091,5,0,2,5,5,5,0,2,5,5,5,0,2,5,5,8.5,0.707106781186548,2,7.52,9.48,8.5,0.707106781186548,2,7.52,9.48,1,0,2,1,1,1,0,2,1,1,1,0,2,1,1,1,0,2,1,1
"primary_controlled",100,20,"n=100, p=20","independent",5,"quantile_4","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",-0.2,0,2,-0.2,-0.2,-0.0404575648636027,0.202907860086397,2,-0.321673511556962,0.240758381829757,0,0,2,0,0,0.224545964858569,0.0145352556740934,2,0.204401128265843,0.244690801451295,0.500625365604646,0.0402699624066695,2,0.444814045152714,0.556436686056577,0.666666666666667,0,2,0.666666666666667,0.666666666666667,0.602564102564103,0.0906547155367368,2,0.476923076923077,0.728205128205128,5,0,2,5,5,5,0,2,5,5,5,0,2,5,5,20,0,2,20,20,8.57920234392586,1.50860854783568,2,6.48837756863788,10.6700271192138,1,0,2,1,1,1,0,2,1,1,1,0,2,1,1,1,0,2,1,1
"primary_controlled",100,20,"n=100, p=20","independent",5,"quantile_4","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",-0.0999999999999999,0.141421356237309,2,-0.296,0.0959999999999999,0.0746518391549139,0.147075488122428,2,-0.129184387840559,0.278488066150387,0,0,2,0,0,0.228488642990626,0.0201110443292183,2,0.200616157579636,0.256361128401616,0.56619950003962,0.0320488907568392,2,0.521782003591631,0.610616996487609,0.833333333333333,0.235702260395516,2,0.506666666666667,1.16,0.602564102564103,0.0906547155367368,2,0.476923076923077,0.728205128205128,5,0,2,5,5,5,0,2,5,5,5,0,2,5,5,20,0,2,20,20,6.4517004187872,0.258416232673859,2,6.09355379262216,6.80984704495224,1,0,2,1,1,1,0,2,1,1,1,0,2,1,1,1,0,2,1,1
"primary_controlled",100,20,"n=100, p=20","independent",5,"quantile_8","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",-0.4,0,2,-0.4,-0.4,0.592270007869528,0.0108244176188684,2,0.577268130432162,0.607271885306894,-0.0666666666666667,0.0942809041582063,2,-0.197333333333333,0.064,0.935665597725138,0.00979641923967677,2,0.922088453352723,0.949242742097553,0.30915434474404,0.0416768650285697,2,0.251393156738656,0.366915532749425,0.428571428571429,0,2,0.428571428571429,0.428571428571429,0.435897435897436,0.145047544858779,2,0.234871794871795,0.636923076923077,5,0,2,5,5,5,0,2,5,5,5,0,2,5,5,6,0,2,6,6,6,0,2,6,6,1,0,2,1,1,1,0,2,1,1,1,0,2,1,1,1,0,2,1,1
