"path_specification","n","p","dimension","correlation","active_s","scheme","penalty_sensitivity_delta_f1_s_mean","penalty_sensitivity_delta_f1_s_n","penalty_sensitivity_delta_f1_s_ci_low","penalty_sensitivity_delta_f1_s_ci_high","penalty_sensitivity_delta_rmse_s_mean","penalty_sensitivity_delta_rmse_s_n","penalty_sensitivity_delta_rmse_s_ci_low","penalty_sensitivity_delta_rmse_s_ci_high","penalty_sensitivity_delta_f1_2s_mean","penalty_sensitivity_delta_f1_2s_n","penalty_sensitivity_delta_f1_2s_ci_low","penalty_sensitivity_delta_f1_2s_ci_high","penalty_sensitivity_delta_rmse_2s_mean","penalty_sensitivity_delta_rmse_2s_n","penalty_sensitivity_delta_rmse_2s_ci_low","penalty_sensitivity_delta_rmse_2s_ci_high","penalty_sensitivity_entry_tau_mean","penalty_sensitivity_entry_tau_n","penalty_sensitivity_entry_tau_ci_low","penalty_sensitivity_entry_tau_ci_high"
"primary_controlled",100,20,"n=100, p=20","independent",5,"equal_width_4",0.0909090909090909,2,0.0552727272727277,0.126545454545454,-0.381551557017866,2,-0.681990016852974,-0.0811130971827583,0,2,0,0,-0.368229765470445,2,-0.728618645286847,-0.00784088565404212,-0.0232359241029189,2,-0.26369446952655,0.217222621320712
"primary_controlled",100,20,"n=100, p=20","independent",5,"quantile_2",0.0999999999999999,2,-0.0959999999999999,0.296,-0.105926148810787,2,-0.14548706857229,-0.0663652290492852,0,2,0,0,-0.0775209312168067,2,-0.151369288051886,-0.0036725743817273,-0.0142533938823254,2,-0.0629307866324239,0.0344239988677731
"primary_controlled",100,20,"n=100, p=20","independent",5,"quantile_4",-0.0999999999999999,2,-0.296,0.0959999999999999,-0.240669517854157,2,-0.484046322173967,0.00270728646565402,0,2,0,0,-0.0948713930533396,2,-0.133470931461719,-0.0562718546449598,-0.0655181439813422,2,-0.124265043917205,-0.00677124404547934
"primary_controlled",100,20,"n=100, p=20","independent",5,"quantile_8",0.1,2,-0.0960000000000001,0.296,-0.464788352840104,2,-0.504602903883226,-0.424973801796982,0,2,0,0,-0.445685686996008,2,-0.499757618239071,-0.391613755752945,-0.00411348383107601,2,-0.0462777999915191,0.0380508323293671
"primary_controlled",100,200,"n=100, p=200","ar1_rho_0.9",20,"equal_width_4",0.125,2,-0.0219999999999999,0.272,-0.288989432486218,2,-0.398809181680426,-0.17916968329201,-0.0346994535519126,2,-0.038448087431694,-0.0309508196721311,-0.155407293700248,2,-0.271240096874519,-0.0395744905259767,0.00193307534017406,2,-0.0593885859983757,0.0632547366787238
"primary_controlled",100,200,"n=100, p=200","ar1_rho_0.9",20,"quantile_2",0.0286585365853659,2,-0.0275121951219512,0.0848292682926829,-0.0765041252966494,2,-0.252469958045096,0.0994617074517974,0.0133879781420765,2,-0.0128524590163934,0.0396284153005464,0.0441989088645334,2,-0.0703988218359532,0.15879663956502,-0.0678864127682816,2,-0.112685768542725,-0.0230870569938381
"primary_controlled",100,200,"n=100, p=200","ar1_rho_0.9",20,"quantile_4",-0.0122093023255814,2,-0.086279069767442,0.0618604651162791,-0.174187271636487,2,-0.328136031569263,-0.0202385117037123,0.0120218579234973,2,-0.0854426229508196,0.109486338797814,-0.0178872924553175,2,-0.114603200462053,0.0788286155514178,0.000654014237052108,2,-0.0408830995502334,0.0421911280243376
"primary_controlled",100,200,"n=100, p=200","ar1_rho_0.9",20,"quantile_8",-0.076829268292683,2,-0.129414634146341,-0.0242439024390245,-0.239969180673221,2,-0.385594250967001,-0.0943441103794413,0,2,-0.130666666666667,0.130666666666667,-0.284028134192017,2,-0.344151609643989,-0.223904658740045,0.0475289427114947,2,-0.0461203130857122,0.141178198508702
"sensitivity_dense_wide",100,20,"n=100, p=20","independent",5,"equal_width_4",0.0909090909090909,2,0.0552727272727277,0.126545454545454,-0.383530678775846,2,-0.683488321638383,-0.0835730359133085,0,2,0,0,-0.377108747040502,2,-0.736166245135162,-0.0180512489458414,-0.0279320338853169,2,-0.268853610837761,0.212989543067128
"sensitivity_dense_wide",100,20,"n=100, p=20","independent",5,"quantile_2",0.0999999999999999,2,-0.0959999999999999,0.296,-0.108689743901497,2,-0.136756545856507,-0.0806229419464877,0,2,0,0,-0.0787663354725247,2,-0.149282809922447,-0.00824986102260242,-0.0158768732074644,2,-0.0613722464802904,0.0296185000653616
