"path_specification","scenario_id","replication","seed","n","p","dimension","correlation","active_s","scheme","snr_component_lasso","noise_sd_component_lasso","method_component_lasso","group_weight_specification_component_lasso","delta_f1_s_component_lasso","delta_rmse_s_component_lasso","delta_f1_2s_component_lasso","delta_rmse_2s_component_lasso","entry_order_tau_original_vs_sparse_component_lasso","active_set_jaccard_s_original_vs_sparse_component_lasso","active_set_jaccard_2s_original_vs_sparse_component_lasso","original_parent_count_s_component_lasso","sparse_parent_count_s_component_lasso","original_component_count_s_component_lasso","original_target_reached_s_component_lasso","sparse_target_reached_s_component_lasso","original_target_exact_s_component_lasso","sparse_target_exact_s_component_lasso","df_definition_component_lasso","sparse_component_count_s_component_lasso","sparse_df_diagnostic_s_component_lasso","snr_group_lasso","noise_sd_group_lasso","method_group_lasso","group_weight_specification_group_lasso","delta_f1_s_group_lasso","delta_rmse_s_group_lasso","delta_f1_2s_group_lasso","delta_rmse_2s_group_lasso","entry_order_tau_original_vs_sparse_group_lasso","active_set_jaccard_s_original_vs_sparse_group_lasso","active_set_jaccard_2s_original_vs_sparse_group_lasso","original_parent_count_s_group_lasso","sparse_parent_count_s_group_lasso","original_component_count_s_group_lasso","original_target_reached_s_group_lasso","sparse_target_reached_s_group_lasso","original_target_exact_s_group_lasso","sparse_target_exact_s_group_lasso","df_definition_group_lasso","sparse_component_count_s_group_lasso","sparse_df_diagnostic_s_group_lasso","penalty_sensitivity_delta_f1_s","penalty_sensitivity_delta_rmse_s","penalty_sensitivity_delta_f1_2s","penalty_sensitivity_delta_rmse_2s","penalty_sensitivity_entry_tau"
"primary_controlled",1,1,20360712,100,20,"n=100, p=20","independent",5,"equal_width_4",3,1.46944737056992,"component_lasso_glmnet","not_applicable",-0.2,0.226879627025697,0,0.467744152783553,0.566137566137566,0.666666666666667,0.666666666666667,5,5,5,TRUE,TRUE,TRUE,TRUE,"active_coefficient_count_proxy_excluding_intercept",9,9,3,1.46944737056992,"parent_group_lasso_grpreg","equal_parent",-0.0909090909090909,-0.00138700150486937,0,0.283386264770457,0.42021871069606,0.833333333333333,0.428571428571429,5,6,5,TRUE,TRUE,TRUE,FALSE,"grpreg_approximate_df_excluding_intercept",24,6.7066571789055,0.109090909090909,-0.228266628530566,0,-0.184357888013096,-0.145918855441506
"primary_controlled",1,1,20360712,100,20,"n=100, p=20","independent",5,"quantile_2",3,1.46944737056992,"component_lasso_glmnet","not_applicable",-0.2,0.0802566008365266,0,0.125929144598676,0.774538533796397,0.666666666666667,0.818181818181818,5,5,5,TRUE,TRUE,TRUE,TRUE,"active_coefficient_count_proxy_excluding_intercept",8,8,3,1.46944737056992,"parent_group_lasso_grpreg","equal_parent",0,-0.00548540523880048,0,0.0860859464609913,0.735449735449735,1,0.818181818181818,5,5,5,TRUE,TRUE,TRUE,TRUE,"grpreg_approximate_df_excluding_intercept",10,2.80974614035124,0.2,-0.0857420060753271,0,-0.0398431981376846,-0.0390887983466613
"primary_controlled",1,1,20360712,100,20,"n=100, p=20","independent",5,"quantile_4",3,1.46944737056992,"component_lasso_glmnet","not_applicable",-0.2,0.18090626810609,0,0.310001693720248,0.564645764951329,0.666666666666667,0.818181818181818,5,5,5,TRUE,TRUE,TRUE,TRUE,"active_coefficient_count_proxy_excluding_intercept",8,8,3,1.46944737056992,"parent_group_lasso_grpreg","equal_parent",-0.2,-0.183935088686745,0,0.234823942712,0.529100529100529,0.666666666666667,0.666666666666667,5,5,5,TRUE,TRUE,TRUE,TRUE,"grpreg_approximate_df_excluding_intercept",20,9.64594967825646,0,-0.364841356792835,0,-0.0751777510082479,-0.0355452358507999
"primary_controlled",1,1,20360712,100,20,"n=100, p=20","independent",5,"quantile_8",3,1.46944737056992,"component_lasso_glmnet","not_applicable",-0.4,0.599924026970225,0,0.94259271220086,0.338624338624339,0.428571428571429,0.538461538461538,5,5,5,TRUE,TRUE,TRUE,TRUE,"active_coefficient_count_proxy_excluding_intercept",6,6,3,1.46944737056992,"parent_group_lasso_grpreg","equal_parent",-0.4,0.114822127679548,0,0.524494745226823,0.312998448588955,0.428571428571429,0.538461538461538,5,5,5,TRUE,TRUE,TRUE,TRUE,"grpreg_approximate_df_excluding_intercept",40,13.1779149200555,0,-0.485101899290676,0,-0.418097966974037,-0.0256258900353837
"primary_controlled",1,2,20360713,100,20,"n=100, p=20","independent",5,"equal_width_4",3,1.22580087702912,"component_lasso_glmnet","not_applicable",-0.272727272727273,0.563064021283642,0,0.705991889637313,0.408489500700839,0.571428571428571,0.538461538461538,5,6,5,TRUE,TRUE,TRUE,FALSE,"active_coefficient_count_proxy_excluding_intercept",7,7,3,1.22580087702912,"parent_group_lasso_grpreg","equal_parent",-0.2,0.0282275357784751,0,0.15389024670952,0.507936507936508,0.666666666666667,0.538461538461538,5,5,5,TRUE,TRUE,TRUE,TRUE,"grpreg_approximate_df_excluding_intercept",20,7.98494451654607,0.072727272727273,-0.534836485505166,0,-0.552101642927793,0.0994470072356685
"primary_controlled",1,2,20360713,100,20,"n=100, p=20","independent",5,"quantile_2",3,1.22580087702912,"component_lasso_glmnet","not_applicable",0,0.147488607139122,0,0.167996844269641,0.783068783068783,1,0.818181818181818,5,5,5,TRUE,TRUE,TRUE,TRUE,"active_coefficient_count_proxy_excluding_intercept",9,9,3,1.22580087702912,"parent_group_lasso_grpreg","equal_parent",0,0.0213783155928744,0,0.0527981799737118,0.793650793650794,1,0.818181818181818,5,5,5,TRUE,TRUE,TRUE,TRUE,"grpreg_approximate_df_excluding_intercept",10,4.04401844126053,0,-0.126110291546248,0,-0.115198664295929,0.0105820105820106
"primary_controlled",1,2,20360713,100,20,"n=100, p=20","independent",5,"quantile_4",3,1.22580087702912,"component_lasso_glmnet","not_applicable",0,0.219517637875018,0,0.328833022103568,0.567641254220647,1,0.666666666666667,5,5,5,TRUE,TRUE,TRUE,TRUE,"active_coefficient_count_proxy_excluding_intercept",9,9,3,1.22580087702912,"parent_group_lasso_grpreg","equal_parent",-0.2,0.10301995895954,0,0.214267987005137,0.472150202108762,0.666666666666667,0.538461538461538,5,5,5,TRUE,TRUE,TRUE,TRUE,"grpreg_approximate_df_excluding_intercept",20,7.51245500959526,-0.2,-0.116497678915478,0,-0.114565035098431,-0.0954910521118845
"primary_controlled",1,2,20360713,100,20,"n=100, p=20","independent",5,"quantile_8",3,1.22580087702912,"component_lasso_glmnet","not_applicable",-0.4,0.584615988768831,-0.133333333333333,0.928738483249416,0.279684350863742,0.428571428571429,0.333333333333333,5,5,5,TRUE,TRUE,TRUE,TRUE,"active_coefficient_count_proxy_excluding_intercept",6,6,3,1.22580087702912,"parent_group_lasso_grpreg","equal_parent",-0.2,0.140141182379299,-0.133333333333333,0.455465076231437,0.297083273236974,0.666666666666667,0.333333333333333,5,5,5,TRUE,TRUE,TRUE,TRUE,"grpreg_approximate_df_excluding_intercept",40,15.0552557631586,0.2,-0.444474806389532,0,-0.473273407017979,0.0173989223732317
"primary_controlled",11,1,21360712,100,200,"n=100, p=200","ar1_rho_0.9",20,"equal_width_4",3,3.08479218639384,"component_lasso_glmnet","not_applicable",-0.35,0.81710933205231,-0.115873015873016,1.02461501579073,0.273484439617072,0.25,0.296875,20,20,20,TRUE,TRUE,TRUE,TRUE,"active_coefficient_count_proxy_excluding_intercept",22,22,3,3.08479218639384,"parent_group_lasso_grpreg","equal_parent",-0.15,0.472089415283333,-0.152485037730939,0.810109353124014,0.30670407686467,0.428571428571429,0.292307692307692,20,20,20,TRUE,TRUE,TRUE,TRUE,"grpreg_approximate_df_excluding_intercept",80,15.0322942775117,0.2,-0.345019916768977,-0.0366120218579235,-0.214505662666713,0.0332196372475974
"primary_controlled",11,1,21360712,100,200,"n=100, p=200","ar1_rho_0.9",20,"quantile_2",3,3.08479218639384,"component_lasso_glmnet","not_applicable",-0.157317073170732,0.496600765464062,0.0174603174603175,0.348345144148889,0.446347816199409,0.464285714285714,0.456140350877193,20,21,20,TRUE,TRUE,TRUE,FALSE,"active_coefficient_count_proxy_excluding_intercept",23,23,3,3.08479218639384,"parent_group_lasso_grpreg","equal_parent",-0.1,0.330318154071266,0.0174603174603175,0.334075823064195,0.401318217601762,0.428571428571429,0.383333333333333,20,20,20,TRUE,TRUE,TRUE,TRUE,"grpreg_approximate_df_excluding_intercept",40,10.6830902229752,0.0573170731707317,-0.166282611392796,0,-0.0142693210846945,-0.0450295985976472
"primary_controlled",11,1,21360712,100,200,"n=100, p=200","ar1_rho_0.9",20,"quantile_4",3,3.08479218639384,"component_lasso_glmnet","not_applicable",-0.15,0.805811005526236,-0.0492063492063493,0.834639685383742,0.236701201127659,0.212121212121212,0.296875,20,20,20,TRUE,TRUE,TRUE,TRUE,"active_coefficient_count_proxy_excluding_intercept",22,22,3,3.08479218639384,"parent_group_lasso_grpreg","equal_parent",-0.124418604651163,0.553078448209761,-0.0869112672391361,0.866097243952269,0.216162810371198,0.387096774193548,0.253731343283582,20,23,20,TRUE,TRUE,TRUE,FALSE,"grpreg_approximate_df_excluding_intercept",92,13.3248705242734,0.0255813953488372,-0.252732557316475,-0.0377049180327869,0.0314575585685271,-0.0205383907564609
"primary_controlled",11,1,21360712,100,200,"n=100, p=200","ar1_rho_0.9",20,"quantile_8",3,3.08479218639384,"component_lasso_glmnet","not_applicable",-0.2,1.02884619057287,-0.115873015873016,1.34482428597968,0.181458729217229,0.25,0.202898550724638,20,20,20,TRUE,TRUE,TRUE,TRUE,"active_coefficient_count_proxy_excluding_intercept",23,23,3,3.08479218639384,"parent_group_lasso_grpreg","equal_parent",-0.303658536585366,0.714578504647716,-0.182539682539683,1.03012090921012,0.181207439379128,0.242424242424242,0.220588235294118,20,21,20,TRUE,TRUE,TRUE,FALSE,"grpreg_approximate_df_excluding_intercept",168,21.7846928094987,-0.103658536585366,-0.31426768592515,-0.0666666666666667,-0.314703376769554,-0.000251289838100632
"primary_controlled",11,2,21360713,100,200,"n=100, p=200","ar1_rho_0.9",20,"equal_width_4",3,2.54075384703566,"component_lasso_glmnet","not_applicable",-0.25,0.661809925325945,-0.157588577472237,0.934759341402513,0.233492053869832,0.176470588235294,0.220588235294118,20,20,20,TRUE,TRUE,TRUE,TRUE,"active_coefficient_count_proxy_excluding_intercept",21,21,3,2.54075384703566,"parent_group_lasso_grpreg","equal_parent",-0.2,0.428850977122486,-0.190375462718138,0.83845041666873,0.204138567302583,0.25,0.169014084507042,20,20,20,TRUE,TRUE,TRUE,TRUE,"grpreg_approximate_df_excluding_intercept",80,18.0860859290051,0.0500000000000001,-0.232958948203459,-0.0327868852459016,-0.0963089247337829,-0.0293534865672493
"primary_controlled",11,2,21360713,100,200,"n=100, p=200","ar1_rho_0.9",20,"quantile_2",3,2.54075384703566,"component_lasso_glmnet","not_applicable",-0.0500000000000001,0.25621699456428,-0.0204301075268816,0.348096240146739,0.434008580034801,0.428571428571429,0.464285714285714,20,20,20,TRUE,TRUE,TRUE,TRUE,"active_coefficient_count_proxy_excluding_intercept",20,20,3,2.54075384703566,"parent_group_lasso_grpreg","equal_parent",-0.0500000000000001,0.269491355363777,0.00634584875727134,0.4507633789605,0.343265353095885,0.379310344827586,0.338709677419355,20,20,20,TRUE,TRUE,TRUE,TRUE,"grpreg_approximate_df_excluding_intercept",40,9.558394402665,0,0.013274360799497,0.026775956284153,0.102667138813761,-0.090743226938916
"primary_controlled",11,2,21360713,100,200,"n=100, p=200","ar1_rho_0.9",20,"quantile_4",3,2.54075384703566,"component_lasso_glmnet","not_applicable",-0.2,0.536746969256461,-0.153763440860215,0.89552166835316,0.261187665389392,0.212121212121212,0.188405797101449,20,20,20,TRUE,TRUE,TRUE,TRUE,"active_coefficient_count_proxy_excluding_intercept",23,23,3,2.54075384703566,"parent_group_lasso_grpreg","equal_parent",-0.25,0.441104983299961,-0.0920148069804336,0.828289524873998,0.283034084619958,0.212121212121212,0.257575757575758,20,20,20,TRUE,TRUE,TRUE,TRUE,"grpreg_approximate_df_excluding_intercept",80,19.3370751598102,-0.0500000000000001,-0.0956419859565001,0.0617486338797814,-0.0672321434791621,0.0218464192305651
"primary_controlled",11,2,21360713,100,200,"n=100, p=200","ar1_rho_0.9",20,"quantile_8",3,2.54075384703566,"component_lasso_glmnet","not_applicable",-0.2,0.805218055668268,-0.220430107526882,1.22434505596723,0.0941526707834754,0.142857142857143,0.108108108108108,20,20,20,TRUE,TRUE,TRUE,TRUE,"active_coefficient_count_proxy_excluding_intercept",24,24,3,2.54075384703566,"parent_group_lasso_grpreg","equal_parent",-0.25,0.639547380246975,-0.153763440860215,0.970992164352753,0.189461846044565,0.176470588235294,0.171428571428571,20,20,20,TRUE,TRUE,TRUE,TRUE,"grpreg_approximate_df_excluding_intercept",160,24.623487178097,-0.0500000000000001,-0.165670675421293,0.0666666666666667,-0.25335289161448,0.0953091752610901
"sensitivity_dense_wide",1,1,20360712,100,20,"n=100, p=20","independent",5,"equal_width_4",3,1.46944737056992,"component_lasso_glmnet","not_applicable",-0.2,0.234157595815209,0,0.476464221202024,0.564645764951329,0.666666666666667,0.666666666666667,5,5,5,TRUE,TRUE,TRUE,TRUE,"active_coefficient_count_proxy_excluding_intercept",9,9,3,1.46944737056992,"parent_group_lasso_grpreg","equal_parent",-0.0909090909090909,0.00366653074473922,0,0.282548075230227,0.4137945591515,0.833333333333333,0.428571428571429,5,6,5,TRUE,TRUE,TRUE,FALSE,"grpreg_approximate_df_excluding_intercept",24,6.59628607272276,0.109090909090909,-0.23049106507047,0,-0.193916145971798,-0.150851205799829
"sensitivity_dense_wide",1,1,20360712,100,20,"n=100, p=20","independent",5,"quantile_2",3,1.46944737056992,"component_lasso_glmnet","not_applicable",-0.2,0.0888091942456581,0,0.129777559688097,0.774538533796397,0.666666666666667,0.818181818181818,5,5,5,TRUE,TRUE,TRUE,TRUE,"active_coefficient_count_proxy_excluding_intercept",8,8,3,1.46944737056992,"parent_group_lasso_grpreg","equal_parent",0,-0.00556075274001788,0,0.0869890173022676,0.735449735449735,1,0.818181818181818,5,5,5,TRUE,TRUE,TRUE,TRUE,"grpreg_approximate_df_excluding_intercept",10,2.79724743429633,0.2,-0.094369946985676,0,-0.0427885423858296,-0.0390887983466613
"sensitivity_dense_wide",1,1,20360712,100,20,"n=100, p=20","independent",5,"quantile_4",3,1.46944737056992,"component_lasso_glmnet","not_applicable",-0.2,0.188856685692496,0,0.306734779008939,0.560846560846561,0.666666666666667,0.818181818181818,5,5,5,TRUE,TRUE,TRUE,TRUE,"active_coefficient_count_proxy_excluding_intercept",8,8,3,1.46944737056992,"parent_group_lasso_grpreg","equal_parent",-0.2,-0.181534359671998,0,0.236391280376609,0.522429259160575,0.666666666666667,0.666666666666667,5,5,5,TRUE,TRUE,TRUE,TRUE,"grpreg_approximate_df_excluding_intercept",20,9.51548373752576,0,-0.370391045364494,0,-0.0703434986323295,-0.0384173016859853
