"dimension","correlation","scheme","method","group_weight_specification","df_definition","delta_f1_s_mean","delta_f1_s_ci_low","delta_f1_s_ci_high","delta_rmse_s_mean","delta_rmse_s_ci_low","delta_rmse_s_ci_high","entry_order_tau_original_vs_sparse_mean","active_set_jaccard_s_original_vs_sparse_mean","sparse_component_count_s_mean","sparse_df_diagnostic_s_mean"
"n=100, p=20","independent","equal_width_4","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",-0.236363636363636,-0.307636363636364,-0.165090909090909,0.394971824154669,0.0655111177818836,0.724432530527455,0.487313533419203,0.619047619047619,8,8
"n=100, p=20","independent","equal_width_4","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",-0.145454545454545,-0.252363636363636,-0.0385454545454547,0.0134202671368029,-0.0156019794008747,0.0424425136744805,0.464077609316284,0.75,22,7.34580084772579
"n=100, p=20","independent","quantile_2","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",-0.0999999999999999,-0.296,0.0959999999999999,0.113872603987824,0.0479852378112808,0.179759970164368,0.77880365843259,0.833333333333333,8.5,8.5
"n=100, p=20","independent","quantile_2","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",0,0,0,0.00794645517703696,-0.0183799912380044,0.0342729015920783,0.764550264550265,1,10,3.42688229080589
"n=100, p=20","independent","quantile_4","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",-0.0999999999999999,-0.296,0.0959999999999999,0.200211952990554,0.162372810617005,0.238051095364103,0.566143509585988,0.833333333333333,8.5,8.5
"n=100, p=20","independent","quantile_4","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",-0.2,-0.2,-0.2,-0.0404575648636027,-0.321673511556962,0.240758381829757,0.500625365604646,0.666666666666667,20,8.57920234392586
"n=100, p=20","independent","quantile_8","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",-0.4,-0.4,-0.4,0.592270007869528,0.577268130432162,0.607271885306894,0.30915434474404,0.428571428571429,6,6
"n=100, p=20","independent","quantile_8","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",-0.3,-0.496,-0.104,0.127481655029424,0.102668981423668,0.15229432863518,0.305040860912964,0.547619047619048,40,14.1165853416071
"n=100, p=200","ar1_rho_0.9","equal_width_4","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",-0.3,-0.398,-0.202,0.739459628689127,0.58726621009729,0.891653047280964,0.253488246743452,0.213235294117647,21.5,21.5
"n=100, p=200","ar1_rho_0.9","equal_width_4","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",-0.175,-0.224,-0.126,0.450470196202909,0.40809652680528,0.492843865600539,0.255421322083626,0.339285714285714,80,16.5591901032584
"n=100, p=200","ar1_rho_0.9","quantile_2","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",-0.103658536585366,-0.208829268292683,0.00151219512195107,0.376408880014171,0.140832784532385,0.611984975495957,0.440178198117105,0.446428571428571,21.5,21.5
"n=100, p=200","ar1_rho_0.9","quantile_2","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",-0.0750000000000001,-0.124,-0.0260000000000001,0.299904754717522,0.240294491984183,0.359515017450861,0.372291785348824,0.403940886699507,40,10.1207423128201
"n=100, p=200","ar1_rho_0.9","quantile_4","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",-0.175,-0.224,-0.126,0.671278987391349,0.40759623184697,0.934961742935727,0.248944433258526,0.212121212121212,22.5,22.5
"n=100, p=200","ar1_rho_0.9","quantile_4","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",-0.187209302325581,-0.310279069767442,-0.0641395348837209,0.497091715754861,0.387357720143257,0.606825711366465,0.249598447495578,0.29960899315738,86,16.3309728420418
"n=100, p=200","ar1_rho_0.9","quantile_8","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",-0.2,-0.2,-0.2,0.917032123120567,0.697876550914061,1.13618769532707,0.137805700000352,0.196428571428571,23.5,23.5
"n=100, p=200","ar1_rho_0.9","quantile_8","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",-0.276829268292683,-0.329414634146341,-0.224243902439025,0.677062942447346,0.60353244053462,0.750593444360072,0.185334642711847,0.209447415329768,164,23.2040899937979
