"scenario_id","replication","seed","n","p","dimension","correlation","active_s","snr","noise_sd","path_specification","method","group_weight_specification","representation","scheme","p_representation","raw_density","df_definition","target_parent_count_s","target_parent_count_2s","target_reached_s","target_exact_s","target_reached_2s","target_exact_2s","selected_step_s","selected_step_2s","group_size_min","group_size_max","f1_s","rmse_s","selected_parent_count_s","selected_component_count_s","df_diagnostic_s","f1_2s","rmse_2s","selected_parent_count_2s","selected_component_count_2s","df_diagnostic_2s","returned_path_points","fit_requested_lambda_points","fit_returned_lambda_points","fit_requested_lambda_min_ratio","fit_returned_lambda_min_ratio","fit_returned_lambda_max","fit_returned_lambda_min","fit_complete_requested_grid","fit_accepted_path","fit_requested_iteration_budget","fit_accepted_iteration_budget","fit_attempt_count","fit_attempt_log","fit_warnings","fit_jerr","fit_glmnet_npasses","fit_grpreg_total_iterations","fit_grpreg_eps","fit_glmnet_thresh","fit_control_interface","fit_first_lambda_active_components","fit_last_lambda_active_components"
1,1,20360712,100,20,"n=100, p=20","independent",5,3,1.46944737056992,"primary_controlled","component_lasso_glmnet","not_applicable","original","original",20,1,"active_coefficient_count_proxy_excluding_intercept",5,10,TRUE,TRUE,TRUE,TRUE,32,98,1,1,1,2.23849009018778,5,5,5,0.666666666666667,1.66998675883904,10,10,10,200,200,200,0.01,0.01,1.35865566638459,0.0135865566638459,TRUE,TRUE,100000,100000,1,"budget=100000; points=200/200; grid=TRUE; jerr=0; warnings=; accepted=TRUE","",0,885,NA,NA,1e-08,"legacy_arguments",0,19
1,1,20360712,100,20,"n=100, p=20","independent",5,3,1.46944737056992,"primary_controlled","parent_group_lasso_grpreg","equal_parent","original","original",20,1,"grpreg_approximate_df_excluding_intercept",5,10,TRUE,TRUE,TRUE,TRUE,32,98,1,1,1,2.2384888488466,5,5,1.38723049836903,0.666666666666667,1.66998345739882,10,10,6.43404867333307,200,200,200,0.01,0.01,1.36550032263271,0.0136550032263271,TRUE,TRUE,100000,100000,1,"budget=100000; points=200/200; grid=TRUE; iter_sum=1200; df_ok=TRUE; warnings=; accepted=TRUE","",NA,NA,1200,1e-06,NA,"grpreg",0,19
1,1,20360712,100,20,"n=100, p=20","independent",5,3,1.46944737056992,"primary_controlled","parent_group_lasso_grpreg","sqrt_group_size","original","original",20,1,"grpreg_approximate_df_excluding_intercept",5,10,TRUE,TRUE,TRUE,TRUE,32,98,1,1,1,2.2384888488466,5,5,1.38723049836903,0.666666666666667,1.66998345739882,10,10,6.43404867333307,200,200,200,0.01,0.01,1.36550032263271,0.0136550032263271,TRUE,TRUE,100000,100000,1,"budget=100000; points=200/200; grid=TRUE; iter_sum=1200; df_ok=TRUE; warnings=; accepted=TRUE","",NA,NA,1200,1e-06,NA,"grpreg",0,19
1,1,20360712,100,20,"n=100, p=20","independent",5,3,1.46944737056992,"primary_controlled","component_lasso_glmnet","not_applicable","sparsified","quantile_2",40,0.5,"active_coefficient_count_proxy_excluding_intercept",5,10,TRUE,TRUE,TRUE,TRUE,28,67,2,2,0.8,2.31874669102431,5,8,8,0.666666666666667,1.79591590343772,10,15,15,200,200,200,0.01,0.01,1.17115123952956,0.0117115123952956,TRUE,TRUE,100000,100000,1,"budget=100000; points=200/200; grid=TRUE; jerr=0; warnings=; accepted=TRUE","",0,1228,NA,NA,1e-08,"legacy_arguments",0,37
1,1,20360712,100,20,"n=100, p=20","independent",5,3,1.46944737056992,"primary_controlled","parent_group_lasso_grpreg","equal_parent","sparsified","quantile_2",40,0.5,"grpreg_approximate_df_excluding_intercept",5,10,TRUE,TRUE,TRUE,TRUE,32,71,2,2,1,2.2330034436078,5,10,2.80974614035124,0.666666666666667,1.75606940385981,10,20,8.82812776463008,200,200,200,0.01,0.01,1.36550058249785,0.0136550058249785,TRUE,TRUE,100000,100000,1,"budget=100000; points=200/200; grid=TRUE; iter_sum=1712; df_ok=TRUE; warnings=; accepted=TRUE","",NA,NA,1712,1e-06,NA,"grpreg",0,40
1,1,20360712,100,20,"n=100, p=20","independent",5,3,1.46944737056992,"primary_controlled","parent_group_lasso_grpreg","sqrt_group_size","sparsified","quantile_2",40,0.5,"grpreg_approximate_df_excluding_intercept",5,10,TRUE,TRUE,TRUE,TRUE,32,71,2,2,1,2.2330034436078,5,10,2.80974614035125,0.666666666666667,1.75606940385981,10,20,8.82812776463009,200,200,200,0.01,0.01,0.965554721598413,0.00965554721598413,TRUE,TRUE,100000,100000,1,"budget=100000; points=200/200; grid=TRUE; iter_sum=1712; df_ok=TRUE; warnings=; accepted=TRUE","",NA,NA,1712,1e-06,NA,"grpreg",0,40
1,1,20360712,100,20,"n=100, p=20","independent",5,3,1.46944737056992,"primary_controlled","component_lasso_glmnet","not_applicable","sparsified","quantile_4",80,0.25,"active_coefficient_count_proxy_excluding_intercept",5,10,TRUE,TRUE,TRUE,TRUE,31,60,4,4,0.8,2.41939635829387,5,8,8,0.666666666666667,1.97998845255929,10,17,17,200,200,200,0.01,0.01,1.19990784650393,0.0119990784650393,TRUE,TRUE,100000,100000,1,"budget=100000; points=200/200; grid=TRUE; jerr=0; warnings=; accepted=TRUE","",0,2001,NA,NA,1e-08,"legacy_arguments",0,68
1,1,20360712,100,20,"n=100, p=20","independent",5,3,1.46944737056992,"primary_controlled","parent_group_lasso_grpreg","equal_parent","sparsified","quantile_4",80,0.25,"grpreg_approximate_df_excluding_intercept",5,10,TRUE,TRUE,TRUE,TRUE,58,69,4,4,0.8,2.05455376015985,5,20,9.64594967825646,0.666666666666667,1.90480740011082,10,40,15.8164388872253,200,200,200,0.01,0.01,1.55803980789061,0.0155803980789061,TRUE,TRUE,100000,100000,1,"budget=100000; points=200/200; grid=TRUE; iter_sum=4336; df_ok=TRUE; warnings=; accepted=TRUE","",NA,NA,4336,1e-06,NA,"grpreg",0,80
1,1,20360712,100,20,"n=100, p=20","independent",5,3,1.46944737056992,"primary_controlled","parent_group_lasso_grpreg","sqrt_group_size","sparsified","quantile_4",80,0.25,"grpreg_approximate_df_excluding_intercept",5,10,TRUE,TRUE,TRUE,TRUE,42,67,4,4,1,2.20914261300382,5,20,6.63442828927957,0.666666666666667,1.91269275621138,10,40,14.90520082386,200,200,200,0.01,0.01,0.779019903945303,0.00779019903945303,TRUE,TRUE,100000,100000,1,"budget=100000; points=200/200; grid=TRUE; iter_sum=4343; df_ok=TRUE; warnings=; accepted=TRUE","",NA,NA,4343,1e-06,NA,"grpreg",0,80
1,1,20360712,100,20,"n=100, p=20","independent",5,3,1.46944737056992,"primary_controlled","component_lasso_glmnet","not_applicable","sparsified","quantile_8",160,0.125,"active_coefficient_count_proxy_excluding_intercept",5,10,TRUE,TRUE,TRUE,TRUE,15,35,8,8,0.6,2.83841411715801,5,6,6,0.666666666666667,2.6125794710399,10,19,19,200,200,200,0.01,0.01,0.962301518524948,0.00962301518524948,TRUE,TRUE,100000,100000,1,"budget=100000; points=200/200; grid=TRUE; jerr=0; warnings=; accepted=TRUE","",0,2491,NA,NA,1e-08,"legacy_arguments",0,91
