"dataset","representation","method","k","clustering_accuracy"
"breast_tissue","original","kmeans",6,0.481132075471698
"breast_tissue","sparsified","kmeans",6,0.528301886792453
"hcv","original","kmeans",5,0.403252032520325
"hcv","sparsified","kmeans",5,0.32520325203252
"wholesale_customers","original","kmeans",3,0.518181818181818
"wholesale_customers","sparsified","kmeans",3,0.390909090909091
"vehicle_silhouettes","original","kmeans",4,0.359338061465721
"vehicle_silhouettes","sparsified","kmeans",4,0.449172576832151
"statlog_image_segmentation","original","kmeans",7,0.545021645021645
"statlog_image_segmentation","sparsified","kmeans",7,0.576623376623377
"vertebral_column_3classes","original","kmeans",3,0.467741935483871
"vertebral_column_3classes","sparsified","kmeans",3,0.474193548387097
"vertebral_column_2classes","original","kmeans",2,0.664516129032258
"vertebral_column_2classes","sparsified","kmeans",2,0.680645161290323
"user_knowledge_modeling","original","kmeans",5,0.387096774193548
"user_knowledge_modeling","sparsified","kmeans",5,0.657568238213399
"banknote_authentication","original","kmeans",2,0.559037900874636
"banknote_authentication","sparsified","kmeans",2,0.57798833819242
"wine","original","kmeans",3,0.966292134831461
"wine","sparsified","kmeans",3,0.971910112359551
