"obs_index","predicted_cluster","dataset","representation","method"
1,3,"breast_tissue","original","kmeans"
2,3,"breast_tissue","original","kmeans"
3,3,"breast_tissue","original","kmeans"
4,3,"breast_tissue","original","kmeans"
5,3,"breast_tissue","original","kmeans"
6,1,"breast_tissue","original","kmeans"
7,1,"breast_tissue","original","kmeans"
8,3,"breast_tissue","original","kmeans"
9,3,"breast_tissue","original","kmeans"
10,3,"breast_tissue","original","kmeans"
11,3,"breast_tissue","original","kmeans"
12,3,"breast_tissue","original","kmeans"
13,3,"breast_tissue","original","kmeans"
14,3,"breast_tissue","original","kmeans"
15,3,"breast_tissue","original","kmeans"
16,3,"breast_tissue","original","kmeans"
17,1,"breast_tissue","original","kmeans"
18,3,"breast_tissue","original","kmeans"
19,3,"breast_tissue","original","kmeans"
20,3,"breast_tissue","original","kmeans"
21,3,"breast_tissue","original","kmeans"
22,1,"breast_tissue","original","kmeans"
23,1,"breast_tissue","original","kmeans"
24,1,"breast_tissue","original","kmeans"
25,1,"breast_tissue","original","kmeans"
26,1,"breast_tissue","original","kmeans"
27,1,"breast_tissue","original","kmeans"
28,1,"breast_tissue","original","kmeans"
29,1,"breast_tissue","original","kmeans"
30,1,"breast_tissue","original","kmeans"
31,1,"breast_tissue","original","kmeans"
32,1,"breast_tissue","original","kmeans"
33,1,"breast_tissue","original","kmeans"
34,1,"breast_tissue","original","kmeans"
35,1,"breast_tissue","original","kmeans"
36,1,"breast_tissue","original","kmeans"
37,3,"breast_tissue","original","kmeans"
38,1,"breast_tissue","original","kmeans"
39,1,"breast_tissue","original","kmeans"
40,1,"breast_tissue","original","kmeans"
41,1,"breast_tissue","original","kmeans"
42,1,"breast_tissue","original","kmeans"
43,1,"breast_tissue","original","kmeans"
44,1,"breast_tissue","original","kmeans"
45,1,"breast_tissue","original","kmeans"
46,1,"breast_tissue","original","kmeans"
47,1,"breast_tissue","original","kmeans"
48,1,"breast_tissue","original","kmeans"
49,1,"breast_tissue","original","kmeans"
50,1,"breast_tissue","original","kmeans"
51,3,"breast_tissue","original","kmeans"
52,1,"breast_tissue","original","kmeans"
53,3,"breast_tissue","original","kmeans"
54,1,"breast_tissue","original","kmeans"
55,1,"breast_tissue","original","kmeans"
56,1,"breast_tissue","original","kmeans"
57,1,"breast_tissue","original","kmeans"
58,1,"breast_tissue","original","kmeans"
59,1,"breast_tissue","original","kmeans"
60,1,"breast_tissue","original","kmeans"
61,1,"breast_tissue","original","kmeans"
62,1,"breast_tissue","original","kmeans"
63,1,"breast_tissue","original","kmeans"
64,1,"breast_tissue","original","kmeans"
65,1,"breast_tissue","original","kmeans"
66,1,"breast_tissue","original","kmeans"
67,1,"breast_tissue","original","kmeans"
68,1,"breast_tissue","original","kmeans"
69,1,"breast_tissue","original","kmeans"
70,3,"breast_tissue","original","kmeans"
71,4,"breast_tissue","original","kmeans"
72,2,"breast_tissue","original","kmeans"
73,1,"breast_tissue","original","kmeans"
74,1,"breast_tissue","original","kmeans"
75,4,"breast_tissue","original","kmeans"
76,1,"breast_tissue","original","kmeans"
77,1,"breast_tissue","original","kmeans"
78,1,"breast_tissue","original","kmeans"
79,4,"breast_tissue","original","kmeans"
80,4,"breast_tissue","original","kmeans"
81,4,"breast_tissue","original","kmeans"
82,4,"breast_tissue","original","kmeans"
83,4,"breast_tissue","original","kmeans"
84,4,"breast_tissue","original","kmeans"
85,4,"breast_tissue","original","kmeans"
86,4,"breast_tissue","original","kmeans"
87,5,"breast_tissue","original","kmeans"
88,2,"breast_tissue","original","kmeans"
89,2,"breast_tissue","original","kmeans"
90,2,"breast_tissue","original","kmeans"
91,2,"breast_tissue","original","kmeans"
92,5,"breast_tissue","original","kmeans"
93,2,"breast_tissue","original","kmeans"
94,2,"breast_tissue","original","kmeans"
95,2,"breast_tissue","original","kmeans"
96,2,"breast_tissue","original","kmeans"
97,4,"breast_tissue","original","kmeans"
98,5,"breast_tissue","original","kmeans"
99,5,"breast_tissue","original","kmeans"
100,5,"breast_tissue","original","kmeans"
101,2,"breast_tissue","original","kmeans"
102,5,"breast_tissue","original","kmeans"
103,6,"breast_tissue","original","kmeans"
104,4,"breast_tissue","original","kmeans"
105,2,"breast_tissue","original","kmeans"
106,5,"breast_tissue","original","kmeans"
1,5,"breast_tissue","sparsified","kmeans"
2,5,"breast_tissue","sparsified","kmeans"
