"dataset","representation","method","k","purity"
"breast_tissue","original","kmeans",6,0.556603773584906
"breast_tissue","sparsified","kmeans",6,0.584905660377358
"hcv","original","kmeans",5,0.899186991869919
"hcv","sparsified","kmeans",5,0.899186991869919
"wholesale_customers","original","kmeans",3,0.718181818181818
"wholesale_customers","sparsified","kmeans",3,0.718181818181818
"vehicle_silhouettes","original","kmeans",4,0.367612293144208
"vehicle_silhouettes","sparsified","kmeans",4,0.449172576832151
"statlog_image_segmentation","original","kmeans",7,0.553679653679654
"statlog_image_segmentation","sparsified","kmeans",7,0.582251082251082
"vertebral_column_3classes","original","kmeans",3,0.667741935483871
"vertebral_column_3classes","sparsified","kmeans",3,0.661290322580645
"vertebral_column_2classes","original","kmeans",2,0.67741935483871
"vertebral_column_2classes","sparsified","kmeans",2,0.680645161290323
"user_knowledge_modeling","original","kmeans",5,0.471464019851117
"user_knowledge_modeling","sparsified","kmeans",5,0.727047146401985
"banknote_authentication","original","kmeans",2,0.559037900874636
"banknote_authentication","sparsified","kmeans",2,0.57798833819242
"wine","original","kmeans",3,0.966292134831461
"wine","sparsified","kmeans",3,0.971910112359551
