"dataset","representation","method","k","metric","n_runs","mean","sd","se","ci_lower","ci_upper","min","max","confidence_level"
"banknote_authentication","original","kmeans",2,"adjusted_rand_index",30,0.0132158327785109,0,0,0.0132158327785109,0.0132158327785109,0.0132158327785109,0.0132158327785109,0.95
"banknote_authentication","original","kmeans",2,"clustering_accuracy",30,0.559037900874636,0,0,0.559037900874636,0.559037900874636,0.559037900874636,0.559037900874636,0.95
"banknote_authentication","original","kmeans",2,"purity",30,0.559037900874636,0,0,0.559037900874636,0.559037900874636,0.559037900874636,0.559037900874636,0.95
"banknote_authentication","original","kmeans",2,"silhouette",30,0.328565193998171,0.00346649027392344,0.00063289163946671,0.327270785256876,0.329859602739466,0.32102529611354,0.336974960110666,0.95
"banknote_authentication","sparsified","kmeans",2,"adjusted_rand_index",30,0.0236233590677363,0,0,0.0236233590677363,0.0236233590677363,0.0236233590677363,0.0236233590677363,0.95
"banknote_authentication","sparsified","kmeans",2,"clustering_accuracy",30,0.57798833819242,0,0,0.57798833819242,0.57798833819242,0.57798833819242,0.57798833819242,0.95
"banknote_authentication","sparsified","kmeans",2,"purity",30,0.57798833819242,0,0,0.57798833819242,0.57798833819242,0.57798833819242,0.57798833819242,0.95
"banknote_authentication","sparsified","kmeans",2,"silhouette",30,0.139476526801002,0.00150420167923027,0.00027462839691719,0.138914848663056,0.140038204938949,0.136406469012598,0.143062927790382,0.95
"breast_tissue","original","kmeans",6,"adjusted_rand_index",30,0.291006662763518,0.00981283514858048,0.0017915703879857,0.287342489900042,0.294670835626993,0.285080124199285,0.309400070335959,0.95
"breast_tissue","original","kmeans",6,"clustering_accuracy",30,0.488679245283019,0.0127295220313812,0.00232408212094883,0.483925963638504,0.493432526927534,0.481132075471698,0.509433962264151,0.95
"breast_tissue","original","kmeans",6,"purity",30,0.559748427672956,0.0172239797957599,0.00314465408805031,0.553316887917822,0.56617996742809,0.537735849056604,0.584905660377358,0.95
"breast_tissue","original","kmeans",6,"silhouette",30,0.382241468716138,0.0365437548032508,0.0066719462805594,0.368595806412421,0.395887131019855,0.317369679087754,0.413581868061714,0.95
"breast_tissue","sparsified","kmeans",6,"adjusted_rand_index",30,0.360852644896783,0,0,0.360852644896783,0.360852644896783,0.360852644896783,0.360852644896783,0.95
"breast_tissue","sparsified","kmeans",6,"clustering_accuracy",30,0.528301886792453,0,0,0.528301886792453,0.528301886792453,0.528301886792453,0.528301886792453,0.95
"breast_tissue","sparsified","kmeans",6,"purity",30,0.584905660377358,0,0,0.584905660377358,0.584905660377358,0.584905660377358,0.584905660377358,0.95
"breast_tissue","sparsified","kmeans",6,"silhouette",30,0.200332908641517,0,0,0.200332908641517,0.200332908641517,0.200332908641517,0.200332908641517,0.95
"hcv","original","kmeans",5,"adjusted_rand_index",30,0.0902007489235031,0.0309498979932223,0.00565065242779057,0.0786438670807967,0.10175763076621,0.0670242185350035,0.170734549254177,0.95
"hcv","original","kmeans",5,"clustering_accuracy",30,0.442113821138211,0.0592784654677603,0.0108227175703278,0.419978878354947,0.464248763921476,0.4,0.55609756097561,0.95
"hcv","original","kmeans",5,"purity",30,0.898373983739837,0.00330072876466345,0.000602627866870777,0.897141471363338,0.899606496116337,0.891056910569106,0.902439024390244,0.95
"hcv","original","kmeans",5,"silhouette",30,0.212213748390169,0.0326484557429438,0.0059607652260398,0.200022614660079,0.22440488212026,0.186222422811899,0.267688873490355,0.95
"hcv","sparsified","kmeans",5,"adjusted_rand_index",30,0.0704947641939636,0.0159175862648203,0.00290614035275883,0.0645510398003032,0.0764384885876239,0.0537032489350561,0.0999984459184359,0.95
"hcv","sparsified","kmeans",5,"clustering_accuracy",30,0.363252032520325,0.0344522852715496,0.00629009793361025,0.350387337774588,0.376116727266063,0.32520325203252,0.416260162601626,0.95
"hcv","sparsified","kmeans",5,"purity",30,0.898048780487805,0.00121904485952514,0.000222566122724211,0.897593581656275,0.898503979319335,0.895934959349593,0.899186991869919,0.95
"hcv","sparsified","kmeans",5,"silhouette",30,0.0440562951903677,0.00375703667385778,0.000685937911882029,0.0426533946403239,0.0454591957404114,0.039905119892135,0.0491801350200663,0.95
"libras_movement","original","kmeans",15,"adjusted_rand_index",30,0.313233792427872,0.00580508958677121,0.00105985950500431,0.311066136351741,0.315401448504003,0.301958086193168,0.326074602845031,0.95
"libras_movement","original","kmeans",15,"clustering_accuracy",30,0.453611111111111,0.010774350681578,0.00196711830359048,0.449587902447026,0.457634319775196,0.436111111111111,0.472222222222222,0.95
"libras_movement","original","kmeans",15,"purity",30,0.468888888888889,0.0110967339934511,0.00202597717428252,0.464745300317762,0.473032477460016,0.45,0.488888888888889,0.95
"libras_movement","original","kmeans",15,"silhouette",30,0.252610032517182,0.00376475601589181,0.000687347264469074,0.251204249517451,0.254015815516912,0.244341428327514,0.258336138351371,0.95
"libras_movement","sparsified","kmeans",15,"adjusted_rand_index",30,0.278341223620219,0.01416476452923,0.00258612035146945,0.273052013619271,0.283630433621167,0.257017334577534,0.308434944872172,0.95
"libras_movement","sparsified","kmeans",15,"clustering_accuracy",30,0.433888888888889,0.0203915482621571,0.00372297032187958,0.4262745596298,0.441503218147977,0.402777777777778,0.466666666666667,0.95
"libras_movement","sparsified","kmeans",15,"purity",30,0.458703703703704,0.0183349780600525,0.0033474936916177,0.451857310378755,0.465550097028652,0.430555555555556,0.486111111111111,0.95
"libras_movement","sparsified","kmeans",15,"silhouette",30,0.108586408022625,0.00283084750511939,0.000516839678470371,0.107529352191987,0.109643463853263,0.101750860257088,0.113091956147661,0.95
"pen_recognition_handwritten_digits","original","kmeans",10,"adjusted_rand_index",30,0.551175195486163,0.00351278579239314,0.000641344006059127,0.549863499714166,0.552486891258159,0.53875300552699,0.55258852432406,0.95
