"dataset","method","k","metric","difference_definition","n_pairs","mean_difference","sd_difference","se_difference","ci_lower","ci_upper","min_difference","max_difference","confidence_level"
"breast_tissue","kmeans",6,"adjusted_rand_index","sparsified_minus_original",30,0.069845982133265,0.00981283514858048,0.0017915703879857,0.0661818092697895,0.0735101549967405,0.0514525745608231,0.0757725206974975,0.95
"breast_tissue","kmeans",6,"clustering_accuracy","sparsified_minus_original",30,0.039622641509434,0.0127295220313812,0.00232408212094883,0.0348693598649188,0.0443759231539491,0.0188679245283019,0.0471698113207547,0.95
"breast_tissue","kmeans",6,"purity","sparsified_minus_original",30,0.0251572327044025,0.0172239797957599,0.00314465408805031,0.0187256929492682,0.0315887724595368,0,0.0471698113207547,0.95
"breast_tissue","kmeans",6,"silhouette","sparsified_minus_original",30,-0.181908560074621,0.0365437548032508,0.0066719462805594,-0.195554222378338,-0.168262897770904,-0.213248959420197,-0.117036770446237,0.95
"hcv","kmeans",5,"adjusted_rand_index","sparsified_minus_original",30,-0.0197059847295395,0.0366074131184665,0.00668356864563155,-0.0333754174388139,-0.00603655202026515,-0.0954589071476481,0.0269992586291826,0.95
"hcv","kmeans",5,"clustering_accuracy","sparsified_minus_original",30,-0.0788617886178862,0.0746378170339039,0.0136269386774708,-0.106732007532574,-0.0509915697031982,-0.230894308943089,0.0113821138211382,0.95
"hcv","kmeans",5,"purity","sparsified_minus_original",30,-0.00032520325203251,0.00389963454035976,0.000711972601260443,-0.0017813507205167,0.00113094421645168,-0.00650406504065049,0.00813008130081294,0.95
"hcv","kmeans",5,"silhouette","sparsified_minus_original",30,-0.168157453199801,0.0337009945245118,0.0061529316371444,-0.180741611370105,-0.155573295029498,-0.227584930695182,-0.138657103942538,0.95
"wholesale_customers","kmeans",3,"adjusted_rand_index","sparsified_minus_original",30,0.000184675752367828,0,0,0.000184675752367828,0.000184675752367828,0.000184675752367828,0.000184675752367828,0.95
"wholesale_customers","kmeans",3,"clustering_accuracy","sparsified_minus_original",30,-0.127272727272727,0,0,-0.127272727272727,-0.127272727272727,-0.127272727272727,-0.127272727272727,0.95
"wholesale_customers","kmeans",3,"purity","sparsified_minus_original",30,0,0,0,0,0,0,0,0.95
"wholesale_customers","kmeans",3,"silhouette","sparsified_minus_original",30,-0.332053745905435,0,0,-0.332053745905435,-0.332053745905435,-0.332053745905435,-0.332053745905435,0.95
"pen_recognition_handwritten_digits","kmeans",10,"adjusted_rand_index","sparsified_minus_original",30,-0.0651404351812276,0.015932533149957,0.00290886926814343,-0.0710897408335234,-0.0591911295289318,-0.0773381726315193,-0.0219311172309655,0.95
"pen_recognition_handwritten_digits","kmeans",10,"clustering_accuracy","sparsified_minus_original",30,-0.0490659873847647,0.031548624915747,0.00575996450820804,-0.0608464375345841,-0.0372855372349452,-0.0874272197962155,0.0366630276564774,0.95
"pen_recognition_handwritten_digits","kmeans",10,"purity","sparsified_minus_original",30,-0.0529475982532751,0.0172206527781107,0.00314404666051175,-0.0593778956796021,-0.0465173008269482,-0.0620451237263464,0.00200145560407561,0.95
"pen_recognition_handwritten_digits","kmeans",10,"silhouette","sparsified_minus_original",30,-0.163268839066531,0.00770776944520246,0.00140723973106216,-0.166146967478087,-0.160390710654976,-0.176136407885829,-0.147701822917877,0.95
"libras_movement","kmeans",15,"adjusted_rand_index","sparsified_minus_original",30,-0.0348925688076525,0.0161094363348369,0.00294116722309451,-0.0409079311947946,-0.0288772064205105,-0.054924823829972,-0.000408782492111126,0.95
"libras_movement","kmeans",15,"clustering_accuracy","sparsified_minus_original",30,-0.0197222222222222,0.0218399836809929,0.00398741723920818,-0.0278774061554017,-0.0115670382890427,-0.0527777777777778,0.0222222222222222,0.95
"libras_movement","kmeans",15,"purity","sparsified_minus_original",30,-0.0101851851851852,0.0197274604955077,0.00360172503856053,-0.0175515399968607,-0.00281883037350963,-0.0472222222222222,0.0277777777777778,0.95
"libras_movement","kmeans",15,"silhouette","sparsified_minus_original",30,-0.144023624494557,0.00481697022620002,0.000879454417240171,-0.145822310737601,-0.142224938251513,-0.153953364939565,-0.134029265218626,0.95
"vehicle_silhouettes","kmeans",4,"adjusted_rand_index","sparsified_minus_original",30,0.0450977554732406,0.00171108611284078,0.000312400153945575,0.0444588254181843,0.0457366855282969,0.0440263404806784,0.048786630394954,0.95
"vehicle_silhouettes","kmeans",4,"clustering_accuracy","sparsified_minus_original",30,0.0882978723404255,0.00515843734151486,0.000941797497808224,0.0863716801810217,0.0902240644998293,0.0756501182033097,0.0933806146572104,0.95
"vehicle_silhouettes","kmeans",4,"purity","sparsified_minus_original",30,0.0810086682427108,0.00218911925049564,0.000399676664855088,0.0801912376804804,0.0818260988049412,0.0756501182033097,0.08274231678487,0.95
"vehicle_silhouettes","kmeans",4,"silhouette","sparsified_minus_original",30,-0.132591690500981,0.02045001468987,0.00373364478231794,-0.140227851482972,-0.12495552951899,-0.140743656904057,-0.0813495335736408,0.95
"statlog_image_segmentation","kmeans",7,"adjusted_rand_index","sparsified_minus_original",30,0.0290160171695694,0.0185449554146232,0.00338583013617224,0.0220912170118438,0.0359408173272951,-0.0366811540241746,0.0399074772496513,0.95
"statlog_image_segmentation","kmeans",7,"clustering_accuracy","sparsified_minus_original",30,0.0537518037518038,0.0197259696829688,0.00360145285467502,0.046386005618679,0.0611176018849285,-0.0121212121212122,0.0666666666666667,0.95
"statlog_image_segmentation","kmeans",7,"purity","sparsified_minus_original",30,0.0637229437229437,0.023262563622052,0.00424714361373233,0.0550365597097438,0.0724093277361437,-0.00779220779220779,0.0796536796536796,0.95
"statlog_image_segmentation","kmeans",7,"silhouette","sparsified_minus_original",30,-0.154216569846766,0.0211950967466532,0.00386967753221545,-0.162130949041147,-0.146302190652384,-0.17750086708259,-0.0997940967441632,0.95
"vertebral_column_3classes","kmeans",3,"adjusted_rand_index","sparsified_minus_original",30,0.00338174485465018,0,0,0.00338174485465018,0.00338174485465018,0.00338174485465018,0.00338174485465018,0.95
"vertebral_column_3classes","kmeans",3,"clustering_accuracy","sparsified_minus_original",30,0.00645161290322582,0,0,0.00645161290322582,0.00645161290322582,0.00645161290322582,0.00645161290322582,0.95
