"dataset","representation","method","k","metric","n_runs","mean","sd","se","ci_lower","ci_upper","min","max","confidence_level"
"banknote_authentication","original","kmeans",2,"adjusted_rand_index",30,0.0132158327785109,0,0,0.0132158327785109,0.0132158327785109,0.0132158327785109,0.0132158327785109,0.95
"banknote_authentication","original","kmeans",2,"clustering_accuracy",30,0.559037900874636,0,0,0.559037900874636,0.559037900874636,0.559037900874636,0.559037900874636,0.95
"banknote_authentication","original","kmeans",2,"purity",30,0.559037900874636,0,0,0.559037900874636,0.559037900874636,0.559037900874636,0.559037900874636,0.95
"banknote_authentication","original","kmeans",2,"silhouette",30,0.328565193998171,0.00346649027392344,0.00063289163946671,0.327270785256876,0.329859602739466,0.32102529611354,0.336974960110666,0.95
"banknote_authentication","original","kmeans",2,"normalized_mutual_information",30,0.0109953454890105,0,0,0.0109953454890105,0.0109953454890105,0.0109953454890105,0.0109953454890105,0.95
"banknote_authentication","original","kmeans",2,"davies_bouldin",30,1.19969173009006,0,0,1.19969173009006,1.19969173009006,1.19969173009006,1.19969173009006,0.95
"banknote_authentication","original","kmeans",2,"calinski_harabasz",30,807.220211650388,0,0,807.220211650388,807.220211650388,807.220211650388,807.220211650388,0.95
"banknote_authentication","original","kmeans",2,"total_withinss",30,3450.76715703685,0,0,3450.76715703685,3450.76715703685,3450.76715703685,3450.76715703685,0.95
"banknote_authentication","original","kmeans",2,"runtime_sec",30,0.0139999999999911,0.00723973708800257,0.00132178910450192,0.0112966377428157,0.0167033622571664,0,0.0299999999999727,0.95
"banknote_authentication","sparsified","kmeans",2,"adjusted_rand_index",30,0.0236233590677363,0,0,0.0236233590677363,0.0236233590677363,0.0236233590677363,0.0236233590677363,0.95
"banknote_authentication","sparsified","kmeans",2,"clustering_accuracy",30,0.57798833819242,0,0,0.57798833819242,0.57798833819242,0.57798833819242,0.57798833819242,0.95
"banknote_authentication","sparsified","kmeans",2,"purity",30,0.57798833819242,0,0,0.57798833819242,0.57798833819242,0.57798833819242,0.57798833819242,0.95
"banknote_authentication","sparsified","kmeans",2,"silhouette",30,0.139476526801002,0.00150420167923027,0.00027462839691719,0.138914848663056,0.140038204938949,0.136406469012598,0.143062927790382,0.95
"banknote_authentication","sparsified","kmeans",2,"normalized_mutual_information",30,0.0182718984054328,0,0,0.0182718984054328,0.0182718984054328,0.0182718984054328,0.0182718984054328,0.95
"banknote_authentication","sparsified","kmeans",2,"davies_bouldin",30,2.49238481819171,0,0,2.49238481819171,2.49238481819171,2.49238481819171,2.49238481819171,0.95
"banknote_authentication","sparsified","kmeans",2,"calinski_harabasz",30,209.752515034186,0,0,209.752515034186,209.752515034186,209.752515034186,209.752515034186,0.95
"banknote_authentication","sparsified","kmeans",2,"total_withinss",30,19023.4354520706,0,0,19023.4354520706,19023.4354520706,19023.4354520706,19023.4354520706,0.95
"banknote_authentication","sparsified","kmeans",2,"runtime_sec",30,0.0266666666666614,0.00711159002219583,0.00129839275829511,0.0240111553102658,0.029322178023057,0.00999999999999091,0.0400000000000773,0.95
"breast_tissue","original","kmeans",6,"adjusted_rand_index",30,0.291006662763518,0.00981283514858048,0.0017915703879857,0.287342489900042,0.294670835626993,0.285080124199285,0.309400070335959,0.95
"breast_tissue","original","kmeans",6,"clustering_accuracy",30,0.488679245283019,0.0127295220313812,0.00232408212094883,0.483925963638504,0.493432526927534,0.481132075471698,0.509433962264151,0.95
"breast_tissue","original","kmeans",6,"purity",30,0.559748427672956,0.0172239797957599,0.00314465408805031,0.553316887917822,0.56617996742809,0.537735849056604,0.584905660377358,0.95
"breast_tissue","original","kmeans",6,"silhouette",30,0.382241468716138,0.0365437548032508,0.0066719462805594,0.368595806412421,0.395887131019855,0.317369679087754,0.413581868061714,0.95
"breast_tissue","original","kmeans",6,"normalized_mutual_information",30,0.530644670587473,0.0185833624740701,0.00339284227378107,0.523705528998055,0.537583812176891,0.506694541551457,0.566162681638399,0.95
"breast_tissue","original","kmeans",6,"davies_bouldin",30,0.86543964027732,0.0164494271247027,0.00300324076474566,0.8592973232428,0.871581957311839,0.830576042228012,0.885087069926655,0.95
"breast_tissue","original","kmeans",6,"calinski_harabasz",30,80.5941832265551,0.952694510392792,0.173937424584491,80.2384412499187,80.9499252031916,78.8968887364918,81.1312590558139,0.95
"breast_tissue","original","kmeans",6,"total_withinss",30,187.900111854421,1.80064281759126,0.328750896401465,187.227740776223,188.572482932619,186.885837044402,191.108135366711,0.95
"breast_tissue","original","kmeans",6,"runtime_sec",30,0.00766666666666917,0.00773854362727512,0.00141285830229881,0.00477704698667435,0.010556286346664,0,0.0200000000000387,0.95
"breast_tissue","sparsified","kmeans",6,"adjusted_rand_index",30,0.360852644896783,0,0,0.360852644896783,0.360852644896783,0.360852644896783,0.360852644896783,0.95
"breast_tissue","sparsified","kmeans",6,"clustering_accuracy",30,0.528301886792453,0,0,0.528301886792453,0.528301886792453,0.528301886792453,0.528301886792453,0.95
"breast_tissue","sparsified","kmeans",6,"purity",30,0.584905660377358,0,0,0.584905660377358,0.584905660377358,0.584905660377358,0.584905660377358,0.95
"breast_tissue","sparsified","kmeans",6,"silhouette",30,0.200332908641517,0,0,0.200332908641517,0.200332908641517,0.200332908641517,0.200332908641517,0.95
"breast_tissue","sparsified","kmeans",6,"normalized_mutual_information",30,0.504223002635815,7.14170412699696e-17,1.30389081646132e-17,0.504223002635815,0.504223002635815,0.504223002635815,0.504223002635815,0.95
"breast_tissue","sparsified","kmeans",6,"davies_bouldin",30,1.65878204024842,0,0,1.65878204024842,1.65878204024842,1.65878204024842,1.65878204024842,0.95
"breast_tissue","sparsified","kmeans",6,"calinski_harabasz",30,16.9674240727929,2.46845507156355e-15,4.50676174961129e-16,16.9674240727929,16.9674240727929,16.9674240727929,16.9674240727929,0.95
