"dataset","representation","method","k","run_id","fit_seed","silhouette_seed","n_used","p_used","nstart","iter_max","algorithm","silhouette_sample_n","silhouette","davies_bouldin","calinski_harabasz","adjusted_rand_index","normalized_mutual_information","clustering_accuracy","purity","total_withinss","iterations","ifault","runtime_sec"
"breast_tissue","original","kmeans",6,1,40219318,50219318,106,9,30,100,"Hartigan-Wong",106,0.317369679087754,0.885087069926655,78.8968887364918,0.286201695158742,0.506694541551457,0.481132075471698,0.537735849056604,191.108135366711,3,0,0.0199999999999996
"breast_tissue","sparsified","kmeans",6,1,40219318,50219318,106,36,30,100,"Hartigan-Wong",106,0.200332908641517,1.65878204024842,16.9674240727929,0.360852644896783,0.504223002635815,0.528301886792453,0.584905660377358,2045.04376207374,3,0,0.0299999999999994
"breast_tissue","original","kmeans",6,2,40219319,50219319,106,9,30,100,"Hartigan-Wong",106,0.401301235065037,0.869104461817519,81.1312590558139,0.285080124199285,0.527645775761126,0.481132075471698,0.556603773584906,186.885837044402,4,0,0
"breast_tissue","sparsified","kmeans",6,2,40219319,50219319,106,36,30,100,"Hartigan-Wong",106,0.200332908641517,1.65878204024842,16.9674240727929,0.360852644896783,0.504223002635815,0.528301886792453,0.584905660377358,2045.04376207374,2,0,0.00999999999999979
"breast_tissue","original","kmeans",6,3,40219320,50219320,106,9,30,100,"Hartigan-Wong",106,0.401301235065037,0.869104461817519,81.1312590558139,0.285080124199285,0.527645775761126,0.481132075471698,0.556603773584906,186.885837044402,2,0,0
"breast_tissue","sparsified","kmeans",6,3,40219320,50219320,106,36,30,100,"Hartigan-Wong",106,0.200332908641517,1.65878204024842,16.9674240727929,0.360852644896783,0.504223002635815,0.528301886792453,0.584905660377358,2045.04376207374,3,0,0.0299999999999976
"breast_tissue","original","kmeans",6,4,40219321,50219321,106,9,30,100,"Hartigan-Wong",106,0.317369679087754,0.885087069926655,78.8968887364918,0.286201695158742,0.506694541551457,0.481132075471698,0.537735849056604,191.108135366711,2,0,0.0599999999999987
"breast_tissue","sparsified","kmeans",6,4,40219321,50219321,106,36,30,100,"Hartigan-Wong",106,0.200332908641517,1.65878204024842,16.9674240727929,0.360852644896783,0.504223002635815,0.528301886792453,0.584905660377358,2045.04376207374,3,0,0.0199999999999996
"breast_tissue","original","kmeans",6,5,40219322,50219322,106,9,30,100,"Hartigan-Wong",106,0.399829007628479,0.844976784519031,81.0727917428667,0.309400070335959,0.55424438784505,0.509433962264151,0.584905660377358,186.993944404765,2,0,0
"breast_tissue","sparsified","kmeans",6,5,40219322,50219322,106,36,30,100,"Hartigan-Wong",106,0.200332908641517,1.65878204024842,16.9674240727929,0.360852644896783,0.504223002635815,0.528301886792453,0.584905660377358,2045.04376207374,3,0,0.0299999999999976
"breast_tissue","original","kmeans",6,6,40219323,50219323,106,9,30,100,"Hartigan-Wong",106,0.401301235065037,0.869104461817519,81.1312590558139,0.285080124199285,0.527645775761126,0.481132075471698,0.556603773584906,186.885837044402,2,0,0.0199999999999996
"breast_tissue","sparsified","kmeans",6,6,40219323,50219323,106,36,30,100,"Hartigan-Wong",106,0.200332908641517,1.65878204024842,16.9674240727929,0.360852644896783,0.504223002635815,0.528301886792453,0.584905660377358,2045.04376207374,4,0,0.0299999999999976
"breast_tissue","original","kmeans",6,7,40219324,50219324,106,9,30,100,"Hartigan-Wong",106,0.317369679087754,0.885087069926655,78.8968887364918,0.286201695158742,0.506694541551457,0.481132075471698,0.537735849056604,191.108135366711,2,0,0.0199999999999996
"breast_tissue","sparsified","kmeans",6,7,40219324,50219324,106,36,30,100,"Hartigan-Wong",106,0.200332908641517,1.65878204024842,16.9674240727929,0.360852644896783,0.504223002635815,0.528301886792453,0.584905660377358,2045.04376207374,2,0,0.0199999999999996
"breast_tissue","original","kmeans",6,8,40219325,50219325,106,9,30,100,"Hartigan-Wong",106,0.401301235065037,0.869104461817519,81.1312590558139,0.285080124199285,0.527645775761126,0.481132075471698,0.556603773584906,186.885837044402,3,0,0.00999999999999801
"breast_tissue","sparsified","kmeans",6,8,40219325,50219325,106,36,30,100,"Hartigan-Wong",106,0.200332908641517,1.65878204024842,16.9674240727929,0.360852644896783,0.504223002635815,0.528301886792453,0.584905660377358,2045.04376207374,4,0,0.0199999999999996
"breast_tissue","original","kmeans",6,9,40219326,50219326,106,9,30,100,"Hartigan-Wong",106,0.399829007628479,0.844976784519031,81.0727917428667,0.309400070335959,0.55424438784505,0.509433962264151,0.584905660377358,186.993944404765,3,0,0.00999999999999801
"breast_tissue","sparsified","kmeans",6,9,40219326,50219326,106,36,30,100,"Hartigan-Wong",106,0.200332908641517,1.65878204024842,16.9674240727929,0.360852644896783,0.504223002635815,0.528301886792453,0.584905660377358,2045.04376207374,3,0,0.0199999999999996
"breast_tissue","original","kmeans",6,10,40219327,50219327,106,9,30,100,"Hartigan-Wong",106,0.317369679087754,0.885087069926655,78.8968887364918,0.286201695158742,0.506694541551457,0.481132075471698,0.537735849056604,191.108135366711,3,0,0.0200000000000031
"breast_tissue","sparsified","kmeans",6,10,40219327,50219327,106,36,30,100,"Hartigan-Wong",106,0.200332908641517,1.65878204024842,16.9674240727929,0.360852644896783,0.504223002635815,0.528301886792453,0.584905660377358,2045.04376207374,3,0,0.0300000000000011
"breast_tissue","original","kmeans",6,11,40219328,50219328,106,9,30,100,"Hartigan-Wong",106,0.399829007628479,0.844976784519031,81.0727917428667,0.309400070335959,0.554244387845049,0.509433962264151,0.584905660377358,186.993944404765,2,0,0.0299999999999976
"breast_tissue","sparsified","kmeans",6,11,40219328,50219328,106,36,30,100,"Hartigan-Wong",106,0.200332908641517,1.65878204024842,16.9674240727929,0.360852644896783,0.504223002635815,0.528301886792453,0.584905660377358,2045.04376207374,3,0,0.0300000000000011
"breast_tissue","original","kmeans",6,12,40219329,50219329,106,9,30,100,"Hartigan-Wong",106,0.401301235065037,0.869104461817519,81.1312590558139,0.285080124199285,0.527645775761126,0.481132075471698,0.556603773584906,186.885837044402,3,0,0.0199999999999996
"breast_tissue","sparsified","kmeans",6,12,40219329,50219329,106,36,30,100,"Hartigan-Wong",106,0.200332908641517,1.65878204024842,16.9674240727929,0.360852644896783,0.504223002635815,0.528301886792453,0.584905660377358,2045.04376207374,3,0,0.0199999999999996
"breast_tissue","original","kmeans",6,13,40219330,50219330,106,9,30,100,"Hartigan-Wong",106,0.401301235065037,0.869104461817519,81.1312590558139,0.285080124199285,0.527645775761126,0.481132075471698,0.556603773584906,186.885837044402,3,0,0
"breast_tissue","sparsified","kmeans",6,13,40219330,50219330,106,36,30,100,"Hartigan-Wong",106,0.200332908641517,1.65878204024842,16.9674240727929,0.360852644896783,0.504223002635815,0.528301886792453,0.584905660377358,2045.04376207374,3,0,0.0300000000000011
"breast_tissue","original","kmeans",6,14,40219331,50219331,106,9,30,100,"Hartigan-Wong",106,0.401301235065037,0.869104461817519,81.1312590558139,0.285080124199285,0.527645775761126,0.481132075471698,0.556603773584906,186.885837044402,3,0,0
"breast_tissue","sparsified","kmeans",6,14,40219331,50219331,106,36,30,100,"Hartigan-Wong",106,0.200332908641517,1.65878204024842,16.9674240727929,0.360852644896783,0.504223002635815,0.528301886792453,0.584905660377358,2045.04376207374,3,0,0.0399999999999991
"breast_tissue","original","kmeans",6,15,40219332,50219332,106,9,30,100,"Hartigan-Wong",106,0.401301235065037,0.869104461817519,81.1312590558139,0.285080124199285,0.527645775761126,0.481132075471698,0.556603773584906,186.885837044402,2,0,0.0100000000000016
"breast_tissue","sparsified","kmeans",6,15,40219332,50219332,106,36,30,100,"Hartigan-Wong",106,0.200332908641517,1.65878204024842,16.9674240727929,0.360852644896783,0.504223002635815,0.528301886792453,0.584905660377358,2045.04376207374,3,0,0.0300000000000011
"breast_tissue","original","kmeans",6,16,40219333,50219333,106,9,30,100,"Hartigan-Wong",106,0.399829007628479,0.844976784519031,81.0727917428667,0.309400070335959,0.55424438784505,0.509433962264151,0.584905660377358,186.993944404765,3,0,0
"breast_tissue","sparsified","kmeans",6,16,40219333,50219333,106,36,30,100,"Hartigan-Wong",106,0.200332908641517,1.65878204024842,16.9674240727929,0.360852644896783,0.504223002635815,0.528301886792453,0.584905660377358,2045.04376207374,3,0,0.0399999999999991
"breast_tissue","original","kmeans",6,17,40219334,50219334,106,9,30,100,"Hartigan-Wong",106,0.413581868061714,0.830576042228012,81.0708196734015,0.297092865894652,0.566162681638399,0.509433962264151,0.584905660377358,186.997592985524,3,0,0.00999999999999801
"breast_tissue","sparsified","kmeans",6,17,40219334,50219334,106,36,30,100,"Hartigan-Wong",106,0.200332908641517,1.65878204024842,16.9674240727929,0.360852644896783,0.504223002635815,0.528301886792453,0.584905660377358,2045.04376207374,3,0,0.0199999999999996
"breast_tissue","original","kmeans",6,18,40219335,50219335,106,9,30,100,"Hartigan-Wong",106,0.399829007628479,0.844976784519031,81.0727917428667,0.309400070335959,0.55424438784505,0.509433962264151,0.584905660377358,186.993944404765,3,0,0.00999999999999801
"breast_tissue","sparsified","kmeans",6,18,40219335,50219335,106,36,30,100,"Hartigan-Wong",106,0.200332908641517,1.65878204024842,16.9674240727929,0.360852644896783,0.504223002635815,0.528301886792453,0.584905660377358,2045.04376207374,3,0,0
"breast_tissue","original","kmeans",6,19,40219336,50219336,106,9,30,100,"Hartigan-Wong",106,0.317369679087754,0.885087069926655,78.8968887364918,0.286201695158742,0.506694541551457,0.481132075471698,0.537735849056604,191.108135366711,4,0,0
"breast_tissue","sparsified","kmeans",6,19,40219336,50219336,106,36,30,100,"Hartigan-Wong",106,0.200332908641517,1.65878204024842,16.9674240727929,0.360852644896783,0.504223002635815,0.528301886792453,0.584905660377358,2045.04376207374,2,0,0.0399999999999991
"breast_tissue","original","kmeans",6,20,40219337,50219337,106,9,30,100,"Hartigan-Wong",106,0.401301235065037,0.869104461817519,81.1312590558139,0.285080124199285,0.527645775761126,0.481132075471698,0.556603773584906,186.885837044402,2,0,0.00999999999999801
"breast_tissue","sparsified","kmeans",6,20,40219337,50219337,106,36,30,100,"Hartigan-Wong",106,0.200332908641517,1.65878204024842,16.9674240727929,0.360852644896783,0.504223002635815,0.528301886792453,0.584905660377358,2045.04376207374,2,0,0.0399999999999991
"breast_tissue","original","kmeans",6,21,40219338,50219338,106,9,30,100,"Hartigan-Wong",106,0.401301235065037,0.869104461817519,81.1312590558139,0.285080124199285,0.527645775761126,0.481132075471698,0.556603773584906,186.885837044402,3,0,0.0100000000000016
"breast_tissue","sparsified","kmeans",6,21,40219338,50219338,106,36,30,100,"Hartigan-Wong",106,0.200332908641517,1.65878204024842,16.9674240727929,0.360852644896783,0.504223002635815,0.528301886792453,0.584905660377358,2045.04376207374,2,0,0.0199999999999996
"breast_tissue","original","kmeans",6,22,40219339,50219339,106,9,30,100,"Hartigan-Wong",106,0.317369679087754,0.885087069926655,78.8968887364919,0.286201695158742,0.506694541551457,0.481132075471698,0.537735849056604,191.108135366711,3,0,0.0100000000000016
"breast_tissue","sparsified","kmeans",6,22,40219339,50219339,106,36,30,100,"Hartigan-Wong",106,0.200332908641517,1.65878204024842,16.9674240727929,0.360852644896783,0.504223002635815,0.528301886792453,0.584905660377358,2045.04376207374,3,0,0.0299999999999976
"breast_tissue","original","kmeans",6,23,40219340,50219340,106,9,30,100,"Hartigan-Wong",106,0.401301235065037,0.869104461817519,81.1312590558139,0.285080124199285,0.527645775761126,0.481132075471698,0.556603773584906,186.885837044402,3,0,0.0199999999999996
"breast_tissue","sparsified","kmeans",6,23,40219340,50219340,106,36,30,100,"Hartigan-Wong",106,0.200332908641517,1.65878204024842,16.9674240727929,0.360852644896783,0.504223002635815,0.528301886792453,0.584905660377358,2045.04376207374,3,0,0.0199999999999996
"breast_tissue","original","kmeans",6,24,40219341,50219341,106,9,30,100,"Hartigan-Wong",106,0.401301235065037,0.869104461817519,81.1312590558139,0.285080124199285,0.527645775761126,0.481132075471698,0.556603773584906,186.885837044402,2,0,0
"breast_tissue","sparsified","kmeans",6,24,40219341,50219341,106,36,30,100,"Hartigan-Wong",106,0.200332908641517,1.65878204024842,16.9674240727929,0.360852644896783,0.504223002635815,0.528301886792453,0.584905660377358,2045.04376207374,3,0,0.0299999999999976
"breast_tissue","original","kmeans",6,25,40219342,50219342,106,9,30,100,"Hartigan-Wong",106,0.317369679087754,0.885087069926655,78.8968887364918,0.286201695158742,0.506694541551457,0.481132075471698,0.537735849056604,191.108135366711,3,0,0.0199999999999996
"breast_tissue","sparsified","kmeans",6,25,40219342,50219342,106,36,30,100,"Hartigan-Wong",106,0.200332908641517,1.65878204024842,16.9674240727929,0.360852644896783,0.504223002635815,0.528301886792453,0.584905660377358,2045.04376207374,3,0,0.0300000000000011
"breast_tissue","original","kmeans",6,26,40219343,50219343,106,9,30,100,"Hartigan-Wong",106,0.401301235065037,0.869104461817519,81.1312590558139,0.285080124199285,0.527645775761126,0.481132075471698,0.556603773584906,186.885837044402,2,0,0.0100000000000016
"breast_tissue","sparsified","kmeans",6,26,40219343,50219343,106,36,30,100,"Hartigan-Wong",106,0.200332908641517,1.65878204024842,16.9674240727929,0.360852644896783,0.504223002635815,0.528301886792453,0.584905660377358,2045.04376207374,3,0,0.0300000000000011
"breast_tissue","original","kmeans",6,27,40219344,50219344,106,9,30,100,"Hartigan-Wong",106,0.399829007628479,0.844976784519031,81.0727917428667,0.309400070335959,0.55424438784505,0.509433962264151,0.584905660377358,186.993944404765,3,0,0.0199999999999996
