"dataset","method","k","metric","difference_definition","n_pairs","mean_difference","sd_difference","se_difference","ci_lower","ci_upper","min_difference","max_difference","confidence_level"
"breast_tissue","kmeans",6,"adjusted_rand_index","sparsified_minus_original",30,0.069845982133265,0.00981283514858048,0.0017915703879857,0.0661818092697895,0.0735101549967405,0.0514525745608231,0.0757725206974975,0.95
"breast_tissue","kmeans",6,"clustering_accuracy","sparsified_minus_original",30,0.039622641509434,0.0127295220313812,0.00232408212094883,0.0348693598649188,0.0443759231539491,0.0188679245283019,0.0471698113207547,0.95
"breast_tissue","kmeans",6,"purity","sparsified_minus_original",30,0.0251572327044025,0.0172239797957599,0.00314465408805031,0.0187256929492682,0.0315887724595368,0,0.0471698113207547,0.95
"breast_tissue","kmeans",6,"silhouette","sparsified_minus_original",30,-0.181908560074621,0.0365437548032508,0.0066719462805594,-0.195554222378338,-0.168262897770904,-0.213248959420197,-0.117036770446237,0.95
"breast_tissue","kmeans",6,"normalized_mutual_information","sparsified_minus_original",30,-0.0264216679516582,0.0185833624740701,0.00339284227378107,-0.0333608095410761,-0.0194825263622402,-0.0619396790025837,-0.00247153891564234,0.95
"breast_tissue","kmeans",6,"davies_bouldin","sparsified_minus_original",30,0.793342399971098,0.0164494271247027,0.00300324076474566,0.787200082936579,0.799484717005618,0.773694970321763,0.828205998020406,0.95
"breast_tissue","kmeans",6,"calinski_harabasz","sparsified_minus_original",30,-63.6267591537622,0.952694510392791,0.173937424584491,-63.9825011303986,-63.2710171771258,-64.1638349830209,-61.9294646636989,0.95
"breast_tissue","kmeans",6,"total_withinss","sparsified_minus_original",30,1857.14365021932,1.80064281759125,0.328750896401463,1856.47127914112,1857.81602129752,1853.93562670703,1858.15792502934,0.95
"breast_tissue","kmeans",6,"runtime_sec","sparsified_minus_original",30,0.0129999999999995,0.0168461599021336,0.00307567392857919,0.00670954051173464,0.0192904594882644,-0.0399999999999991,0.0399999999999991,0.95
"hcv","kmeans",5,"adjusted_rand_index","sparsified_minus_original",30,-0.0197059847295395,0.0366074131184665,0.00668356864563155,-0.0333754174388139,-0.00603655202026515,-0.0954589071476481,0.0269992586291826,0.95
"hcv","kmeans",5,"clustering_accuracy","sparsified_minus_original",30,-0.0788617886178862,0.0746378170339039,0.0136269386774708,-0.106732007532574,-0.0509915697031982,-0.230894308943089,0.0113821138211382,0.95
"hcv","kmeans",5,"purity","sparsified_minus_original",30,-0.00032520325203251,0.00389963454035976,0.000711972601260443,-0.0017813507205167,0.00113094421645168,-0.00650406504065049,0.00813008130081294,0.95
"hcv","kmeans",5,"silhouette","sparsified_minus_original",30,-0.168157453199801,0.0337009945245118,0.0061529316371444,-0.180741611370105,-0.155573295029498,-0.227584930695182,-0.138657103942538,0.95
"hcv","kmeans",5,"normalized_mutual_information","sparsified_minus_original",30,0.00271618909632092,0.0314820164744473,0.00574780352626802,-0.0090393890527573,0.0144717672453991,-0.0707001718785047,0.0380777949959779,0.95
"hcv","kmeans",5,"davies_bouldin","sparsified_minus_original",30,1.75746886715061,0.290449309294075,0.05302854617072,1.64901331264305,1.86592442165817,1.30051218159337,2.20998134738697,0.95
"hcv","kmeans",5,"calinski_harabasz","sparsified_minus_original",30,-69.5450462738867,1.53539008021089,0.280322593833723,-70.1183703521549,-68.9717221956184,-71.9620033670865,-65.9178808688952,0.95
"hcv","kmeans",5,"total_withinss","sparsified_minus_original",30,18980.2835590813,31.3359677815612,5.72113880507207,18968.5825164104,18991.9846017522,18903.8668120817,19035.1518289471,0.95
"hcv","kmeans",5,"runtime_sec","sparsified_minus_original",30,0.127333333333334,0.0773676103187677,0.0141253284639528,0.0984437928539964,0.156222873812671,0.0399999999999991,0.339999999999996,0.95
"wholesale_customers","kmeans",3,"adjusted_rand_index","sparsified_minus_original",30,0.000184675752367828,0,0,0.000184675752367828,0.000184675752367828,0.000184675752367828,0.000184675752367828,0.95
"wholesale_customers","kmeans",3,"clustering_accuracy","sparsified_minus_original",30,-0.127272727272727,0,0,-0.127272727272727,-0.127272727272727,-0.127272727272727,-0.127272727272727,0.95
"wholesale_customers","kmeans",3,"purity","sparsified_minus_original",30,0,0,0,0,0,0,0,0.95
"wholesale_customers","kmeans",3,"silhouette","sparsified_minus_original",30,-0.332053745905435,0,0,-0.332053745905435,-0.332053745905435,-0.332053745905435,-0.332053745905435,0.95
"wholesale_customers","kmeans",3,"normalized_mutual_information","sparsified_minus_original",30,-0.00140305275941184,1.34153732165635e-18,2.44930084268748e-19,-0.00140305275941184,-0.00140305275941184,-0.00140305275941184,-0.00140305275941184,0.95
"wholesale_customers","kmeans",3,"davies_bouldin","sparsified_minus_original",30,1.49222322468568,0,0,1.49222322468568,1.49222322468568,1.49222322468568,1.49222322468568,0.95
"wholesale_customers","kmeans",3,"calinski_harabasz","sparsified_minus_original",30,-130.95288592667,0,0,-130.95288592667,-130.95288592667,-130.95288592667,-130.95288592667,0.95
"wholesale_customers","kmeans",3,"total_withinss","sparsified_minus_original",30,7423.8827222671,0,0,7423.8827222671,7423.8827222671,7423.8827222671,7423.8827222671,0.95
"wholesale_customers","kmeans",3,"runtime_sec","sparsified_minus_original",30,0.0216666666666669,0.0144038628279997,0.00262977352870186,0.0162881758936699,0.0270451574396638,-0.0100000000000051,0.0599999999999952,0.95
"pen_recognition_handwritten_digits","kmeans",10,"adjusted_rand_index","sparsified_minus_original",30,-0.0651404351812276,0.015932533149957,0.00290886926814343,-0.0710897408335234,-0.0591911295289318,-0.0773381726315193,-0.0219311172309655,0.95
"pen_recognition_handwritten_digits","kmeans",10,"clustering_accuracy","sparsified_minus_original",30,-0.0490659873847647,0.031548624915747,0.00575996450820804,-0.0608464375345841,-0.0372855372349452,-0.0874272197962155,0.0366630276564774,0.95
"pen_recognition_handwritten_digits","kmeans",10,"purity","sparsified_minus_original",30,-0.0529475982532751,0.0172206527781107,0.00314404666051175,-0.0593778956796021,-0.0465173008269482,-0.0620451237263464,0.00200145560407561,0.95
"pen_recognition_handwritten_digits","kmeans",10,"silhouette","sparsified_minus_original",30,-0.163268839066531,0.00770776944520246,0.00140723973106216,-0.166146967478087,-0.160390710654976,-0.176136407885829,-0.147701822917877,0.95
