"dataset","representation","k","n_used","p_used","nstart","iter_max","algorithm","n_runs","mean_sec","median_sec","sd_sec","se_sec","ci_lower_sec","ci_upper_sec","min_sec","max_sec","ci_lower_sec_plot"
"banknote_authentication","original",2,1372,4,30,100,"Hartigan-Wong",30,0.0139999999999911,0.00999999999999091,0.00723973708800257,0.00132178910450192,0.0112966377428157,0.0167033622571664,0,0.0299999999999727,0.0112966377428157
"banknote_authentication","sparsified",2,1372,16,30,100,"Hartigan-Wong",30,0.0266666666666613,0.0299999999999727,0.00711159002219582,0.00129839275829511,0.0240111553102658,0.0293221780230569,0.00999999999999091,0.0400000000000773,0.0240111553102658
"breast_tissue","original",6,106,9,30,100,"Hartigan-Wong",30,0.00766666666666916,0.00999999999999091,0.00773854362727512,0.00141285830229881,0.00477704698667435,0.010556286346664,0,0.0200000000000387,0.00477704698667435
"breast_tissue","sparsified",6,106,36,30,100,"Hartigan-Wong",30,0.0106666666666683,0.00999999999999091,0.00827681986794531,0.00151113364869352,0.00757605133513619,0.0137572819982005,0,0.0200000000000387,0.00757605133513619
"hcv","original",5,615,13,30,100,"Hartigan-Wong",30,0.0373333333333335,0.030000000000058,0.012015315896473,0.00219368651734956,0.0328467406425033,0.0418199260241637,0.0199999999999818,0.0699999999999932,0.0328467406425033
"hcv","sparsified",5,615,46,30,100,"Hartigan-Wong",30,0.146000000000006,0.11500000000001,0.0489616317059631,0.00893913004587205,0.127717426255309,0.164282573744702,0.0900000000000318,0.240000000000009,0.127717426255309
"statlog_image_segmentation","original",7,2310,18,30,100,"Hartigan-Wong",30,0.282333333333349,0.264999999999986,0.110005746976304,0.0200842096913758,0.241256512333739,0.32341015433296,0.139999999999986,0.550000000000068,0.241256512333739
"statlog_image_segmentation","sparsified",7,2310,66,30,100,"Hartigan-Wong",30,0.790999999999997,0.800000000000012,0.260521360564436,0.0475644752976927,0.693719725208667,0.888280274791327,0.42999999999995,1.36000000000001,0.693719725208667
"user_knowledge_modeling","original",5,403,5,30,100,"Hartigan-Wong",30,0.0166666666666705,0.0150000000000432,0.00758098043579592,0.00138409133089692,0.0138358820493012,0.0194974512840397,0.00999999999999091,0.0300000000000864,0.0138358820493012
"user_knowledge_modeling","sparsified",5,403,20,30,100,"Hartigan-Wong",30,0.0263333333333586,0.0299999999999727,0.0106619961038987,0.00194660525804583,0.0223520785580719,0.0303145881086454,0.00999999999999091,0.0500000000000682,0.0223520785580719
"vehicle_silhouettes","original",4,846,18,30,100,"Hartigan-Wong",30,0.0380000000000071,0.035000000000025,0.00886683086873826,0.00161885442679703,0.0346890709400241,0.0413109290599901,0.0299999999999727,0.0500000000000682,0.0346890709400241
"vehicle_silhouettes","sparsified",4,846,72,30,100,"Hartigan-Wong",30,0.136999999999996,0.139999999999986,0.0126354727815632,0.0023069111557349,0.132281836922521,0.141718163077472,0.110000000000014,0.159999999999968,0.132281836922521
"vertebral_column_2classes","original",2,310,6,30,100,"Hartigan-Wong",30,0.00633333333333136,0,0.0085028730776491,0.0015524051294106,0.00315830834606196,0.00950835832060077,0,0.0199999999999818,0.00315830834606196
"vertebral_column_2classes","sparsified",2,310,24,30,100,"Hartigan-Wong",30,0.0103333333333353,0.00999999999999091,0.00999425122114258,0.00182469227973111,0.00660141859505853,0.0140652480716121,0,0.0300000000000864,0.00660141859505853
"vertebral_column_3classes","original",3,310,6,30,100,"Hartigan-Wong",30,0.0133333333333364,0.00999999999999091,0.0071115900221848,0.00129839275829309,0.0106778219769449,0.0159888446897278,0,0.0299999999999727,0.0106778219769449
"vertebral_column_3classes","sparsified",3,310,24,30,100,"Hartigan-Wong",30,0.0279999999999973,0.0299999999999727,0.00924755326446787,0.00168836450822653,0.0245469068610476,0.031453093138947,0.00999999999999091,0.0400000000000773,0.0245469068610476
"wholesale_customers","original",3,440,7,30,100,"Hartigan-Wong",30,0.00900000000000318,0.00999999999999091,0.00922889017125726,0.00168495710917844,0.00555387577458921,0.0124461242254172,0,0.0200000000000955,0.00555387577458921
"wholesale_customers","sparsified",3,440,25,30,100,"Hartigan-Wong",30,0.0220000000000065,0.0299999999999727,0.00996545758245389,0.0018194353045903,0.0182788369831157,0.0257211630168973,0.00999999999999091,0.0399999999999636,0.0182788369831157
"wine","original",3,178,13,30,100,"Hartigan-Wong",30,0.00899999999999939,0.00999999999999091,0.00922889017125683,0.00168495710917836,0.00555387577458558,0.0124461242254132,0,0.0200000000000955,0.00555387577458558
"wine","sparsified",3,178,52,30,100,"Hartigan-Wong",30,0.0219999999999989,0.0199999999999818,0.00961320930301194,0.00175512386175938,0.0184103686523142,0.0255896313476836,0.00999999999999091,0.0399999999999636,0.0184103686523142
