"dataset","representation","k","n","p","mean_sec","median_sec","sd_sec","min_sec","max_sec","reps","inner_rep"
"breast_tissue","original",6,106,9,0.00413333333333412,0.00333333333334925,0.00256966429775821,0,0.00666666666667955,50,3
"breast_tissue","sparsified",6,106,36,0.0189333333333335,0.0200000000000008,0.00573171943745935,0.0033333333333303,0.0266666666666803,50,3
"hcv","original",5,615,13,0.0415333333333319,0.0300000000000106,0.0168117494816838,0.0200000000000008,0.0833333333333333,50,3
"hcv","sparsified",5,615,49,0.158066666666667,0.164999999999992,0.0580252896620321,0.0899999999999939,0.259999999999991,50,3
"wholesale_customers","original",3,440,7,0.0116666666666655,0.0100000000000099,0.00513976979640918,0.0033333333333303,0.0233333333333311,50,3
"wholesale_customers","sparsified",3,440,25,0.0277333333333354,0.0266666666666614,0.00981553214053252,0.0200000000000008,0.056666666666672,50,3
"vehicle_silhouettes","original",4,846,18,0.0458095238095233,0.0433333333333318,0.0140806003182436,0.0366666666666523,0.0933333333333242,35,3
"vehicle_silhouettes","sparsified",4,846,72,0.139428571428573,0.140000000000024,0.0114185296686792,0.120000000000005,0.156666666666676,35,3
"statlog_image_segmentation","original",7,2310,18,0.151600000000008,0.159999999999968,0.0162480768092714,0.120000000000005,0.190000000000055,25,1
"statlog_image_segmentation","sparsified",7,2310,66,0.421999999999998,0.439999999999941,0.0345205252953471,0.350000000000023,0.480000000000018,25,1
"vertebral_column_3classes","original",3,310,6,0.00746666666666442,0.0066666666666606,0.00274047515617861,0.0033333333333303,0.0133333333333212,50,3
"vertebral_column_3classes","sparsified",3,310,24,0.0141999999999962,0.0166666666666515,0.00507584203217299,0.0033333333333303,0.0299999999999727,50,3
"vertebral_column_2classes","original",2,310,6,0.00573333333333646,0.0066666666666606,0.00392907644661226,0,0.0166666666666515,50,3
"vertebral_column_2classes","sparsified",2,310,24,0.00979999999999715,0.00999999999999091,0.00296693799874745,0.0033333333333303,0.0166666666666515,50,3
"user_knowledge_modeling","original",5,403,5,0.0157333333333319,0.0166666666666515,0.0023367322183534,0.00999999999999091,0.0233333333333121,50,3
"user_knowledge_modeling","sparsified",5,403,20,0.0471999999999995,0.0466666666666621,0.0174621066904299,0.0199999999999818,0.0900000000000318,50,3
"banknote_authentication","original",2,1372,4,0.0160952380952386,0.0166666666666515,0.00416063989906834,0.0033333333333303,0.0233333333333121,35,3
"banknote_authentication","sparsified",2,1372,16,0.0336190476190484,0.0366666666666333,0.00467026671862754,0.0200000000000197,0.0433333333333318,35,3
"wine","original",3,178,13,0.00506666666666661,0.0050000000000144,0.00215499209504261,0,0.0133333333333212,50,3
"wine","sparsified",3,178,52,0.0139333333333366,0.0133333333333591,0.00306320419734509,0.0066666666666606,0.0166666666666894,50,3
